,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,3.0,,
12,8.0,,
13,11.0,,
14,14.0,,
15,15.0,,
16,25.0,,
17,38.0,,
18,42.0,,
19,49.0,,
20,63.0,,
21,74.0,,
22,91.0,,
23,110.0,,
24,118.0,,
25,128.0,,
26,141.0,,
27,149.0,,
28,160.0,,
29,171.0,,
30,185.0,,
31,191.0,,
32,213.0,,
33,226.0,,
34,235.0,,
35,246.0,,
36,257.0,,
37,272.0,,
38,277.0,,
39,285.0,,
40,293.0,,
41,300.0,,
42,309.0,,
43,314.0,,
44,319.0,,
45,321.0,,
46,329.0,,
47,335.0,,
48,337.0,,
49,339.0,,
50,339.0,,
51,341.0,,
52,345.0,,
53,351.0,,
54,355.0,,
55,355.0,,
56,364.0,,
57,365.0,,
58,368.0,,
59,370.0,,
60,371.0,,
61,372.0,,
62,374.0,,
63,377.0,,
64,378.0,,
65,379.0,,
66,381.0,,
67,383.0,,
68,384.0,,
69,389.0,,
70,390.0,,
71,394.0,,
72,398.0,,
73,401.0,,
74,401.0,,
75,404.0,,
76,404.0,,
77,406.0,,
78,410.0,,
79,410.0,,
80,411.0,,
81,413.0,,
82,414.0,,
83,427.0,,
84,432.0,,
85,435.0,,
86,463.0,,
87,470.0,,
88,490.0,,
89,508.0,,
90,518.0,,
91,529.0,,
92,541.0,,
93,549.0,,
94,567.0,,
95,578.0,,
96,598.0,,
97,616.0,,
98,630.0,,
99,656.0,,
100,665.0,,
101,668.0,,
102,681.0,,
103,701.0,,
104,713.0,,
105,729.0,,
106,750.0,,
107,761.0,,
108,767.0,,
109,783.0,,
110,797.0,,
111,821.0,,
112,839.0,,
113,858.0,,
114,887.0,,
115,908.0,,
116,944.0,,
117,982.0,,
118,1020.0,,
119,1065.0,,
120,1114.0,,
121,1141.0,,
122,1168.0,,
123,1186.0,,
124,1226.0,,
125,1273.0,,
126,1323.0,,
127,1386.0,,
128,1478.0,,
129,1537.0,,
130,1580.0,,
131,1631.0,,
132,1695.0,,
133,1737.0,,
134,1799.0,,
135,1882.0,,
136,1955.0,,
137,2045.0,,
138,2139.0,,
139,2203.0,,
140,2260.0,,
141,2348.0,,
142,2533.0,,
143,2627.0,,
144,2735.0,,
145,2803.0,,
146,2887.0,,
147,2993.0,,
148,3137.0,,
149,3273.0,,
150,3331.0,,
151,3392.0,,
152,3447.0,,
153,3487.0,,
154,3542.0,,
155,3621.0,,
156,3718.0,,
157,3786.0,,
158,3835.0,,
159,3896.0,,
160,3978.0,,
161,4078.0,,
162,4162.0,,
163,4263.0,,
164,4313.0,,
165,4379.0,,
166,4452.0,,
167,4535.0,,
168,4604.0,,
169,4692.0,,
170,4758.0,,
171,4829.0,,
172,4862.0,,
173,4914.0,,
174,4998.0,,
