,total,confirmed,probable
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,1,1,
7,6,6,
8,12,12,
9,28,28,
10,36,36,
11,46,46,
12,68,68,
13,81,81,
14,124,124,
15,138,138,
16,167,167,
17,215,215,
18,283,283,
19,506,506,
20,587,587,
21,696,696,
22,806,806,
23,859,859,
24,981,981,
25,1077,1077,
26,1233,1233,
27,1432,1432,
28,1580,1580,
29,1796,1796,
30,1968,1968,
31,2119,2119,
32,2369,2369,
33,2769,2769,
34,2968,2968,
35,3191,3191,
36,3525,3525,
37,3734,3734,
38,3876,3876,
39,4113,4113,
40,4345,4345,
41,4530,4530,
42,4655,4655,
43,4837,4837,
44,5025,5025,
45,5231,5231,
46,5465,5465,
47,5778,5778,
48,5832,5832,
49,6137,6137,
50,6270,6270,
51,6499,6499,
52,6687,6687,
53,6842,6842,
54,7019,7019,
55,7158,7158,
56,7434,7434,
57,7725,7725,
58,8025,8025,
59,8285,8285,
60,8581,8581,
61,8898,8898,
62,9221,9221,
63,9567,9567,
64,9777,9777,
65,10009,10009,
66,10310,10310,
67,10617,10617,
68,10968,10968,
69,11216,11216,
70,11523,11523,
71,11771,11771,
72,12086,12086,
73,12376,12376,
74,12744,12744,
75,13119,13119,
76,13563,13563,
77,13938,13938,
78,14327,14327,
79,14730,14730,
80,15396,15396,
81,15843,15843,
82,16310,16310,
83,16823,16823,
84,17359,17359,
85,17903,17614,289.0
86,18363,18075,288.0
87,18642,18354,288.0
88,18851,18554,297.0
89,19072,18766,306.0
90,19387,19073,314.0
91,20043,19709,334.0
92,20500,20166,334.0
93,20925,20590,335.0
94,21422,21071,351.0
95,21989,21626,363.0
96,22845,22474,371.0
97,23710,23333,377.0
98,24601,24221,380.0
99,25615,25235,380.0
100,26272,25892,380.0
101,26912,26524,388.0
102,27312,26914,398.0
103,28206,27796,410.0
104,29002,28583,419.0
105,29549,29126,423.0
106,30021,29598,423.0
107,30454,30031,423.0
108,31097,30670,427.0
109,32064,31624,440.0
110,33206,32753,453.0
111,34183,33717,466.0
112,35083,34605,478.0
113,35441,34964,477.0
114,37175,36682,493.0
115,38045,37536,509.0
116,38962,38442,520.0
117,40111,39604,507.0
118,41865,41362,503.0
119,42862,42359,503.0
120,43953,43450,503.0
121,44878,44375,503.0
122,45785,45263,522.0
123,46962,46424,538.0
124,49174,48588,586.0
125,50508,49892,616.0
126,51947,51294,653.0
127,53587,52908,679.0
128,55545,54768,777.0
129,57255,56441,814.0
130,59067,58225,842.0
131,61088,60158,930.0
132,63091,62111,980.0
133,65234,64180,1054.0
134,67011,65865,1146.0
135,68891,67711,1180.0
136,70358,69075,1283.0
137,71813,70413,1400.0
138,74212,72696,1516.0
139,76005,74365,1640.0
140,78130,76314,1816.0
141,79294,77351,1943.0
142,81115,79129,1986.0
143,82366,80309,2057.0
144,83782,81572,2210.0
145,85762,83495,2267.0
146,87723,85278,2445.0
147,89349,86780,2569.0
148,91444,88811,2633.0
149,92661,89927,2734.0
150,93702,90890,2812.0
151,94654,91776,2878.0
152,96592,93402,3190.0
153,98301,94827,3474.0
154,98387,94827,3560.0
155,101334,97735,3599.0
156,103020,99390,3630.0
157,103851,99926,3925.0
158,104786,100801,3985.0
159,105557,101496,4061.0
160,106309,102196,4113.0
161,107580,103357,4223.0
162,108433,104079,4354.0
163,109004,104595,4409.0
164,110361,105815,4546.0
165,111478,106784,4694.0
166,112449,107483,4966.0
167,112770,107804,4966.0
168,114532,109566,4966.0
169,115060,110094,4966.0
170,116710,110769,5941.0
171,117242,110954,6288.0
172,119254,112126,7128.0
173,121023,112794,8229.0
174,122185,113723,8462.0
175,123889,115284,8605.0
176,125235,116456,8779.0
177,126058,117152,8906.0
178,127616,118134,9482.0
179,128239,118220,10019.0
180,129285,118601,10684.0
181,130393,119289,11104.0
182,131803,120327,11476.0
183,132314,120815,11499.0
184,132973,121474,11499.0
185,133606,121879,11727.0
186,134417,122580,11837.0
187,135565,123267,12298.0
188,136703,124097,12606.0
189,137646,124823,12823.0
190,138755,125795,12960.0
191,139459,126299,13160.0
192,140160,126813,13347.0
193,141087,127523,13564.0
194,141757,128097,13660.0
195,142863,128818,14045.0
196,144164,129974,14190.0
197,144962,130651,14311.0
198,145780,131405,14375.0
199,146584,131988,14596.0
200,147153,132452,14701.0
201,148206,133433,14773.0
202,150658,134231,16427.0
203,151591,134884,16707.0
204,152321,135554,16767.0
205,152983,136055,16928.0
206,153554,136549,17005.0
207,154701,137564,17137.0
208,155744,138162,17582.0
209,156698,138989,17709.0
210,158380,139726,18654.0
211,159169,140445,18724.0
212,159713,140922,18791.0
213,160477,141554,18923.0
214,161418,142292,19126.0
215,161975,142664,19311.0
216,163465,143900,19565.0
217,164526,144901,19625.0
218,165342,145590,19752.0
219,166076,146223,19853.0
220,167193,147083,20110.0
221,167977,147745,20232.0
222,169162,148659,20503.0
223,170374,149724,20650.0
224,171662,150696,20966.0
225,172626,151527,21099.0
226,173485,152272,21213.0
227,174528,153016,21512.0
228,175674,153016,21512.0
229,177064,154942,22122.0
230,180916,155915,25001.0
231,183276,156946,26330.0
232,184355,157881,26474.0
233,185322,158701,26621.0
234,186437,159439,26998.0
235,187706,160380,27326.0
236,189149,161537,27612.0
237,190496,162720,27776.0
238,192285,164295,27990.0
239,193985,165239,28746.0
240,194892,165984,28908.0
241,195929,166627,29302.0
242,197777,168115,29662.0
243,199158,169266,29892.0
244,200714,170446,30268.0
245,202482,171773,30709.0
246,203687,172874,30813.0
247,204857,173854,31003.0
248,206567,174987,31580.0
249,208637,176355,32282.0
250,210637,178013,32624.0
251,213617,180275,33342.0
252,215843,181895,33948.0
253,217822,183491,34331.0
254,219232,184645,34587.0
255,220848,185874,34974.0
256,223486,187623,35863.0
257,225910,189461,36449.0
258,228373,191408,36965.0
259,230708,193095,37613.0
260,232506,194585,37921.0
261,234080,195887,38193.0
262,236865,197848,39017.0
263,239318,199626,39692.0
264,241957,201755,40202.0
265,242874,202473,40401.0
266,244993,204110,40883.0
267,247229,205943,41286.0
268,249524,208023,41501.0
269,252900,210037,42863.0
270,256828,213172,43656.0
271,260359,215938,44421.0
272,264199,219069,45130.0
273,267589,221804,45785.0
274,269877,223915,45962.0
275,272229,225789,46440.0
276,276665,229007,47658.0
277,280187,231539,48648.0
278,284922,234992,49930.0
279,288775,237879,50896.0
280,292841,240535,52306.0
281,295631,242830,52801.0
282,297895,244762,53133.0
283,301533,247003,54530.0
284,305640,249849,55791.0
285,310335,253364,56971.0
286,315683,257546,58137.0
287,319904,260501,59403.0
288,322452,262598,59854.0
289,324832,264791,60041.0
290,329811,268339,61472.0
291,334569,271500,63069.0
292,338801,274679,64122.0
293,342426,277754,64672.0
294,343458,278657,64801.0
295,345628,280259,65369.0
296,347897,281919,65978.0
