,0
0,1
1,6
2,12
3,28
4,36
5,46
6,68
7,81
8,124
9,138
10,167
11,215
12,283
13,506
14,587
15,696
16,806
17,859
18,981
19,1077
20,1233
21,1432
22,1580
23,1796
24,1968
25,2119
26,2369
27,2769
28,2968
29,3191
30,3525
31,3734
32,3876
33,4113
34,4345
35,4530
36,4655
37,4837
38,5025
39,5231
40,5465
41,5778
42,5832
43,6137
44,6270
45,6499
46,6687
47,6842
48,7019
49,7158
50,7434
51,7725
52,8025
53,8285
54,8581
55,8898
56,9221
57,9567
58,9777
59,10009
60,10310
61,10617
62,10968
63,11216
64,11523
65,11771
66,12086
67,12376
68,12744
69,13119
70,13563
71,13938
72,14327
73,14730
74,15396
75,15843
76,16310
77,16823
78,17359
79,17903
80,18363
81,18642
82,18851
83,19072
84,19387
85,20043
86,20500
87,20925
88,21422
89,21989
90,22845
91,23710
92,24601
93,25615
94,26272
95,26912
96,27312
97,28206
98,29002
99,29549
100,30021
101,30454
102,31097
103,32064
104,33206
105,34183
106,35083
107,35441
108,37175
109,38045
110,38962
111,40111
112,41865
113,42862
114,43953
115,44878
116,45785
117,46962
118,49174
119,50508
120,51947
121,53587
122,55545
123,57255
124,59067
125,61088
126,63091
127,65234
128,67011
129,68891
130,70358
131,71813
132,74212
133,76005
