,total,confirmed,probable
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,6,6,
7,9,9,
8,12,12,
9,16,16,
10,22,22,
11,22,22,
12,33,33,
13,46,46,
14,96,96,
15,118,118,
16,165,165,
17,174,174,
18,218,218,
19,280,280,
20,335,335,
21,381,381,
22,404,404,
23,426,426,
24,473,473,
25,523,523,
26,584,584,
27,643,643,
28,704,704,
29,743,743,
30,830,830,
31,875,875,
32,946,946,
33,1000,1000,
34,1119,1119,
35,1171,1171,
36,1226,1226,
37,1280,1280,
38,1410,1410,
39,1480,1480,
40,1569,1569,
41,1620,1620,
42,1695,1695,
43,1739,1739,
44,1781,1781,
45,1923,1923,
46,2227,2227,
47,2276,2276,
48,2465,2465,
49,2741,2741,
50,2829,2829,
51,2941,2941,
52,3017,3017,
53,3111,3111,
54,3192,3192,
55,3255,3255,
56,3321,3321,
57,3372,3372,
58,3431,3431,
59,3458,3458,
60,3496,3496,
61,3568,3568,
62,3611,3611,
63,3694,3694,
64,3747,3747,
65,3747,3747,
66,4034,4034,
67,4164,4164,
68,4164,4164,
69,4236,4236,
70,4463,4463,
71,4578,4578,
72,4759,4759,
73,4813,4813,
74,4923,4923,
75,5003,5003,
76,5458,5458,
77,5612,5612,
78,5612,5612,
79,5922,5922,
80,6029,6029,
81,6180,6180,
82,6277,6277,
83,6538,6538,
84,6538,6538,
85,7013,7013,
86,7253,7253,
87,7443,7443,
88,7443,7443,
89,8067,8067,
90,8067,8067,
91,8651,8651,
92,9101,9101,
93,9426,9426,
94,9740,9740,
95,10080,10080,
96,10368,10368,
97,10816,10816,
98,11547,11547,
99,11547,11547,
100,12501,12501,
101,12917,12917,
102,13191,13191,
103,13606,13606,
104,13928,13928,
105,14631,14631,
106,15142,15142,
107,15142,15142,
108,16083,16083,
109,16678,16678,
110,17375,17375,
111,18062,18062,
112,18062,18740,
113,18740,18740,
114,19310,19310,
115,20257,20257,
116,20777,20777,
117,21197,21197,
118,22075,22075,
119,22622,22622,
120,23209,23209,
121,23209,23209,
122,24253,24253,
123,24512,24512,
124,24512,24512,
125,26052,26052,
126,26803,26803,
127,26803,26803,
128,28367,28367,
129,28939,28939,
130,29733,29733,
131,30297,30297,
132,31114,31114,
133,31762,31762,
134,31762,31762,
135,32533,32533,
136,33927,33927,
137,34655,34655,
138,35246,35246,
139,36259,36259,
140,37249,37249,
141,37249,37249,
142,38623,38623,
143,39447,39447,
144,40181,40181,
145,40968,40968,
146,41759,41759,
147,42511,42511,
148,43173,43173,
149,43173,43173,
150,44597,44597,
151,45381,45381,
152,46293,46293,
153,47028,47028,
154,48039,48039,
155,48039,48039,
156,49383,49383,
157,50028,50028,
158,50411,50411,
159,51114,51114,
160,51766,51766,
161,52392,52392,
162,51992,51992,
163,52665,52655,
164,53077,53077,
165,53487,53487,
166,54216,54216,
167,54765,54765,
168,55652,55652,
169,56199,56199,
170,56574,56574,
171,56894,56894,
172,57374,57374,
173,58023,58023,
174,58745,58745,
175,59583,59583,
176,60378,60378,
177,60856,60856,
178,61224,61224,
179,61497,61497,
180,62112,62112,
181,63504,63081,423.0
182,64678,64175,503.0
183,65226,64690,536.0
184,65226,64690,536.0
185,66280,65727,553.0
186,66757,66021,736.0
187,67255,66406,849.0
188,67803,66804,999.0
189,68983,67911,1072.0
190,69710,68542,1168.0
191,70219,69050,1169.0
192,70627,69449,1178.0
193,71357,70125,1232.0
194,72219,70731,1488.0
195,73211,71614,1597.0
196,74082,72338,1744.0
197,75160,73141,2019.0
198,75723,73690,2033.0
199,76364,74286,2078.0
200,76981,74772,2209.0
201,77963,75646,2317.0
202,79049,76676,2373.0
203,79946,77472,2474.0
204,80755,78260,2495.0
205,81242,78735,2507.0
206,82049,79521,2528.0
207,82755,80003,2752.0
208,83697,80610,3087.0
209,84821,81531,3290.0
210,85779,82309,3470.0
211,86525,82851,3674.0
212,87013,83306,3707.0
213,87430,83698,3732.0
214,88071,84230,3841.0
215,88880,84914,3966.0
216,90145,85980,4165.0
217,90145,85980,4165.0
218,92220,87748,4472.0
219,92833,88302,4531.0
220,93487,88870,4617.0
221,94167,89351,4816.0
222,95246,90235,5011.0
223,96524,91303,5221.0
224,97539,92117,5422.0
225,98422,92827,5595.0
226,99066,93356,5710.0
227,99597,93790,5807.0
228,100441,94418,6023.0
229,101596,95399,6197.0
230,102798,96292,6506.0
231,104135,97339,6796.0
232,105318,98213,7105.0
233,106115,98880,7235.0
234,106727,99410,7317.0
235,107679,100061,7618.0
236,108640,100751,7889.0
237,109712,101588,8124.0
238,110874,102405,8469.0
239,112190,103482,8708.0
240,112190,103482,8708.0
241,113641,104703,8938.0
242,114519,105223,9296.0
243,115812,106137,9675.0
244,117360,107292,10068.0
245,119230,108738,10492.0
246,120828,110016,10812.0
247,121866,110932,10934.0
248,122811,111761,11050.0
249,124235,112736,11499.0
250,126197,113943,12254.0
251,128006,115228,12778.0
252,130318,116787,13531.0
253,130318,116787,13531.0
254,133040,118843,14197.0
255,134348,120008,14340.0
256,135902,121153,14749.0
257,137617,122481,15136.0
258,139855,124165,15690.0
259,141916,125783,16133.0
260,143821,127216,16605.0
261,145173,128493,16680.0
262,146190,129405,16785.0
263,148312,130826,17486.0
264,150277,132249,18028.0
265,152625,133942,18683.0
266,153677,134904,18773.0
267,155026,136071,18955.0
268,156247,137090,19157.0
269,157359,138056,19303.0
270,159309,139198,20111.0
271,161521,140705,20816.0
272,164310,142722,21588.0
273,167137,144910,22227.0
274,169382,146711,22671.0
275,170924,148171,22753.0
276,172042,149175,22867.0
277,174325,150612,23713.0
278,176652,152369,24283.0
279,178854,154073,24781.0
280,181624,156011,25613.0
281,184252,157875,26377.0
282,185702,159123,26579.0
283,187507,160356,26701.0
284,189198,161592,27606.0
285,191504,163230,28274.0
286,194543,165512,29031.0
287,197421,167434,29987.0
288,200114,169287,30827.0
289,201650,170603,31047.0
290,203107,171672,31435.0
291,205048,172782,32266.0
292,207941,174782,33159.0
293,211145,177140,34005.0
294,213267,178980,34287.0
295,213969,179640,34329.0
296,214877,180289,34588.0
297,216528,181178,35350.0
298,219246,182627,36619.0
299,222430,184947,37483.0
300,225138,186784,38354.0
301,229442,189569,39873.0
302,231442,191166,40276.0
303,233475,192809,40666.0
304,234781,193655,41126.0
305,238888,195930,42958.0
306,242593,198254,44339.0
307,245916,200531,45385.0
308,248860,202742,46118.0
309,251746,204893,46853.0
310,255076,207749,47327.0
311,256344,208778,47566.0
312,259553,210873,48680.0
313,262020,212464,49556.0
314,264511,214199,50312.0
315,267635,216339,51296.0
316,270178,218048,52130.0
317,271154,218968,52186.0
318,272263,219956,52307.0
319,273594,220797,52797.0
320,276114,222287,53827.0
321,279220,224243,54977.0
322,281382,225737,55645.0
323,282995,226887,56108.0
324,284066,227828,56238.0
