,0
0,1
1,1
2,1
3,1
4,1
5,1
6,7
7,10
8,13
9,17
10,23
11,23
12,34
13,47
14,97
15,119
16,166
17,175
18,219
19,281
20,336
21,382
22,405
23,427
24,474
25,524
26,585
27,644
28,705
29,744
30,831
31,876
32,947
33,1001
34,1120
35,1172
36,1227
37,1281
38,1411
39,1481
40,1570
41,1621
42,1696
43,1740
44,1782
45,1924
46,2228
47,2277
48,2466
49,2742
50,2830
51,2942
52,3018
53,3112
54,3193
55,3256
56,3322
57,3373
58,3432
59,3459
60,3497
61,3569
62,3612
63,3695
64,3748
65,3748
66,4035
67,4165
68,4165
69,4237
70,4464
71,4579
72,4760
73,4814
74,4924
75,5004
76,5459
77,5613
78,5613
79,5923
80,6030
81,6181
82,6278
83,6539
84,6539
85,7014
86,7254
87,7444
88,7444
89,8068
90,8068
91,8652
92,9102
93,9427
94,9741
95,10081
96,10369
97,10817
98,11548
99,11548
100,12502
101,12918
102,13192
103,13607
104,13929
105,14632
106,15143
107,15143
108,16084
109,16679
110,17376
111,18063
112,18063
113,18741
114,19311
115,20258
116,20778
117,21198
118,22076
119,22623
120,23210
121,23210
122,24254
123,24513
124,24513
125,26053
126,26804
127,26804
128,28368
129,28940
130,29734
131,30298
132,31115
133,31763
134,31763
135,32534
136,33928
137,34656
138,35247
139,36260
140,37250
141,37250
142,38624
143,39448
144,40182
145,40969
