,total,confirmed,probable
0,2,,
1,2,,
2,3,,
3,5,,
4,5,,
5,5,,
6,6,,
7,9,,
8,9,,
9,9,,
10,12,,
11,12,,
12,18,,
13,20,,
14,28,,
15,44,,
16,65,,
17,104,,
18,152,,
19,265,,
20,357,,
21,450,,
22,577,,
23,736,,
24,873,,
25,919,,
26,1157,,
27,1289,,
28,1413,,
29,1598,,
30,1769,,
31,2019,,
32,2269,,
33,2456,,
34,2575,,
35,2726,,
36,3018,,
37,3112,,
38,3393,,
39,3539,,
40,3702,,
41,3806,,
42,3962,,
43,4234,,
44,4507,,
45,4719,,
46,4929,,
47,5064,,
48,5251,,
49,5459,,
50,5769,,
51,6045,,
52,6280,,
53,6526,,
54,6716,,
55,6948,,
56,7202,,
57,7648,,
58,7962,,
59,8364,,
60,8640,,
61,8919,,
62,9305,,
63,9707,,
64,9945,,
65,10526,,
66,10960,,
67,11119,,
68,11380,,
69,11736,,
70,12176,,
71,12674,,
72,13169,,
73,13631,,
74,13937,,
75,14170,,
76,14566,,
77,14897,,
78,15315,,
79,15608,,
80,16039,,
81,16339,,
82,16561,,
83,16783,,
84,17262,,
85,17763,,
86,18465,,
87,19255,,
88,19936,,
89,20123,,
90,21250,,
91,22233,,
92,22753,,
93,24332,,
94,25451,,
95,26889,,
96,27678,,
97,28296,,
98,29852,,
99,31264,30955.0,309.0
100,32918,30955.0,309.0
101,34458,34146.0,312.0
102,35691,35374.0,317.0
103,36705,36377.0,328.0
104,39097,38754.0,343.0
105,40924,40577.0,347.0
106,43443,43085.0,358.0
107,46689,46323.0,366.0
108,49798,49426.0,372.0
109,52390,52018.0,372.0
110,54586,54214.0,372.0
111,58179,57799.0,380.0
112,59974,59586.0,388.0
113,63030,62634.0,396.0
114,66548,66055.0,493.0
115,70051,69641.0,410.0
116,73908,73497.0,411.0
117,74533,74119.0,414.0
118,79215,78781.0,434.0
119,84092,83645.0,447.0
120,87425,86970.0,455.0
121,91858,91396.0,462.0
122,94553,94085.0,468.0
123,98089,97611.0,478.0
124,101441,100943.0,498.0
125,105094,104572.0,522.0
126,108614,108031.0,583.0
127,112671,112028.0,643.0
128,116892,116209.0,683.0
129,119930,119233.0,697.0
130,122467,121758.0,709.0
131,123824,123101.0,723.0
132,128097,127345.0,752.0
133,131354,130576.0,778.0
134,134613,133838.0,775.0
135,138523,137710.0,813.0
136,141265,137710.0,813.0
137,143624,137710.0,813.0
138,145183,137710.0,813.0
139,148683,137710.0,813.0
140,150609,137710.0,813.0
141,152944,137710.0,813.0
142,156301,137710.0,813.0
143,160041,137710.0,813.0
144,162014,137710.0,813.0
145,163827,137710.0,813.0
146,165934,137710.0,813.0
147,168273,137710.0,813.0
148,170798,137710.0,813.0
149,174010,137710.0,813.0
150,177002,137710.0,813.0
151,178467,137710.0,813.0
152,179497,137710.0,813.0
153,180505,137710.0,813.0
154,182203,180993.0,1210.0
155,183647,182408.0,1239.0
156,185053,183791.0,1262.0
157,186107,184804.0,1302.0
158,186923,185593.0,1330.0
159,187523,186180.0,1343.0
160,188737,187362.0,1375.0
161,189443,188053.0,1390.0
162,190794,189386.0,1408.0
163,191721,190292.0,1429.0
164,192654,191211.0,1443.0
165,193537,192062.0,1475.0
166,194005,192514.0,1491.0
167,194920,193416.0,1504.0
168,195557,194042.0,1515.0
169,196280,194734.0,1546.0
170,196899,195331.0,1568.0
171,197895,196318.0,1577.0
172,198103,196521.0,1582.0
173,198414,196821.0,1593.0
174,199273,197671.0,1602.0
175,199459,197844.0,1615.0
176,200139,198504.0,1635.0
177,200658,198978.0,1680.0
178,201287,199579.0,1708.0
179,201661,199948.0,1713.0
180,201835,200104.0,1731.0
181,202342,200608.0,1734.0
182,202861,201111.0,1750.0
183,203953,202183.0,1770.0
184,204681,202895.0,1786.0
185,205516,203722.0,1794.0
186,205766,203969.0,1797.0
187,205964,204157.0,1807.0
188,206045,204239.0,1806.0
189,206541,204715.0,1826.0
190,207002,205141.0,1861.0
191,207523,205642.0,1881.0
192,208128,206223.0,1905.0
193,208512,206611.0,1901.0
194,208725,206775.0,1950.0
195,209209,207220.0,1989.0
196,209907,207718.0,2189.0
197,211660,208894.0,2766.0
198,212942,208777.0,4165.0
199,213551,209298.0,4253.0
200,214018,209701.0,4317.0
201,214251,209916.0,4335.0
202,214846,210610.0,4236.0
