,0
0,2
1,2
2,3
3,5
4,5
5,5
6,6
7,9
8,9
9,9
10,12
11,12
12,18
13,20
14,28
15,44
16,65
17,104
18,152
19,265
20,357
21,450
22,577
23,736
24,873
25,919
26,1157
27,1289
28,1413
29,1598
30,1769
31,2019
32,2269
33,2456
34,2575
35,2726
36,3018
37,3112
38,3393
39,3539
40,3702
41,3806
42,3962
43,4234
44,4507
45,4719
46,4929
47,5064
48,5251
49,5459
50,5769
51,6045
52,6280
53,6526
54,6716
55,6948
56,7202
57,7648
58,7962
59,8364
60,8640
61,8919
62,9305
63,9707
64,9945
65,10526
66,10960
67,11119
68,11380
69,11736
70,12176
71,12674
72,13169
73,13631
74,13937
75,14170
76,14566
77,14897
78,15315
79,15608
80,16039
81,16339
82,16561
83,16783
84,17262
85,17763
86,18465
87,19255
88,19936
89,20123
90,21250
91,22233
92,22753
93,24332
94,25451
95,26889
96,27678
97,28296
98,29852
99,31264
100,32918
101,34458
102,35691
103,36705
104,39097
105,40924
106,43443
107,46689
108,49798
109,52390
110,54586
111,58179
112,59974
113,63030
114,66548
115,70051
116,73908
117,74533
118,79215
119,84092
120,87425
121,91858
122,94553
123,98089
124,101441
125,105094
126,108614
127,112671
