,total,confirmed,probable
0,53,53,
1,53,53,
2,60,60,
3,69,69,
4,88,88,
5,114,114,
6,133,133,
7,157,157,
8,202,202,
9,202,202,
10,252,252,
11,293,293,
12,335,335,
13,483,483,
14,611,611,
15,924,924,
16,1063,1063,
17,1279,1279,
18,1536,1536,
19,1733,1733,
20,2102,2102,
21,2355,2355,
22,3006,3006,
23,3879,3879,
24,4643,4643,
25,5708,5708,
26,6447,6447,
27,7482,7482,
28,8155,8155,
29,9191,9191,
30,10701,10701,
31,12026,12026,
32,13438,13438,
33,14336,14336,
34,15865,15865,
35,16957,16957,
36,18309,18309,
37,19472,19472,
38,20615,20615,
39,21794,21794,
40,22348,22348,
41,23338,23338,
42,24424,24424,
43,26182,26182,
44,27528,27528,
45,28963,28963,
46,30333,30333,
47,30978,30978,
48,33261,33261,
49,35396,35396,
50,37369,37369,
51,39254,39254,
52,41137,41137,
53,42164,42164,
54,43464,43464,
55,45031,45031,
56,46500,46500,
57,48917,48917,
58,50442,50442,
59,52197,52197,
60,53616,53616,
61,54937,54937,
62,56212,56212,
63,58815,58815,
64,60614,60614,
65,62512,62512,
66,64561,64561,
67,66680,66680,
68,67939,67939,
69,69382,69382,
70,71141,71141,
71,73164,73164,
72,74936,74936,
73,76793,76793,
74,78839,78839,
75,80430,80430,
76,81795,81795,
77,84057,84057,
78,86197,86197,
79,88444,88444,
80,90631,90631,
81,92710,92710,
82,94558,94558,
83,96733,96733,
84,98980,98980,
85,101697,101697,
86,103886,103886,
87,106878,106878,
88,110583,110583,
89,113006,113006,
90,115310,115310,
91,117687,117687,
92,119807,119807,
93,122901,122901,
94,126016,126016,
95,128812,128812,
96,131319,131319,
97,133489,133489,
98,136191,136191,
99,139281,139281,
100,141983,141983,
101,145643,145643,
102,148855,148855,
103,151452,151452,
104,153560,153560,
105,157015,157015,
106,161099,161099,
107,165416,165416,
108,169309,169309,
109,173824,173824,
110,178054,178054,
111,183073,183073,
112,190222,190222,
113,195571,195571,
114,200461,200461,
115,206433,206433,
116,211243,211243,
117,219252,219252,
118,228732,228732,
119,236139,236139,
120,242547,242547,
121,248235,248235,
122,257388,257388,
123,265985,265985,
124,271684,271684,
125,277774,277774,
126,289468,289468,
127,296499,296499,
128,304297,304297,
129,312344,312344,
130,320804,320804,
131,329162,329162,
132,336508,336508,
133,347634,347634,
134,356178,356178,
135,366164,366164,
136,375363,375363,
137,384692,384692,
138,391538,391538,
139,400769,400769,
140,413576,413576,
141,425616,425616,
142,435334,435334,
143,445400,445400,
144,453659,453659,
145,460550,460550,
146,466550,466550,
147,475305,475305,
148,485502,485502,
149,493588,493588,
150,500130,500130,
151,509162,509162,
152,514901,514901,
153,519427,519427,
154,524722,524722,
155,529980,529980,
156,538416,538416,
157,545787,545787,
158,554160,554160,
159,561911,561911,
160,574411,574411,
161,586056,586056,
162,593141,593141,
163,601075,601075,
164,613689,613689,
165,621562,621562,
166,628031,628031,
167,632667,632667,
168,638831,638831,
169,644751,644751,
170,650336,650336,
171,656892,656892,
172,663669,663669,
173,668615,668615,
174,673095,673095,
175,679099,679099,
176,683529,683529,
177,688858,688858,
178,693839,693839,
179,699909,699909,
180,704085,704085,
181,707797,707797,
182,712052,712052,
183,717177,717177,
184,722283,722283,
185,727239,727239,
186,732144,732144,
187,735235,735235,
188,737911,737911,
189,739527,739527,
190,742865,742865,
191,746191,746191,
192,750298,750298,
193,754923,754923,
194,757778,757778,
195,760013,760013,
196,762963,762963,
197,766201,766201,
198,769831,769831,
199,774135,774135,
200,778400,778400,
201,781694,781694,
202,784324,784324,
203,787470,787470,
204,790640,790640,
205,794040,794040,
206,798237,798237,
207,802308,802308,
208,805263,805263,
209,807425,807425,
210,810625,810625,
211,813687,813687,
212,817277,817277,
213,819436,819436,
214,823729,823729,
215,826784,826784,
216,828461,828461,
217,831225,831225,
218,834800,834800,
219,838606,838606,
220,842776,842776,
221,846579,846579,
222,850028,850028,
223,852406,852406,
224,855072,855072,
225,858401,858401,
226,861476,861476,
227,864455,864455,
228,867317,867317,
229,870791,870791,
230,874077,874077,
231,877784,877784,
232,880724,880724,
233,886865,886865,
234,892810,892810,
235,898029,898029,
236,901010,901010,
237,904198,904198,
238,908713,908713,
239,912904,912904,
240,916918,916918,
241,922005,922005,
242,926534,926534,
243,930628,930628,
244,934672,934672,
245,940010,940010,
246,944576,944576,
247,951094,951094,
248,956957,956957,
249,964639,964639,
250,971851,971851,
251,977218,977218,
252,984682,984682,
253,991609,991609,
254,998502,998502,
255,1008377,1008377,
256,1019345,1019345,
257,1029235,1029235,
258,1037978,1037978,
259,1047789,1047789,
260,1059267,1059267,
261,1072272,1072272,
262,1087714,1087714,
263,1102033,1102033,
264,1110370,1110370,
265,1125699,1125699,
266,1144049,1144049,
267,1158689,1158689,
268,1171324,1171324,
269,1183320,1183320,
270,1198934,1198934,
271,1212968,1212968,
272,1225189,1225189,
273,1245948,1245948,
274,1264539,1264539,
275,1286557,1286557,
276,1311625,1311625,
277,1341700,1341700,
278,1366435,1366435,
279,1389707,1389707,
280,1420558,1420558,
281,1450235,1450235,
282,1485703,1485703,
283,1521432,1521432,
284,1551766,1551766,
285,1585044,1585044,
286,1617370,1617370,
287,1671081,1671081,
288,1723362,1723362,
289,1764374,1764374,
290,1807982,1807982,
291,1854456,1854456,
292,1892348,1892348,
293,1925007,1925007,
294,1964076,1964076,
295,2003146,2003146,
296,2042290,2042290,
297,2072665,2072665,
298,2122806,2122806,
299,2155976,2155976,
300,2187221,2187221,
301,2218142,2218142,
302,2245379,2245379,
303,2292568,2292568,
304,2345909,2345909,
305,2391261,2391261,
306,2420894,2420894,
307,2452334,2452334,
308,2482226,2482226,
309,2518611,2518611,
310,2568641,2568641,
311,2621277,2621277,
312,2670962,2670962,
313,2710801,2710801,
314,2747288,2747288,
315,2781039,2781039,
316,2816969,2816969,
317,2859624,2859624,
318,2900246,2900246,
319,2942475,2942475,
320,2973174,2973174,
321,2996968,2996968,
322,3019371,3019371,
323,3039044,3039044,
324,3062068,3062068,
325,3085040,3085040,
326,3109151,3109151,
327,3136158,3136158,
328,3153186,3153186,
329,3169914,3169914,
330,3186610,3186610,
331,3205947,3205947,
332,3224374,3224374,
333,3243348,3243348,
334,3258706,3258706,
335,3270770,3270770,
336,3281271,3281271,
337,3294447,3294447,
338,3308468,3308468,
339,3320862,3320862,
340,3335926,3335926,
341,3346340,3346340,
342,3354591,3354591,
343,3362981,3362981,
344,3371556,3371556,
345,3381615,3381615,
346,3391036,3391036,
347,3399878,3399878,
348,3406365,3406365,
349,3412057,3412057,
