,0
0,53
1,53
2,60
3,69
4,88
5,114
6,133
7,157
8,202
9,202
10,252
11,293
12,335
13,483
14,611
15,924
16,1063
17,1279
18,1536
19,1733
20,2102
21,2355
22,3006
23,3879
24,4643
25,5708
26,6447
27,7482
28,8155
29,9191
30,10701
31,12026
32,13438
33,14336
34,15865
35,16957
36,18309
37,19472
38,20615
39,21794
40,22348
41,23338
42,24424
43,26182
44,27528
45,28963
46,30333
47,30978
48,33261
49,35396
50,37369
51,39254
52,41137
53,42164
54,43464
55,45031
56,46500
57,48917
58,50442
59,52197
60,53616
61,54937
62,56212
63,58815
64,60614
65,62512
66,64561
67,66680
68,67939
69,69382
70,71141
71,73164
72,74936
73,76793
74,78839
75,80430
76,81795
77,84057
78,86197
79,88444
80,90631
81,92710
82,94558
83,96733
84,98980
85,101697
86,103886
87,106878
88,110583
89,113006
90,115310
91,117687
92,119807
93,122901
94,126016
95,128812
96,131319
97,133489
98,136191
99,139281
100,141983
101,145643
102,148855
103,151452
104,153560
105,157015
106,161099
107,165416
108,169309
109,173824
110,178054
111,183073
112,190222
113,195571
114,200461
115,206433
116,211243
117,219252
118,228732
119,236139
120,242547
121,248235
122,257388
123,265985
124,271684
125,277774
126,289468
127,296499
128,304297
129,312344
130,320804
131,329162
132,336508
133,347634
134,356178
135,366164
136,375363
137,384692
138,391538
139,400769
140,413576
141,425616
142,435334
