,total,confirmed,probable
0,2,,
1,2,,
2,8,,
3,8,,
4,9,,
5,12,,
6,28,,
7,45,,
8,72,,
9,101,,
10,131,,
11,131,,
12,160,,
13,183,,
14,216,,
15,277,,
16,363,,
17,475,,
18,591,,
19,720,,
20,912,,
21,1086,,
22,1430,,
23,1734,,
24,2061,,
25,2307,,
26,2627,,
27,2966,,
28,3342,,
29,3728,,
30,4173,,
31,4565,,
32,4950,,
33,5172,,
34,5429,,
35,5655,,
36,6202,,
37,6510,,
38,6893,,
39,7303,,
40,7691,,
41,7941,,
42,8280,,
43,8675,,
44,9047,,
45,9433,,
46,9730,,
47,10106,,
48,10447,,
49,10878,,
50,11262,10208.0,974.0
51,12255,10995.0,1189.0
52,12968,11533.0,1335.0
53,13441,11980.0,1370.0
54,13879,12374.0,1424.0
55,14316,12741.0,1497.0
56,14758,13148.0,1527.0
57,15284,13637.0,1545.0
58,15768,14078.0,1590.0
59,16225,14498.0,1622.0
60,16635,14897.0,1637.0
61,16907,15169.0,1709.0
62,17364,15600.0,1717.0
63,17830,16012.0,1726.0
64,18371,16532.0,1786.0
65,18827,16969.0,1824.0
66,19375,17491.0,1825.0
67,19703,17809.0,1823.0
68,19879,17983.0,1842.0
69,20157,18211.0,1880.0
70,20475,18461.0,1940.0
71,20838,18804.0,1958.0
72,21232,19151.0,1980.0
73,21633,19507.0,2004.0
74,21938,19773.0,2024.0
75,22202,20028.0,2067.0
76,22482,20304.0,2095.0
77,22797,20595.0,2157.0
78,23191,20903.0,2218.0
79,23487,21202.0,2253.0
80,23964,21657.0,2280.0
81,24174,21857.0,2280.0
82,24269,21941.0,2285.0
83,24565,22208.0,2295.0
84,24767,22440.0,2327.0
85,25121,22758.0,2363.0
86,25613,23172.0,2441.0
87,26098,23667.0,2431.0
88,26378,23949.0,2429.0
89,26577,24109.0,2468.0
90,26788,24311.0,2477.0
91,27060,24557.0,2503.0
92,27360,24848.0,2512.0
93,27615,25099.0,2516.0
94,27848,25319.0,2529.0
95,28001,25457.0,2544.0
96,28183,25627.0,2556.0
97,28347,25787.0,2560.0
98,28499,25915.0,2584.0
99,28647,26040.0,2607.0
100,28822,26215.0,2607.0
101,29017,26408.0,2609.0
102,29130,26523.0,2607.0
103,29299,26666.0,2633.0
104,29442,26795.0,2647.0
105,29673,27003.0,2670.0
106,29901,27218.0,2683.0
107,30187,27453.0,2734.0
108,30349,27608.0,2741.0
109,30539,27800.0,2739.0
110,30705,27959.0,2746.0
111,30893,28138.0,2755.0
112,31155,28374.0,2781.0
113,31479,28674.0,2805.0
114,31796,28972.0,2824.0
115,32022,29194.0,2828.0
116,32307,29476.0,2831.0
117,32511,29651.0,2860.0
118,32715,29844.0,2871.0
119,33029,30133.0,2896.0
120,33352,30453.0,2899.0
121,33619,30722.0,2897.0
122,33866,30970.0,2896.0
123,34065,31168.0,2897.0
124,34257,31368.0,2889.0
125,34664,31736.0,2928.0
126,35116,32138.0,2978.0
127,35525,32546.0,2979.0
128,36191,33189.0,3002.0
129,36591,33587.0,3004.0
130,36913,33911.0,3002.0
131,37242,34229.0,3013.0
132,37686,34663.0,3023.0
133,38155,35126.0,3029.0
134,38726,35690.0,3036.0
135,39344,36260.0,3084.0
136,39788,36698.0,3090.0
137,40142,37041.0,3101.0
138,40566,37471.0,3095.0
139,41059,37947.0,3112.0
140,41698,38562.0,3136.0
141,42314,39163.0,3151.0
142,42980,39822.0,3158.0
143,43789,40628.0,3161.0
144,44336,41174.0,3162.0
145,44565,41400.0,3165.0
146,45314,42149.0,3165.0
147,45796,42626.0,3170.0
148,46204,43032.0,3172.0
149,46809,43626.0,3183.0
150,47267,44077.0,3190.0
151,47716,44527.0,3189.0
152,47968,44773.0,3195.0
153,48394,45177.0,3217.0
154,48988,45755.0,3233.0
155,49436,46200.0,3236.0
156,49893,46656.0,3237.0
157,50324,47083.0,3241.0
158,50660,47367.0,3293.0
159,51039,47651.0,3388.0
160,51441,48008.0,3433.0
161,51756,48262.0,3494.0
162,52219,48677.0,3542.0
163,52538,48985.0,3553.0
164,52838,49278.0,3560.0
165,53176,49611.0,3565.0
166,53370,49801.0,3569.0
167,53631,50050.0,3581.0
168,53901,50313.0,3588.0
169,54230,50627.0,3603.0
170,54586,50967.0,3619.0
171,54883,51258.0,3625.0
172,55143,51505.0,3638.0
