,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,0.0,,
8,1.0,,
9,1.0,,
10,2.0,,
11,3.0,,
12,6.0,,
13,6.0,,
14,11.0,,
15,20.0,,
16,26.0,,
17,41.0,,
18,68.0,,
19,96.0,,
20,194.0,,
21,194.0,,
22,223.0,,
23,415.0,,
24,618.0,,
25,875.0,,
26,1012.0,,
27,1291.0,,
28,1524.0,,
29,1993.0,,
30,2571.0,,
31,3128.0,,
32,3557.0,,
33,3824.0,,
34,4914.0,,
35,5276.0,,
36,5675.0,,
37,6906.0,,
38,7781.0,,
39,7781.0,,
40,9784.0,,
41,10538.0,,
42,11510.0,,
43,12035.0,,
44,13381.0,,
45,13989.0,,
46,14755.0,,
47,15884.0,,
48,16809.0,,
49,16809.0,,
50,17550.0,,
51,19815.0,,
52,20360.0,,
53,22469.0,,
54,23100.0,,
55,23921.0,,
56,24582.0,,
57,25269.0,,
58,25269.0,,
59,26312.0,,
60,26767.0,,
61,27700.0,,
62,28764.0,,
63,28764.0,,
64,29287.0,,
65,29287.0,,
66,30621.0,,
67,30995.0,,
68,31784.0,,
69,32411.0,,
70,32984.0,,
71,33554.0,,
72,33765.0,,
73,34333.0,,
74,34855.0,,
75,35464.0,,
76,36085.0,,
77,36703.0,,
78,37419.0,,
79,38116.0,,
80,38430.0,,
81,39017.0,,
82,39208.0,,
83,39640.0,,
84,40022.0,,
85,40468.0,,
86,40873.0,,
87,41303.0,,
88,41288.0,,
89,41559.0,,
90,41762.0,,
91,42022.0,,
92,42201.0,,
93,42743.0,40670.0,2073.0
94,42979.0,40941.0,2038.0
95,43091.0,41051.0,2040.0
96,43239.0,41171.0,2068.0
97,43460.0,41387.0,2073.0
98,43818.0,41743.0,2075.0
99,43968.0,41895.0,2073.0
100,44092.0,42017.0,2075.0
101,44179.0,42182.0,1997.0
102,44347.0,42448.0,1899.0
103,44461.0,42557.0,1904.0
104,44689.0,42788.0,1901.0
105,44994.0,43078.0,1916.0
106,45088.0,43172.0,1916.0
107,45235.0,43303.0,1932.0
108,45349.0,43415.0,1934.0
109,45429.0,43487.0,1942.0
110,45440.0,43493.0,1947.0
111,45557.0,43610.0,1947.0
112,45715.0,43763.0,1952.0
113,45755.0,43802.0,1953.0
114,45782.0,43820.0,1962.0
115,45899.0,43941.0,1958.0
116,45913.0,43954.0,1959.0
117,45994.0,44018.0,1976.0
118,46059.0,44086.0,1973.0
119,46206.0,44225.0,1981.0
120,46303.0,44324.0,1979.0
121,46362.0,44384.0,1978.0
122,46514.0,44534.0,1980.0
123,46572.0,44593.0,1979.0
124,46646.0,44672.0,1974.0
125,46717.0,44741.0,1976.0
126,46717.0,44741.0,1976.0
127,46717.0,44741.0,1976.0
128,46976.0,44997.0,1979.0
129,47033.0,45056.0,1977.0
