,total,confirmed,probable
0,0,,
1,0,,
2,0,,
3,1,,
4,1,,
5,5,,
6,5,,
7,10,,
8,10,,
9,10,,
10,16,,
11,17,,
12,22,,
13,31,,
14,39,,
15,71,,
16,77,,
17,98,,
18,116,,
19,137,,
20,183,,
21,231,,
22,267,,
23,304,,
24,342,,
25,401,,
26,495,,
27,586,,
28,653,,
29,757,,
30,902,,
31,998,,
32,1097,,
33,1211,,
34,1440,,
35,1523,,
36,1660,,
37,1778,,
38,1875,,
39,1955,,
40,2058,,
41,2197,,
42,2350,,
43,2476,,
44,2666,,
45,2793,,
46,2927,,
47,3098,,
48,3206,,
49,3361,,
50,3528,,
51,3699,,
52,3841,,
53,3892,,
54,3994,,
55,4106,,
56,4323,,
57,4658,,
58,4797,,
59,5016,,
60,5170,,
61,5322,,
62,5461,,
63,5654,,
64,5899,,
65,6102,,
66,6272,,
67,6389,,
68,6485,,
69,6584,,
70,6736,,
71,6871,,
72,7042,,
73,7123,,
74,7270,,
75,7434,,
76,7551,,
77,7788,,
78,7893,,
79,7966,,
80,7966,,
81,8225,,
82,8334,,
83,8406,,
84,8492,,
85,8538,,
86,8717,,
87,8801,,
88,8857,,
89,8886,,
90,9016,,
91,9120,,
92,9199,,
93,9269,,
94,9332,,
95,9389,,
96,9474,,
97,9537,,
98,9589,,
99,9654,,
100,9709,,
101,9767,,
102,9799,,
103,9818,,
104,9847,,
105,9903,,
106,9952,,
107,9984,,
108,10020,,
109,10058,,
110,10094,,
111,10128,,
112,10159,,
113,10185,,
114,10216,,
115,10248,,
116,10292,,
117,10327,,
118,10365,,
119,10390,,
120,10435,,
121,10447,,
122,10482,,
123,10515,,
124,10569,,
125,10642,,
126,10679,,
127,10743,,
128,10801,,
129,10847,,
130,10906,,
131,10946,,
132,11026,,
133,11076,,
134,11115,,
135,11194,,
136,11261,,
137,11339,,
138,11427,,
139,11529,,
140,11571,,
141,11649,,
142,11717,,
143,11780,,
144,11858,,
145,11945,,
146,11999,,
147,12057,,
148,12126,,
149,12205,,
150,12274,,
151,12313,,
152,12398,,
153,12443,,
154,12518,,
155,12589,,
156,12653,,
157,12753,,
158,12807,,
159,12896,,
160,12959,,
161,13024,,
162,13118,,
163,13159,,
164,13220,,
165,13273,,
166,13325,,
167,13354,,
168,13409,,
169,13469,,
170,13534,,
171,13590,,
172,13639,,
173,13684,,
174,13722,,
175,13794,,
176,13851,,
177,13925,,
178,13959,,
179,13992,,
180,14049,,
181,14077,,
182,14135,,
183,14186,,
184,14238,,
185,14279,,
186,14315,,
187,14362,,
188,14387,,
189,14412,,
190,14493,,
191,14552,,
192,14592,,
193,14622,,
194,14687,,
195,14743,,
196,14790,,
197,14852,,
198,14902,,
199,14955,,
200,14978,,
201,15021,,
202,15050,,
203,15106,,
204,15163,,
205,15215,,
206,15250,,
207,15264,,
208,15300,,
209,15326,,
210,15358,,
211,15423,,
212,15473,,
213,15519,,
214,15547,,
215,15652,,
216,15697,,
217,15765,,
218,15843,,
219,15918,,
220,15984,,
221,16022,,
222,16068,,
223,16132,,
224,16166,,
225,16255,,
226,16334,,
227,16370,,
228,16395,,
229,16445,,
230,16498,,
231,16537,,
232,16609,,
233,16706,,
234,16767,,
235,16812,,
236,16906,,
237,16973,,
238,17074,,
239,17144,,
240,17266,,
241,17369,,
242,17438,,
243,17524,,
244,17601,,
245,17682,,
246,17792,,
247,17891,,
248,18001,,
249,18087,,
250,18173,,
251,18379,,
252,18507,,
253,18666,,
254,18814,,
255,18977,,
256,19064,,
257,19309,,
258,19465,,
259,19678,,
260,19808,,
261,19961,,
262,20151,,
263,20290,,
264,20409,,
265,20516,,
266,20736,,
267,20937,,
268,21308,,
269,21448,,
270,21552,,
271,21685,,
272,21842,,
273,22164,,
274,22480,,
275,22872,,
276,23136,,
277,23319,,
278,23589,,
279,23854,,
280,24098,,
281,24357,,
282,24643,,
283,24874,,
284,25038,,
285,25339,,
286,25602,,
287,25830,,
288,26104,,
289,26342,,
290,26601,,
291,26740,,
292,26900,,
293,27226,,
294,27436,,
295,27436,,
296,27710,,
297,28202,,
298,28342,,
299,28535,,
300,28758,,
301,28983,,
302,29252,,
303,29509,,
304,29764,,
305,29904,,
306,30166,,
307,30482,,
308,30750,,
309,31107,,
310,31457,,
311,31791,,
312,31993,,
313,32423,,
314,32600,,
315,32820,,
316,33140,,
317,33537,,
318,33851,,
319,34033,,
320,34259,,
321,34403,,
322,34612,,
323,34905,,
324,35077,,
325,35301,,
326,35505,,
327,35700,,
328,35865,,
329,36132,,
330,36414,,
331,36662,,
332,36872,,
333,37008,,
334,37138,,
335,37199,,
336,37365,,
337,37634,,
338,37877,,
339,38035,,
340,38136,,
341,38281,,
342,38348,,
343,38533,,
344,38670,,
345,38796,,
346,38918,,
347,39001,,
348,39131,,
349,39180,,
350,39301,,
351,39461,,
352,39553,,
353,39648,,
354,39755,,
355,39844,,
356,39943,,
357,40122,,
358,40284,,
359,40478,,
360,40598,,
361,40684,,
362,40767,,
363,40818,,
364,41014,,
365,41122,,
366,41273,,
367,41419,,
