,total,confirmed,probable
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,1,,
6,4,,
7,4,,
8,6,,
9,6,,
10,8,,
11,16,,
12,25,,
13,30,,
14,38,,
15,45,,
16,56,,
17,68,,
18,91,,
19,115,,
20,130,,
21,163,,
22,214,,
23,232,,
24,264,,
25,319,,
26,368,,
27,393,,
28,450,,
29,593,,
30,673,,
31,673,,
32,928,,
33,928,,
34,1207,,
35,1326,,
36,1479,,
37,1479,,
38,1625,,
39,1761,,
40,2014,,
41,2075,,
42,2323,,
43,2323,,
44,2538,,
45,2745,,
46,2931,,
47,3200,,
48,3308,,
49,3442,,
50,3576,,
51,4034,,
52,4162,,
53,4575,,
54,4655,,
55,4734,,
56,4918,,
57,5038,,
58,5208,,
59,5288,,
60,5371,,
61,5778,,
62,5939,,
63,6111,,
64,6277,,
65,6447,,
66,6565,,
67,6741,,
68,6952,,
69,7223,,
70,7373,,
71,7547,,
72,7670,,
73,7869,,
74,8037,,
75,8194,,
76,8386,,
77,8529,,
78,8690,,
79,8809,,
80,8965,,
81,9066,,
82,9096,,
83,9171,,
84,9236,,
85,9422,,
86,9498,,
87,9605,,
88,9685,,
89,9712,,
90,9746,,
91,9773,,
92,9845,,
93,9942,,
94,9972,,
95,10020,,
96,10056,,
97,10106,9158.0,948.0
98,10173,9222.0,951.0
99,10229,9278.0,951.0
100,10264,9313.0,951.0
101,10340,9378.0,962.0
102,10403,9429.0,974.0
103,10444,9470.0,974.0
104,10499,9524.0,975.0
105,10611,9580.0,1031.0
106,10681,9632.0,1049.0
107,10775,9724.0,1051.0
108,10820,9764.0,1056.0
109,10847,9792.0,1055.0
110,10889,9834.0,1055.0
111,10980,9925.0,1055.0
112,11017,9972.0,1045.0
113,11091,10047.0,1044.0
114,11226,10162.0,1064.0
115,11376,10306.0,1070.0
116,11474,10430.0,1044.0
117,11510,10466.0,1044.0
118,11731,10687.0,1044.0
119,11923,10879.0,1044.0
120,11996,10952.0,1044.0
121,12128,11084.0,1044.0
122,12293,11249.0,1044.0
123,12414,11370.0,1044.0
124,12462,11418.0,1044.0
125,12531,11487.0,1044.0
126,12652,11608.0,1044.0
127,12743,11699.0,1044.0
128,12804,11823.0,981.0
129,12879,11898.0,981.0
130,12969,11989.0,980.0
131,13050,12069.0,981.0
132,13114,12131.0,983.0
133,13337,12355.0,982.0
134,13429,12447.0,982.0
135,13519,12537.0,982.0
136,13519,12537.0,982.0
137,13746,12763.0,983.0
138,13792,12804.0,988.0
139,13924,12933.0,991.0
140,14202,13205.0,997.0
141,14175,13179.0,996.0
142,14290,13294.0,996.0
143,14406,13410.0,996.0
144,14476,13480.0,996.0
145,14602,13606.0,996.0
146,14689,13692.0,997.0
147,14788,13791.0,997.0
148,14877,13880.0,997.0
149,14949,13952.0,997.0
150,15055,14058.0,997.0
151,15137,14140.0,997.0
152,15296,14299.0,997.0
153,15365,14368.0,997.0
154,15445,14447.0,998.0
155,15502,14502.0,1000.0
156,15575,14576.0,999.0
157,15634,14636.0,998.0
158,15699,14700.0,999.0
159,15699,14700.0,999.0
160,15967,14968.0,999.0
161,16340,15340.0,1000.0
162,16396,15392.0,1004.0
163,16451,15448.0,1003.0
164,16536,15532.0,1004.0
165,16593,15589.0,1004.0
166,16643,15639.0,1004.0
167,16718,15714.0,1004.0
168,16770,15766.0,1004.0
169,16828,15820.0,1008.0
170,16895,15881.0,1014.0
171,16942,15930.0,1012.0
172,16962,15960.0,1002.0
173,16986,15991.0,995.0
174,16976,15987.0,989.0
175,17083,16092.0,991.0
176,17349,16336.0,1013.0
177,17343,16346.0,997.0
178,17429,16431.0,998.0
179,17535,16537.0,998.0
180,17549,16557.0,992.0
181,17653,16663.0,990.0
182,17752,16762.0,990.0
183,17892,16902.0,990.0
184,18043,17053.0,990.0
185,18249,17259.0,990.0
186,18308,17317.0,991.0
187,18308,17317.0,991.0
188,18466,17475.0,991.0
189,18466,17475.0,991.0
190,18726,17734.0,992.0
191,18849,17857.0,992.0
192,18937,17945.0,992.0
193,19137,18138.0,999.0
194,19234,18235.0,999.0
195,19318,18319.0,999.0
196,19366,18363.0,1003.0
197,19449,18429.0,1020.0
198,19566,18547.0,1019.0
