,total,confirmed,probable
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,0,,
19,0,,
20,0,,
21,0,,
22,0,,
23,0,,
24,0,,
25,0,,
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,2,,
35,3,,
36,7,,
37,8,,
38,8,,
39,12,,
40,13,,
41,18,,
42,20,,
43,26,,
44,31,,
45,51,,
46,91,,
47,122,,
48,149,,
49,211,,
50,310,,
51,386,,
52,528,,
53,731,,
54,1029,,
55,1205,,
56,1488,,
57,1985,,
58,2520,,
59,3179,,
60,3884,,
61,4760,,
62,5612,,
63,6516,,
64,7548,,
65,8816,,
66,10097,,
67,11245,,
68,12008,,
69,13167,,
70,14173,,
71,15219,,
72,16252,,
73,17340,,
74,18404,,
75,19213,,
76,20135,,
77,20727,,
78,21624,,
79,22823,,
80,23906,,
81,24647,,
82,25360,,
83,26106,,
84,26965,,
85,27662,,
86,28876,,
87,29610,,
88,30405,,
89,30924,,
90,31672,,
91,32015,,
92,32529,,
93,33506,,
94,34209,,
95,34841,,
96,35609,,
97,36183,,
98,36764,,
99,37389,,
100,37733,,
101,38498,,
102,39179,,
103,39562,,
104,40168,,
105,40967,,
106,41759,,
107,42545,,
108,43025,,
109,44161,,
110,44815,,
111,45427,,
112,45902,,
113,47092,,
114,47817,,
115,48550,,
116,49095,,
117,50075,,
118,50578,,
119,51053,,
120,51667,,
121,52888,,
122,53640,,
123,54510,,
124,55210,,
125,55812,,
126,57021,,
127,58286,,
128,59305,,
129,60549,,
130,61941,,
131,62970,,
132,64128,,
133,65370,,
134,67039,,
135,68673,,
136,71149,,
137,73282,,
138,75042,,
139,77733,,
140,80160,,
141,82854,,
142,86167,,
143,90169,,
144,94786,,
145,97537,,
146,101335,,
147,106806,,
148,111797,,
149,120611,,
150,130145,,
151,138499,,
152,143862,,
153,149889,,
154,156434,,
155,165876,,
156,175200,,
157,186530,,
158,196386,,
159,202623,,
160,209922,,
161,219869,,
162,228759,,
163,240009,,
164,250283,,
165,265432,,
166,277639,,
167,286822,,
168,296814,,
169,310573,,
170,321747,,
171,331920,,
172,344305,,
173,354710,,
174,363973,,
175,373637,,
176,383749,,
177,396069,,
178,408114,,
179,417360,,
180,426164,,
181,435302,,
182,444622,,
183,454457,,
184,463357,,
185,472859,,
186,479915,,
187,484729,,
188,490086,,
189,495510,,
190,503083,,
191,510624,,
192,518967,,
193,525106,,
194,529256,,
195,535018,,
196,543113,,
197,549340,,
198,557337,552000.0,5337.0
199,563628,558171.0,5457.0
200,567375,561901.0,5474.0
201,570024,564528.0,5496.0
202,573811,568161.0,5650.0
203,577891,572079.0,5812.0
204,582407,576315.0,6092.0
205,587023,580588.0,6435.0
206,591283,584680.0,6603.0
207,594287,587629.0,6658.0
208,596511,589591.0,6920.0
209,599176,591989.0,7187.0
210,602113,594604.0,7509.0
211,605342,597508.0,7834.0
212,609074,600982.0,8092.0
213,612206,603892.0,8314.0
214,614753,606336.0,8417.0
215,616629,608109.0,8520.0
216,624116,615240.0,8876.0
217,626426,617233.0,9193.0
218,629913,620332.0,9581.0
219,633060,623160.0,9900.0
220,636653,626376.0,10277.0
221,639166,628731.0,10435.0
222,640978,630479.0,10499.0
223,642775,632146.0,10629.0
224,644781,633787.0,10994.0
225,647318,635910.0,11408.0
226,650922,639124.0,11798.0
227,654090,641864.0,12226.0
228,656485,644180.0,12305.0
229,658203,645799.0,12404.0
230,660946,648279.0,12667.0
231,663234,650185.0,13049.0
232,666507,653089.0,13418.0
233,669684,655976.0,13708.0
234,673194,659147.0,14047.0
235,675691,661506.0,14185.0
236,677362,663172.0,14190.0
237,679776,665194.0,14582.0
238,682370,667341.0,15029.0
239,684847,669456.0,15391.0
240,687656,671909.0,15747.0
241,690387,674330.0,16057.0
242,692234,676033.0,16201.0
243,692962,676712.0,16250.0
244,696171,679513.0,16658.0
245,698051,681129.0,16922.0
246,700602,683148.0,17454.0
247,703212,685380.0,17832.0
248,705965,687700.0,18265.0
249,707751,689253.0,18498.0
