,0
0,1
1,613
2,1088
3,2278
4,3003
5,3736
6,4281
7,5261
8,5764
9,6239
10,6853
11,8074
12,8826
13,9696
14,10396
15,10998
16,12207
17,13472
18,14491
19,15735
20,17127
21,18156
22,19314
23,20556
24,22225
25,23859
26,26335
27,28468
28,30228
29,32919
30,35346
31,38040
32,41353
33,45355
34,49972
35,52723
36,56521
37,61992
38,66983
39,75797
40,85331
41,93685
42,99048
43,105075
44,111620
45,121062
46,130386
47,141716
48,151572
49,157809
50,165108
51,175055
52,183945
53,195195
54,205469
55,220618
56,232825
57,242008
58,252000
59,265759
60,276933
61,287106
62,299491
63,309896
64,319159
65,328823
