,total,confirmed,probable
0,2,,
1,2,,
2,2,,
3,6,,
4,7,,
5,12,,
6,17,,
7,22,,
8,31,,
9,42,,
10,66,,
11,99,,
12,121,,
13,146,,
14,197,,
15,287,,
16,420,,
17,507,,
18,600,,
19,772,,
20,1026,,
21,1247,,
22,1525,,
23,2001,,
24,2366,,
25,2651,,
26,2809,,
27,3929,,
28,4638,,
29,5348,,
30,5831,,
31,6160,,
32,6647,,
33,7314,,
34,8818,,
35,9901,,
36,10566,,
37,11483,,
38,12159,,
39,12452,,
40,13315,,
41,14223,,
42,14987,,
43,15669,,
44,17194,,
45,17669,,
46,18301,,
47,18947,,
48,19881,,
49,20740,,
50,21512,,
51,22147,,
52,22695,,
53,23401,,
54,23913,,
55,24615,,
56,25623,25411.0,
57,26155,26155.0,
58,27270,27270.0,
59,28306,28306.0,
60,28602,28602.0,
61,29368,29368.0,
62,29711,29711.0,
63,30696,30696.0,
64,31439,31439.0,
65,32106,32106.0,
66,32532,32532.0,
67,33441,33441.0,
68,33927,33927.0,
69,34635,34635.0,
70,35332,35332.0,
71,35858,35858.0,
72,36681,36681.0,
73,37147,37147.0,
74,37701,37701.0,
75,38081,38081.0,
76,38721,38721.0,
77,39647,39647.0,
78,40405,40405.0,
79,41218,41218.0,
80,42132,42132.0,
81,42838,42838.0,
82,43344,43344.0,
83,43730,43344.0,
84,44421,44421.0,
85,45070,45070.0,
86,45670,45670.0,
87,46286,46286.0,
88,46986,46986.0,
89,47618,47618.0,
90,48207,48207.0,
91,48894,48894.0,
92,49847,49847.0,
93,50621,50621.0,
94,51309,51309.0,
95,51898,51898.0,
96,52497,52497.0,
97,53249,53249.0,
98,53980,53980.0,
99,54973,54973.0,
100,55783,55783.0,
101,56801,56801.0,
102,57681,57681.0,
103,58414,58414.0,
104,59078,59078.0,
105,60030,60030.0,
106,60912,60912.0,
107,62009,62009.0,
108,63809,63809.0,
109,64701,64701.0,
110,65928,65928.0,
111,67678,67678.0,
112,69381,69381.0,
113,71095,71095.0,
114,72995,72995.0,
115,74985,74985.0,
116,77210,77210.0,
117,79417,79417.0,
118,81291,81291.0,
119,84237,84237.0,
120,87709,87709.0,
121,90493,90493.0,
122,93319,93319.0,
123,95516,95516.0,
124,97064,97064.0,
125,100470,100470.0,
126,103890,103890.0,
127,106727,106727.0,
128,111211,111211.0,
129,114401,114401.0,
130,116926,116926.0,
131,120569,120569.0,
132,123963,123963.0,
133,127834,127834.0,
134,131275,131275.0,
135,135183,135183.0,
136,139872,139872.0,
137,143123,143123.0,
138,145575,145575.0,
139,148988,148988.0,
140,152302,152302.0,
141,156588,156588.0,
142,161401,161401.0,
143,165188,165188.0,
144,167953,167953.0,
145,170843,170843.0,
146,175052,175052.0,
147,178323,178323.0,
148,182286,182286.0,
149,186352,186352.0,
150,190012,190012.0,
151,193177,193177.0,
152,195435,195435.0,
153,197948,197948.0,
154,201713,201713.0,
155,204895,204895.0,
156,209004,209004.0,
157,213427,213427.0,
158,216596,216596.0,
159,219025,219025.0,
160,222588,222588.0,
161,226153,226153.0,
162,228668,228668.0,
163,231895,231895.0,
164,235168,235168.0,
165,237030,237030.0,
166,238861,238861.0,
167,241677,241677.0,
168,243982,243982.0,
169,246741,246741.0,
170,249630,249630.0,
171,252222,252222.0,
172,253949,253949.0,
173,256253,256253.0,
174,258354,258354.0,
175,260590,260590.0,
176,263074,263074.0,
177,265372,265372.0,
178,267758,267758.0,
179,268973,268973.0,
180,270471,270471.0,
181,272697,272697.0,
182,274613,274613.0,
183,277288,277288.0,
184,279354,279354.0,
185,281548,281548.0,
186,283199,283199.0,
187,283807,283807.0,
188,285350,285350.0,
189,287287,287287.0,
190,289123,289123.0,
191,290781,290781.0,
192,292905,292905.0,
193,294314,294314.0,
194,295337,295337.0,
195,296833,296833.0,
196,299056,299056.0,
197,300903,300903.0,
198,302737,302737.0,
199,305021,305021.0,
200,306155,306155.0,
201,307339,307339.0,
202,308221,308221.0,
203,309678,309678.0,
204,311046,311046.0,
205,312514,312514.0,
206,313873,313873.0,
207,314685,314685.0,
208,315281,315281.0,
209,316306,316306.0,
210,318026,318026.0,
211,319334,319334.0,
212,320634,320634.0,
213,322078,322078.0,
214,322925,322925.0,
215,323714,323714.0,
216,324650,324650.0,
217,326142,326142.0,
218,327407,327407.0,
219,329032,329032.0,
