,total,confirmed,probable
0,,,
1,,,
2,,,
3,1.0,,
4,1.0,,
5,2.0,,
6,2.0,,
7,2.0,,
8,2.0,,
9,2.0,,
10,2.0,,
11,2.0,,
12,7.0,,
13,10.0,,
14,14.0,,
15,16.0,,
16,26.0,,
17,37.0,,
18,48.0,,
19,56.0,,
20,77.0,,
21,90.0,,
22,95.0,,
23,106.0,,
24,120.0,,
25,151.0,,
26,175.0,,
27,204.0,,
28,208.0,,
29,258.0,,
30,285.0,,
31,319.0,,
32,351.0,,
33,371.0,,
34,387.0,,
35,410.0,,
36,435.0,,
37,442.0,,
38,465.0,,
39,486.0,,
40,499.0,,
41,504.0,,
42,517.0,,
43,530.0,,
44,541.0,,
45,553.0,,
46,574.0,,
47,580.0,,
48,584.0,,
49,586.0,,
50,592.0,,
51,596.0,,
52,601.0,,
53,603.0,,
54,606.0,,
55,607.0,,
56,609.0,,
57,613.0,,
58,618.0,,
59,619.0,,
60,620.0,,
61,620.0,,
62,621.0,,
63,625.0,,
64,626.0,,
65,629.0,,
66,629.0,,
67,631.0,,
68,632.0,,
69,634.0,,
70,635.0,,
71,638.0,,
72,637.0,,
73,638.0,,
74,639.0,,
75,640.0,,
76,640.0,,
77,641.0,,
78,643.0,,
79,647.0,,
80,642.0,,
81,643.0,,
82,643.0,,
83,643.0,,
84,643.0,,
85,644.0,,
86,647.0,,
87,649.0,,
88,651.0,,
89,652.0,,
90,652.0,,
91,653.0,,
92,653.0,,
93,655.0,,
94,664.0,,
95,673.0,,
96,675.0,,
97,676.0,,
98,682.0,,
99,685.0,,
100,692.0,,
101,706.0,,
102,723.0,,
103,728.0,,
104,736.0,,
105,740.0,,
106,744.0,,
107,762.0,,
108,789.0,,
109,803.0,,
110,814.0,,
111,816.0,,
112,819.0,,
113,835.0,,
114,850.0,,
115,866.0,,
116,872.0,,
117,899.0,,
118,900.0,,
119,917.0,,
120,926.0,,
121,946.0,,
122,975.0,,
123,999.0,,
124,1023.0,,
125,1030.0,,
126,1071.0,,
127,1094.0,,
128,1130.0,,
129,1158.0,,
130,1200.0,,
131,1220.0,,
132,1243.0,,
133,1264.0,,
134,1292.0,,
135,1311.0,,
136,1334.0,,
137,1354.0,,
138,1381.0,,
139,1393.0,,
140,1418.0,,
141,1435.0,,
142,1490.0,,
143,1549.0,,
144,1620.0,,
145,1683.0,,
146,1711.0,,
147,1757.0,,
148,1865.0,,
149,1989.0,,
150,2111.0,,
151,2197.0,,
152,2242.0,,
153,2448.0,,
154,2591.0,,
155,2763.0,,
156,2914.0,,
157,3115.0,,
158,3346.0,,
159,3498.0,,
160,3638.0,,
161,3958.0,,
162,4312.0,,
163,4312.0,,
164,4543.0,,
165,4825.0,,
166,5042.0,,
167,5215.0,,
168,5609.0,,
169,5844.0,,
170,5844.0,,
171,6072.0,,
172,6356.0,,
