,total,confirmed,probable
0,0,0,
1,0,0,
2,0,0,
3,3,3,
4,8,8,
5,13,13,
6,14,14,
7,16,16,
8,17,17,
9,18,18,
10,22,22,
11,23,23,
12,29,29,
13,38,38,
14,45,45,
15,68,68,
16,90,90,
17,105,105,
18,124,124,
19,145,145,
20,179,179,
21,235,235,
22,298,298,
23,336,336,
24,424,424,
25,497,497,
26,549,549,
27,614,614,
28,699,699,
29,786,786,
30,868,868,
31,946,946,
32,1048,1048,
33,1145,1145,
34,1270,1270,
35,1388,1388,
36,1510,1510,
37,1587,1587,
38,1710,1710,
39,1899,1899,
40,1995,1995,
41,2141,2141,
42,2332,2332,
43,2513,2513,
44,2902,2902,
45,3159,3159,
46,3641,3641,
47,3748,3748,
48,3924,3924,
49,4445,4445,
50,5092,5092,
51,5476,5476,
52,5868,5868,
53,6376,6376,
54,6843,6843,
55,7145,7145,
56,7884,7884,
57,8641,8641,
58,9169,9169,
59,9703,9703,
60,10111,10111,
61,10404,10404,
62,11059,11059,
63,11457,11457,
64,11671,11671,
65,11959,11959,
66,12373,12373,
67,12912,12912,
68,13289,13289,
69,13675,13675,
70,14049,14049,
71,14328,14328,
72,14651,14651,
73,14955,14955,
74,15349,15349,
75,15614,15614,
76,16170,16170,
77,16504,16504,
78,16893,16893,
79,17252,17252,
80,17577,17252,
81,17703,17703,
82,18360,18360,
83,18573,18573,
84,18926,18926,
85,19244,19244,
86,19552,19552,
87,19697,19697,
88,20016,20016,
89,20055,20055,
90,20805,20805,
91,21152,21152,
92,21478,21478,
93,21667,21667,
94,21987,21987,
95,22236,22236,
96,22551,22551,
97,22938,22938,
98,23337,23337,
99,23717,23717,
100,23926,23926,
101,24053,24053,
102,24179,24179,
103,24461,24461,
104,24854,24854,
105,25275,25275,
106,25496,25496,
107,25963,25963,
108,26051,26051,
109,26373,26373,
110,26705,26705,
111,27197,27197,
112,27686,27686,
113,28012,28012,
114,28489,28489,
115,28782,28782,
116,29007,29007,
117,29451,29451,
118,30209,30209,
119,30429,30429,
120,31041,31041,
121,31353,31353,
122,31657,31657,
123,32029,32029,
124,32509,32509,
125,33240,33240,
126,33984,33984,
127,34647,34647,
128,35071,35071,
129,35529,35529,
130,35849,35849,
131,36291,36291,
132,37132,37132,
133,37722,37722,
134,37907,37907,
135,38723,38723,
136,39166,39166,
137,39474,39474,
138,39793,39793,
139,40634,40634,
140,41271,41271,
141,41671,41671,
142,42200,42200,
143,42554,42554,
144,42777,42777,
145,43277,43277,
146,44038,44038,
147,44582,44582,
148,44976,44976,
149,45492,45492,
150,45841,45841,
151,46042,46042,
152,46659,46659,
153,47361,47361,
154,47865,47865,
155,48283,48283,
156,48789,48789,
157,49071,49071,
158,49329,49329,
159,49806,49806,
160,50336,50336,
161,50932,50932,
162,51793,51793,
163,52428,52428,
164,52722,52722,
165,52951,52951,
166,53288,53288,
167,54015,54015,
168,55006,55006,
169,55735,55735,
170,56275,56275,
171,56633,56633,
172,57294,57294,
173,58235,58235,
174,59786,59786,
175,60971,60971,
176,61749,61749,
177,62720,62720,
178,63328,63328,
179,63919,63919,
180,64645,64645,
181,65523,65523,
182,66614,66614,
183,67642,67642,
184,68291,68291,
185,68684,68684,
186,69139,69139,
187,69503,69503,
188,70405,70405,
189,71133,71133,
190,71706,71706,
191,72490,72490,
192,72876,72876,
193,73277,73277,
194,74080,74080,
195,75028,75028,
196,76211,76211,
197,77058,77058,
198,77679,77679,
199,78339,78339,
200,78887,78887,
201,79923,79923,
202,81071,81071,
203,82045,82045,
204,82944,82944,
205,83636,83636,
206,84002,84002,
207,84476,84476,
208,85596,85596,
209,86634,86634,
210,87559,87559,
211,88470,88470,
212,89096,89096,
213,89460,89460,
214,89934,89934,
215,90884,90884,
216,92145,92145,
217,93187,93187,
218,94271,94271,
219,95346,95346,
220,95809,95809,
221,96338,96338,
222,97384,97384,
223,98717,98717,
224,99946,99946,
225,101103,101103,
226,101960,101960,
227,102517,102517,
228,103011,103011,
229,104190,104190,
230,105625,105625,
231,106874,106874,
232,108514,108514,
233,109657,109657,
234,110404,110404,
235,111261,111261,
236,113042,113042,
237,114982,114982,
238,117185,117185,
239,119755,119755,
240,121967,121967,
241,123372,123372,
242,124464,124464,
243,126740,126740,
244,130732,130732,
245,133510,133510,
246,137228,137228,
247,140541,140541,
248,144922,144922,
249,147656,147656,
250,151953,151953,
251,155603,155603,
252,159635,159635,
253,163728,163728,
254,167282,167282,
255,169353,169353,
256,171545,171545,
257,174839,174839,
258,178313,178313,
259,181790,181790,
260,184968,184968,
261,187505,187505,
262,189856,189856,
263,191152,191152,
264,194395,194395,
265,197086,197086,
266,198222,198222,
267,199683,199683,
268,201267,201267,
269,202410,202410,
270,203398,203398,
271,205773,205773,
272,207969,207969,
273,210236,210236,
274,211891,211891,
275,213390,213390,
276,214067,214067,
277,214897,214897,
278,216694,216694,
279,218377,218377,
280,219914,219914,
281,221159,221159,
282,222148,222148,
283,222785,222785,
284,223511,223511,
285,225050,225050,
286,226465,226465,
287,227989,227989,
288,229187,229187,
289,230084,230084,
290,230622,230622,
291,231264,231264,
292,232765,232765,
293,233881,233881,
294,234751,234751,
295,235061,235061,
296,235539,235539,
297,236101,236101,
298,236798,236798,
299,237850,237850,
300,239173,239173,
301,240766,240766,
302,241242,241242,
303,242107,242107,
304,242808,242808,
305,243829,243829,
306,245839,245839,
307,247133,247133,
308,248741,248741,
309,249813,249813,
310,250753,250753,
311,251229,251229,
312,251866,251866,
313,253307,253307,
314,254453,254453,
315,255488,255488,
316,256403,256403,
317,256951,256951,
318,257431,257431,
319,258148,258148,
320,258865,258865,
321,260227,260227,
322,261193,261193,
323,262149,262149,
324,262860,262860,
325,263261,263261,
326,263852,263852,
327,264583,264583,
328,265546,265546,
329,266280,266280,
330,266934,266934,
331,267558,267558,
332,267913,267913,
333,268376,268376,
334,269284,269284,
335,269984,269984,
336,270633,270633,
337,270935,270935,
338,271381,271381,
339,271698,271698,
340,272103,272103,
341,272824,272824,
342,273417,273417,
343,273936,273936,
344,274386,274386,
345,274741,274741,
346,274955,274955,
347,275247,275247,
348,275713,275713,
349,276229,276229,
350,276621,276621,
351,276966,276966,
352,277268,277268,
353,277580,277580,
354,277821,277821,
355,278410,278410,
356,278883,278883,
357,279429,279429,
358,279744,279744,
359,280039,280039,
360,280279,280279,
361,280509,280509,
362,280991,280991,
363,281391,281391,
364,281765,281765,
365,282127,282127,
366,282384,282384,
