,total,confirmed,probable
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,2,2,0
8,5,5,0
9,6,6,0
10,11,11,0
11,14,14,0
12,20,20,0
13,31,31,0
14,40,40,0
15,47,47,0
16,50,50,0
17,82,82,0
18,104,104,0
19,150,150,0
20,210,210,0
21,248,248,0
22,264,264,0
23,309,309,0
24,414,414,0
25,524,524,0
26,668,668,0
27,890,890,0
28,1012,1012,0
29,1076,1076,0
30,1100,1100,0
31,1169,1169,0
32,1209,1209,0
33,1231,1231,0
34,1365,1352,13
35,1423,1395,28
36,1437,1406,31
37,1458,1426,32
38,1499,1453,46
39,1538,1464,74
40,1587,1507,80
41,1609,1528,81
42,1655,1566,89
43,1668,1577,91
44,1672,1581,91
45,1736,1638,98
46,1766,1659,107
47,1802,1688,114
48,1836,1721,115
49,1870,1750,120
50,1887,1760,127
51,1897,1768,129
52,1917,1785,132
53,1952,1810,142
54,1984,1831,153
55,2015,1860,155
56,2035,1880,155
57,2061,1905,156
58,2061,1905,156
59,2106,1944,162
60,2127,1957,170
61,2158,1986,172
62,2178,2007,171
63,2205,2027,178
64,2230,2049,181
65,2230,2049,181
66,2260,2073,187
67,2293,2099,194
68,2324,2126,198
69,2351,2152,199
70,2389,2186,203
71,2419,2203,216
72,2419,2203,216
73,2455,2233,222
74,2476,2253,223
75,2506,2278,228
76,2534,2301,233
77,2595,2356,239
78,2626,2387,239
79,2626,2387,239
80,2626,2387,239
81,2699,2458,241
82,2731,2485,246
83,2769,2519,250
84,2803,2551,252
85,2839,2578,261
86,2839,2578,261
87,2906,2643,263
88,2933,2660,273
89,2990,2709,281
90,3054,2763,291
91,3111,2821,290
92,3139,2840,299
93,3139,2840,299
94,3189,2888,301
95,3220,2914,306
96,3260,2947,313
97,3302,2984,318
98,3353,3023,330
99,3399,3061,338
100,3399,3061,338
101,3462,3121,341
102,3540,3197,343
103,3632,3258,374
104,3743,3354,389
105,3871,3466,405
106,4006,3585,421
107,4006,3585,421
108,4254,3820,434
109,4402,3943,459
110,4645,4166,479
111,4865,4366,499
112,5148,4629,519
113,5319,4790,529
114,5319,4790,529
115,5752,5212,540
116,6117,5553,564
117,6370,5786,584
118,6593,6003,590
119,6994,6401,593
120,7370,6779,591
121,7733,7144,589
122,8052,7436,616
123,8539,7884,655
124,8969,8307,662
125,9428,8740,688
126,9928,9219,709
127,10505,9775,730
128,10902,10163,739
129,11402,10658,744
130,11718,10946,772
131,12445,11637,808
132,13133,12295,838
133,13752,12883,869
134,14302,13419,883
135,14873,13979,894
136,15266,14337,929
137,15822,14860,962
138,16322,15321,1001
139,16736,15706,1030
140,17264,16208,1056
141,17827,16735,1092
142,18177,17086,1091
143,18694,17565,1129
144,19222,18072,1150
145,19679,18503,1176
146,20246,19020,1226
147,20721,19463,1258
148,21114,19849,1265
149,21344,20067,1277
150,21675,20372,1303
151,22234,20867,1367
152,22707,21268,1439
153,23399,21916,1483
154,23922,22408,1514
155,24495,22953,1542
156,24671,23123,1548
157,25100,23525,1575
158,25595,23950,1645
159,26133,24418,1715
160,26631,24883,1748
161,27173,25385,1788
162,27477,25661,1816
163,27660,25841,1819
164,27942,26091,1851
165,28326,26431,1895
166,28696,26754,1942
167,29120,27139,1981
168,29369,27371,1998
169,29662,27637,2025
170,29853,27815,2038
171,30070,27989,2081
172,30475,28332,2143
173,30780,28556,2224
174,31122,28841,2281
175,31384,29088,2296
176,31677,29374,2303
177,31867,29556,2311
178,32088,29747,2341
179,32368,29969,2399
180,32664,30227,2437
181,32927,30489,2438
182,33196,30734,2462
183,33477,30999,2478
184,33667,31181,2486
185,33741,31245,2496
186,33981,31443,2538
187,34310,31688,2622
