,0
0,2
1,5
2,6
3,11
4,14
5,20
6,31
7,40
8,47
9,50
10,82
11,104
12,150
13,210
14,248
15,264
16,309
17,414
18,524
19,668
20,890
21,1012
22,1076
23,1100
24,1169
25,1209
26,1231
27,1365
28,1423
29,1437
30,1458
31,1499
32,1538
33,1587
34,1609
35,1655
36,1668
37,1672
38,1736
39,1766
40,1802
41,1836
42,1870
43,1887
44,1897
45,1917
46,1952
47,1984
48,2015
49,2035
50,2061
51,2061
52,2106
53,2127
54,2158
55,2178
56,2205
57,2230
58,2230
59,2260
60,2293
61,2324
62,2351
63,2389
64,2419
65,2419
66,2455
67,2476
68,2506
69,2534
70,2595
71,2626
72,2626
73,2626
74,2699
75,2731
76,2769
77,2803
78,2839
79,2839
80,2906
81,2933
82,2990
83,3054
84,3111
85,3139
86,3139
87,3189
88,3220
89,3260
90,3302
91,3353
92,3399
93,3399
94,3462
95,3540
96,3632
97,3743
98,3871
99,4006
100,4006
101,4254
102,4402
103,4645
104,4865
105,5148
106,5319
107,5319
108,5752
109,6117
110,6370
111,6593
112,6994
113,7370
114,7733
115,8052
116,8539
117,8969
118,9428
119,9928
120,10505
121,10902
122,11402
123,11718
124,12445
125,13133
126,13752
127,14302
128,14873
129,15266
130,15822
131,16322
132,16736
133,17264
134,17827
135,18177
136,18694
