,total,confirmed,probable
0,4,,
1,5,,
2,5,,
3,6,,
4,6,,
5,7,,
6,19,,
7,19,,
8,25,,
9,32,,
10,46,,
11,64,,
12,93,,
13,159,,
14,288,,
15,422,,
16,585,,
17,753,,
18,1049,,
19,1273,,
20,1535,,
21,1865,,
22,2538,,
23,3026,,
24,3491,,
25,4596,,
26,5057,,
27,5994,,
28,6980,,
29,7695,,
30,8904,,
31,10357,,
32,11256,,
33,12262,,
34,13549,,
35,15078,,
36,16422,,
37,17887,,
38,19180,,
39,20852,,
40,22025,,
41,23247,,
42,24593,,
43,25733,,
44,27575,,
45,29160,,
46,30357,,
47,31508,,
48,33059,,
49,35108,,
50,36934,,
51,39658,,
52,41777,,
53,43903,,
54,45883,,
55,48102,,
56,50355,50355.0,
57,52918,52918.0,
58,56055,56055.0,
59,58505,58505.0,
60,61499,61499.0,
61,63840,63840.0,
62,65962,65962.0,
63,68232,68232.0,
64,70873,70873.0,
65,73760,73760.0,
66,76085,76085.0,
67,77741,77741.0,
68,79007,79007.0,
69,83021,83021.0,
70,84698,84698.0,
71,87937,87937.0,
72,90369,90369.0,
73,92457,92457.0,
74,94191,94191.0,
75,96485,96485.0,
76,98030,98030.0,
77,100418,100418.0,
78,102686,102686.0,
79,105444,105444.0,
80,107796,107796.0,
81,110304,110304.0,
82,112017,112017.0,
83,113195,113195.0,
84,114306,114306.0,
85,115833,115833.0,
86,117455,117455.0,
87,118917,118917.0,
88,120260,120260.0,
89,121234,121234.0,
90,122848,122848.0,
91,123830,123830.0,
92,124759,124759.0,
93,125915,125915.0,
94,126890,126890.0,
95,127757,127757.0,
96,129139,128415.0,724.0
97,129936,129212.0,724.0
98,130561,129837.0,724.0
99,131327,130603.0,724.0
100,132059,131198.0,861.0
101,132732,131871.0,861.0
102,133404,132543.0,861.0
103,133877,133016.0,861.0
104,134500,133639.0,861.0
105,135046,134185.0,861.0
106,135639,134778.0,861.0
107,136470,135470.0,1000.0
108,137104,136104.0,1000.0
109,137762,136762.0,1000.0
110,138224,137224.0,1000.0
111,138825,137825.0,1000.0
112,139540,138540.0,1000.0
113,140434,139434.0,1000.0
114,141344,140291.0,1053.0
115,142130,141077.0,1053.0
116,142776,141723.0,1053.0
117,143514,142461.0,1053.0
118,144238,143185.0,1053.0
119,145066,144013.0,1053.0
120,145935,144882.0,1053.0
121,146872,145750.0,1122.0
122,147734,146612.0,1122.0
123,148373,147251.0,1122.0
124,148987,147865.0,1122.0
125,149574,148452.0,1122.0
126,150554,149432.0,1122.0
127,151572,150450.0,1122.0
128,152899,151767.0,1132.0
129,154094,152962.0,1132.0
130,155048,153916.0,1132.0
131,155931,154799.0,1132.0
132,156638,155506.0,1132.0
133,157825,156693.0,1132.0
134,159082,157950.0,1132.0
135,160509,159334.0,1175.0
136,161785,160610.0,1175.0
137,162750,161575.0,1175.0
138,163923,162748.0,1175.0
139,164878,163703.0,1175.0
140,166476,165301.0,1175.0
141,168100,166925.0,1175.0
142,169699,168457.0,1242.0
143,171125,169883.0,1242.0
144,172666,171424.0,1242.0
145,173897,172655.0,1242.0
146,174973,173731.0,1242.0
147,176366,175124.0,1242.0
148,178138,176896.0,1242.0
149,180118,178837.0,1281.0
150,181757,180476.0,1281.0
151,183224,181943.0,1281.0
152,184522,183241.0,1281.0
153,185993,184712.0,1281.0
154,187752,186471.0,1281.0
155,189705,188424.0,1281.0
156,191808,190508.0,1300.0
157,193998,192698.0,1300.0
158,195380,194080.0,1300.0
159,196699,195399.0,1300.0
160,198248,196948.0,1300.0
161,199893,198593.0,1300.0
162,201727,200427.0,1300.0
163,204023,202691.0,1332.0
164,205851,204519.0,1332.0
165,207413,206081.0,1332.0
166,209186,207854.0,1332.0
167,210926,209594.0,1332.0
168,213221,211889.0,1332.0
169,215053,213721.0,1332.0
170,217346,215929.0,1417.0
171,219702,218285.0,1417.0
172,221595,220178.0,1417.0
173,223207,221790.0,1417.0
174,224887,223470.0,1417.0
175,227044,225627.0,1417.0
176,228751,227334.0,1417.0
177,231185,229483.0,1702.0
178,233065,231363.0,1702.0
179,235057,233355.0,1702.0
180,236725,235023.0,1702.0
181,238217,236515.0,1702.0
182,240345,238643.0,1702.0
183,241705,240003.0,1702.0
184,247299,245371.0,1928.0
185,250105,248177.0,1928.0
186,251508,249580.0,1928.0
187,252889,250961.0,1928.0
188,254281,252353.0,1928.0
189,255618,253690.0,1928.0
190,257571,255643.0,1928.0
191,259883,257788.0,2095.0
192,262004,259909.0,2095.0
193,263466,261371.0,2095.0
194,264839,262744.0,2095.0
195,266305,264210.0,2095.0
196,268246,266151.0,2095.0
197,270302,268207.0,2095.0
198,272525,270327.0,2198.0
199,275054,272856.0,2198.0
200,276456,274258.0,2198.0
201,277933,275735.0,2198.0
202,279464,277266.0,2198.0
203,281312,279114.0,2198.0
204,283569,281371.0,2198.0
205,286374,283885.0,2489.0
206,288815,286326.0,2489.0
207,290419,287930.0,2489.0
208,292128,289639.0,2489.0
209,293490,291001.0,2489.0
210,295763,293274.0,2489.0
211,297929,295440.0,2489.0
212,300385,297646.0,2739.0
213,302827,300088.0,2739.0
214,304280,301541.0,2739.0
215,306133,303394.0,2739.0
216,307750,305011.0,2739.0
217,310380,307641.0,2739.0
218,313439,310700.0,2739.0
219,316556,313518.0,3038.0
220,319461,316423.0,3038.0
221,322188,319150.0,3038.0
222,324930,321892.0,3038.0
223,327781,324743.0,3038.0
224,330643,327605.0,3038.0
225,334658,331620.0,3038.0
226,339761,336174.0,3587.0
227,343390,339803.0,3587.0
228,347635,344048.0,3587.0
229,350748,347161.0,3587.0
230,354462,350875.0,3587.0
231,358804,355217.0,3587.0
232,363746,360159.0,3587.0
233,368746,364033.0,4713.0
234,374907,370194.0,4713.0
235,378969,374256.0,4713.0
236,383698,378985.0,4713.0
237,387698,382985.0,4713.0
238,393808,389095.0,4713.0
239,400171,395458.0,4713.0
240,408660,402401.0,6259.0
241,416559,410300.0,6259.0
242,423539,417280.0,6259.0
243,429761,423502.0,6259.0
244,436277,430018.0,6259.0
245,443815,437556.0,6259.0
246,453750,447491.0,6259.0
247,465540,,
248,477978,,
249,487987,,
250,498560,,
251,511183,,
252,523840,,
253,536542,,
254,551957,,
255,562985,,
256,573616,,
257,585248,,
258,597849,,
259,606771,,
260,621383,,
261,634395,,
262,646286,,
263,656298,,
264,664620,,
265,674089,,
266,685467,,
267,697489,,
268,705063,,
269,712936,,
270,720114,,
271,726304,,
272,738846,,
273,748603,,
274,759562,,
275,770088,,
276,779975,,
277,787573,,
278,796264,,
279,804174,,
280,812430,,
281,823531,,
282,832951,,
283,841688,,
284,848904,,
285,856118,,
286,863477,,
287,870600,,
288,879428,,
289,886805,,
290,894367,,
291,900370,,
292,905069,,
293,911308,,
294,918070,,
295,925107,,
296,930849,,
297,934142,,
298,937909,,
299,942362,,
300,948006,,
301,955380,,
302,963389,,
303,970590,,
304,975352,,
305,979821,,
306,984880,,
307,991719,,
308,999288,,
309,1008045,,
310,1017322,,
311,1024039,,
312,1028750,,
313,1033526,,
314,1040168,,
315,1046030,,
316,1052682,,
317,1059324,,
318,1064667,,
319,1068829,,
320,1072214,,
321,1076532,,
322,1081354,,
323,1086333,,
324,1093375,,
325,1098527,,
326,1101819,,
327,1104763,,
328,1108430,,
329,1112181,,
330,1116372,,
331,1120528,,
332,1123873,,
333,1126301,,
334,1128613,,
335,1130917,,
336,1134231,,
337,1137559,,
338,1141219,,
339,1144281,,
340,1146341,,
341,1148088,,
342,1150170,,
343,1152995,,
344,1155833,,
345,1158431,,
346,1160523,,
347,1162154,,
348,1163574,,
349,1164922,,
350,1166717,,
351,1168683,,
352,1170902,,
353,1172824,,
354,1174409,,
355,1175655,,
356,1177320,,
357,1179342,,
358,1181226,,
359,1183667,,
360,1185447,,
361,1186696,,
362,1187839,,
363,1189416,,
364,1191520,,
365,1193260,,
366,1194702,,
367,1197267,,
368,1198335,,
