,0
0,4
1,5
2,5
3,6
4,6
5,7
6,19
7,19
8,25
9,32
10,46
11,64
12,93
13,159
14,288
15,422
16,585
17,753
18,1049
19,1273
20,1535
21,1865
22,2538
23,3026
24,3491
25,4596
26,5057
27,5994
28,6980
29,7695
30,8904
31,10357
32,11256
33,12262
34,13549
35,15078
36,16422
37,17887
38,19180
39,20852
40,22025
41,23247
42,24593
43,25733
44,27575
45,29160
46,30357
47,31508
48,33059
49,35108
50,36934
51,39658
52,41777
53,43903
54,45883
55,48102
56,50355
57,52918
58,56055
59,58505
60,61499
61,63840
62,65962
63,68232
64,70873
65,73760
66,76085
67,77741
68,79007
69,83021
70,84698
