,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,1.0,,
9,1.0,,
10,2.0,,
11,2.0,,
12,6.0,,
13,10.0,,
14,12.0,,
15,12.0,,
16,15.0,,
17,19.0,,
18,24.0,,
19,30.0,,
20,39.0,,
21,56.0,,
22,79.0,,
23,126.0,,
24,201.0,,
25,259.0,,
26,365.0,,
27,477.0,,
28,645.0,,
29,981.0,,
30,1232.0,,
31,1514.0,,
32,1786.0,,
33,2159.0,,
34,2565.0,,
35,3039.0,,
36,3437.0,,
37,3953.0,,
38,4411.0,,
39,4944.0,,
40,5507.0,,
41,5943.0,,
42,6351.0,,
43,6907.0,,
44,7435.0,,
45,7928.0,,
46,8236.0,,
47,8527.0,,
48,8955.0,,
49,9542.0,,
50,10154.0,,
51,10641.0,,
52,11210.0,,
53,11686.0,,
54,12097.0,,
55,12438.0,,
56,13039.0,,
57,13680.0,,
58,14395.0,,
59,15012.0,,
60,15961.0,,
61,16588.0,,
62,17182.0,,
63,17835.0,,
64,18630.0,,
65,19295.0,,
66,19933.0,,
67,20507.0,,
68,21033.0,,
69,21870.0,,
70,22503.0,,
71,23146.0,,
72,23732.0,,
73,24126.0,,
74,24627.0,,
75,25127.0,,
76,25473.0,,
77,26053.0,,
78,26655.0,,
79,27280.0,,
80,27778.0,,
81,28255.0,,
82,28705.0,,
83,29274.0,,
84,29936.0,,
85,30409.0,,
86,30901.0,,
87,31376.0,,
88,31715.0,,
89,32078.0,,
90,32437.0,,
91,33068.0,,
92,33558.0,,
93,34211.0,,
94,34574.0,,
95,34830.0,,
96,35237.0,,
97,35712.0,,
98,36096.0,,
99,36578.0,,
100,36997.0,,
101,37397.0,,
102,37623.0,,
103,38033.0,,
104,38337.0,,
105,38748.0,,
106,39146.0,,
107,39543.0,,
108,39909.0,,
109,40430.0,,
110,40786.0,,
111,41013.0,,
112,41438.0,,
113,41746.0,,
114,42061.0,,
115,42423.0,,
116,42633.0,,
117,42871.0,,
118,43140.0,,
119,43655.0,,
120,44140.0,,
121,44575.0,,
122,44930.0,,
123,45228.0,,
124,45594.0,,
125,45952.0,,
126,46387.0,,
127,46915.0,,
128,47432.0,,
129,48008.0,,
130,48331.0,,
131,48626.0,,
132,49063.0,,
133,49575.0,,
134,50300.0,,
135,51079.0,,
136,51612.0,,
137,52037.0,,
138,52685.0,,
139,53370.0,,
140,54080.0,,
141,54813.0,,
142,55654.0,,
143,56571.0,,
144,57206.0,,
145,57916.0,,
146,58673.0,,
147,59602.0,,
148,60598.0,,
149,61520.0,,
150,62372.0,,
151,62907.0,,
152,63678.0,,
153,64299.0,,
154,65253.0,,
155,66154.0,,
156,67122.0,,
157,67857.0,,
158,68433.0,,
159,69255.0,,
160,69975.0,,
161,71015.0,,
162,72254.0,,
163,73287.0,,
164,74328.0,,
