,0
0,1.0
1,1.0
2,2.0
3,2.0
4,6.0
5,10.0
6,12.0
7,12.0
8,15.0
9,19.0
10,24.0
11,30.0
12,39.0
13,56.0
14,79.0
15,126.0
16,201.0
17,259.0
18,365.0
19,477.0
20,645.0
21,981.0
22,1232.0
23,1514.0
24,1786.0
25,2159.0
26,2565.0
27,3039.0
28,3437.0
29,3953.0
30,4411.0
31,4944.0
32,5507.0
33,5943.0
34,6351.0
35,6907.0
36,7435.0
37,7928.0
38,8236.0
39,8527.0
40,8955.0
41,9542.0
42,10154.0
43,10641.0
44,11210.0
45,11686.0
46,12097.0
47,12438.0
48,13039.0
49,13680.0
50,14395.0
51,15012.0
52,15961.0
53,16588.0
54,17182.0
55,17835.0
56,18630.0
57,19295.0
58,19933.0
59,20507.0
60,21033.0
61,21870.0
62,22503.0
