,total,confirmed,probable
0,0,,
1,0,,
2,1,,
3,1,,
4,1,,
5,1,,
6,4,,
7,6,,
8,6,,
9,8,,
10,11,,
11,15,,
12,16,,
13,34,,
14,44,,
15,55,,
16,64,,
17,82,,
18,98,,
19,126,,
20,168,,
21,202,,
22,261,,
23,319,,
24,368,,
25,428,,
26,482,,
27,552,,
28,620,,
29,698,,
30,747,,
31,845,,
32,900,,
33,1046,,
34,1106,,
35,1166,,
36,1268,,
37,1337,,
38,1376,,
39,1426,,
40,1494,,
41,1588,,
42,1705,,
43,1790,,
44,1849,,
45,1986,,
46,2025,,
47,2211,,
48,2482,,
49,2777,,
50,3056,,
51,3174,,
52,3328,,
53,3491,,
54,3738,,
55,4238,,
56,4449,,
57,4746,,
58,5030,,
59,5245,,
60,5458,,
61,5734,,
62,6144,,
63,6501,,
64,6751,,
65,6948,,
66,7116,,
67,7116,,
68,7468,,
69,7468,,
70,7886,,
71,7886,,
72,7886,,
73,8340,,
74,8340,,
75,8539,,
76,8539,,
77,8958,,
78,8958,,
79,8958,,
80,9218,,
81,9218,,
82,9337,,
83,9337,,
84,9719,,
85,9719,,
86,9719,,
87,10011,,
88,10011,,
89,10170,,
90,10170,,
91,10393,,
92,10393,,
93,10393,,
94,10650,,
95,10650,,
96,10812,,
97,10812,,
98,11047,,
99,11047,,
100,11047,,
101,11419,,
102,11419,,
103,11681,,
104,11681,,
105,12059,,
106,12059,,
107,12059,,
108,12465,,
109,12465,,
110,12970,,
111,12970,,
112,13538,,
113,13538,,
114,13538,,
115,14443,,
116,14443,,
117,14990,,
118,14990,,
119,15919,,
120,15919,,
121,15919,,
122,16901,,
123,16901,,
124,17618,,
125,17618,,
126,18611,,
127,18611,,
128,18611,,
129,20058,,
130,20058,,
131,20933,,
132,20933,,
133,21965,,
134,21965,,
135,21965,,
136,23334,,
137,23334,,
138,24104,,
139,24104,,
140,25109,,
141,25109,,
142,25109,,
143,26172,,
144,26172,,
145,26870,,
146,26870,,
147,27812,,
148,27812,,
149,27812,,
150,28876,,
151,28876,,
152,29717,,
153,29717,,
154,30638,,
155,30638,,
156,30638,,
157,31730,,
158,31730,,
159,32547,,
160,32547,,
161,33885,,
162,33885,,
163,33885,,
164,35167,,
165,35167,,
166,35890,,
167,35890,,
168,36856,,
169,36856,,
170,36856,,
171,38401,,
172,38401,,
173,39937,,
174,39937,,
175,41048,,
176,41048,,
177,41048,,
178,42612,,
179,42612,,
180,43940,,
181,43940,,
182,45220,,
183,45220,,
184,45220,,
185,46914,,
186,46914,,
187,47410,,
188,47410,,
189,48386,,
190,48386,,
191,48386,,
192,49899,,
193,49899,,
194,50870,,
195,50870,,
196,52285,,
197,52285,,
198,52285,,
199,53959,,
200,53959,,
201,55226,,
202,55226,,
203,56592,,
204,56592,,
205,56592,,
206,58629,,
207,58629,,
208,59749,,
209,59749,,
210,61111,,
211,61111,,
212,61111,,
213,62708,,
214,62708,,
215,63952,,
216,63952,,
217,65807,,
218,65807,,
219,65807,,
220,67862,,
221,67862,,
222,69155,,
223,69155,,
224,70855,,
225,70855,,
226,70855,,
227,72968,,
228,72968,,
229,74456,,
230,74456,,
231,76230,,
232,76230,,
233,76230,,
234,78676,,
235,78676,,
236,82045,,
237,82045,,
238,85181,,
239,85181,,
240,85181,,
241,89227,,
242,89227,,
243,92215,,
244,92215,,
245,97633,,
246,97633,,
247,97633,,
248,103553,,
249,103553,,
250,109225,,
251,109225,,
252,115507,,
253,115507,,
254,115507,,
255,122741,,
256,122741,,
257,128594,,
258,128594,,
259,134533,,
260,134533,,
261,134533,,
262,142059,,
263,142059,,
264,147797,,
265,147797,,
266,153021,,
267,153021,,
268,153021,,
269,157446,,
270,157446,,
271,162061,,
272,162061,,
273,168295,,
274,168295,,
275,168295,,
276,174025,,
277,174025,,
278,179803,,
279,179803,,
280,185294,,
281,185294,,
282,185294,,
283,190018,,
284,190018,,
285,194569,,
286,194569,,
287,200426,,
288,200426,,
289,200426,,
290,204600,,
291,204600,,
292,209689,,
293,209689,,
294,209689,,
295,209689,,
296,209689,,
297,216062,,
298,216062,,
299,222433,,
300,222433,,
301,227745,,
302,227745,,
303,227745,,
304,231317,,
305,231317,,
306,236818,,
307,236818,,
308,242322,,
309,242322,,
310,242322,,
311,247502,,
312,247502,,
313,252041,,
314,252041,,
315,256134,,
316,256134,,
317,256134,,
318,259822,,
319,259822,,
320,263412,,
321,263412,,
322,266653,,
323,266653,,
324,266653,,
325,269255,,
326,269255,,
327,272517,,
328,272517,,
329,274685,,
330,274685,,
331,274685,,
332,276668,,
333,276668,,
334,278915,,
335,278915,,
336,281562,,
337,281562,,
338,281562,,
339,282960,,
340,282960,,
341,284894,,
342,284894,,
343,286102,,
344,286102,,
345,286102,,
346,287450,,
347,287450,,
348,288717,,
349,288717,,
350,290832,,
351,290832,,
352,290832,,
353,291715,,
354,291715,,
355,292837,,
356,292837,,
357,293663,,
358,293663,,
359,293663,,
360,294302,,
361,294302,,
362,295109,,
363,295109,,
364,295861,,
365,295861,,
366,295861,,
