,total,confirmed,probable
0,0,,
1,1,,
2,1,,
3,4,,
4,6,,
5,8,,
6,8,,
7,11,,
8,14,,
9,16,,
10,21,,
11,22,,
12,26,,
13,35,,
14,47,,
15,54,,
16,99,,
17,104,,
18,124,,
19,157,,
20,198,,
21,248,,
22,302,,
23,394,,
24,439,,
25,480,,
26,591,,
27,680,,
28,770,,
29,831,,
30,917,,
31,955,,
32,1008,,
33,1149,,
34,1346,,
35,1693,,
36,1693,,
37,1840,,
38,1963,,
39,2048,,
40,2210,,
41,2291,,
42,2429,,
43,2522,,
44,2707,,
45,2960,,
46,3050,,
47,3192,,
48,3373,,
49,3481,,
50,3779,,
51,3905,,
52,4074,,
53,4146,4145.0,
54,4375,4374.0,
55,4539,4539.0,
56,4708,4707.0,
57,4879,4878.0,
58,4879,4878.0,
59,5130,5129.0,
60,5245,5244.0,
61,5822,5821.0,
62,5934,5931.0,
63,6129,6119.0,
64,6288,6269.0,
65,6440,6417.0,
66,6440,6417.0,
67,6677,6654.0,
68,6853,6828.0,
69,7080,7049.0,
70,7225,7193.0,
71,7444,7408.0,
72,7688,7408.0,
73,7688,7408.0,
74,8069,7883.0,
75,8069,7979.0,
76,8275,8167.0,108.0
77,8286,8175.0,111.0
78,8426,8305.0,121.0
79,8571,8451.0,120.0
80,8571,8451.0,120.0
81,8571,8451.0,120.0
82,9077,8924.0,153.0
83,9077,8924.0,153.0
84,9184,9028.0,156.0
85,9464,9303.0,161.0
86,9704,9537.0,167.0
87,10046,9853.0,193.0
88,10185,9970.0,215.0
89,10410,10192.0,218.0
90,10705,10479.0,226.0
91,10977,10734.0,243.0
92,11287,11031.0,256.0
93,11287,11031.0,256.0
94,11476,11212.0,264.0
95,11708,11419.0,289.0
96,11883,11576.0,307.0
97,11945,11637.0,308.0
98,11945,11637.0,308.0
99,12445,12125.0,320.0
100,12445,12125.0,320.0
101,12647,12326.0,321.0
102,12829,12490.0,339.0
103,12995,12646.0,349.0
104,13197,12846.0,351.0
105,13454,13097.0,357.0
106,13630,13253.0,377.0
107,13750,13369.0,381.0
108,13839,13449.0,390.0
109,14141,13736.0,405.0
110,14363,13937.0,426.0
111,14617,14182.0,435.0
112,14859,14401.0,458.0
113,14859,14401.0,458.0
114,15232,14732.0,500.0
115,15347,14835.0,512.0
116,15624,15090.0,534.0
117,15842,15286.0,556.0
118,16079,15508.0,571.0
119,16376,15781.0,595.0
120,16376,15781.0,595.0
121,16376,15781.0,595.0
122,17152,16525.0,627.0
123,17519,16864.0,655.0
124,17919,17202.0,717.0
125,18245,17491.0,754.0
126,18670,17890.0,780.0
127,19121,18307.0,814.0
128,19389,18562.0,827.0
129,19653,18824.0,829.0
130,20223,19349.0,874.0
131,20677,19737.0,940.0
132,21083,20118.0,965.0
133,21605,20607.0,998.0
134,22184,21128.0,1056.0
135,23161,22095.0,1066.0
136,23414,22328.0,1086.0
137,24060,22916.0,1144.0
138,24540,23336.0,1204.0
139,25147,23882.0,1265.0
140,25931,24615.0,1316.0
141,26764,25390.0,1374.0
142,27079,25699.0,1380.0
143,27601,26209.0,1392.0
144,28126,26656.0,1470.0
145,28727,27173.0,1554.0
146,29386,27716.0,1670.0
147,30151,28404.0,1747.0
148,30723,28922.0,1801.0
149,31185,29346.0,1839.0
150,31508,29623.0,1885.0
151,32197,30238.0,1959.0
152,32741,30712.0,2029.0
153,33254,31146.0,2108.0
154,33796,31635.0,2161.0
155,34578,32330.0,2248.0
156,34982,32713.0,2269.0
157,35254,32941.0,2313.0
158,35793,33379.0,2414.0
159,36945,34415.0,2530.0
160,37686,35036.0,2650.0
161,38298,35565.0,2733.0
162,38930,36117.0,2813.0
163,39315,36475.0,2840.0
164,39691,36824.0,2867.0
165,40299,37304.0,2995.0
166,40926,37848.0,3078.0
167,41626,38475.0,3151.0
168,42265,39068.0,3197.0
169,42265,39068.0,3197.0
170,43529,40181.0,3348.0
171,43899,40493.0,3406.0
172,44568,41054.0,3514.0
173,45230,41567.0,3663.0
174,45978,42169.0,3809.0
175,46757,42811.0,3946.0
176,47577,43507.0,4070.0
177,48032,43901.0,4131.0
178,48396,44212.0,4184.0
179,49185,44824.0,4361.0
180,49991,45497.0,4494.0
181,50885,46166.0,4719.0
182,51677,46846.0,4831.0
183,52464,47487.0,4977.0
184,52774,47741.0,5033.0
185,53064,47956.0,5108.0
186,53319,48141.0,5178.0
187,53977,48599.0,5378.0
188,54772,49198.0,5574.0
189,55704,49979.0,5725.0
190,56415,50535.0,5880.0
191,56945,51018.0,5927.0
192,57282,51317.0,5965.0
193,58000,51862.0,6138.0
194,58764,52437.0,6327.0
195,59370,52887.0,6483.0
196,60128,53509.0,6619.0
197,61106,54325.0,6781.0
198,61542,54695.0,6847.0
199,61917,54996.0,6921.0
200,62731,55577.0,7154.0
201,63517,56154.0,7363.0
202,64158,56608.0,7550.0
203,65066,57366.0,7700.0
204,66036,58128.0,7908.0
205,66491,58501.0,7990.0
206,66939,58888.0,8051.0
207,67856,59544.0,8312.0
208,68840,60218.0,8622.0
209,69728,60875.0,8853.0
210,70727,61647.0,9080.0
211,72001,62669.0,9332.0
212,72617,63189.0,9428.0
213,73158,63658.0,9500.0
214,74194,64350.0,9844.0
215,76587,66148.0,10439.0
216,77455,66830.0,10625.0
217,78456,67635.0,10821.0
218,79445,68442.0,11003.0
219,80292,69138.0,11154.0
220,80930,69611.0,11319.0
221,81691,70080.0,11611.0
222,83013,71059.0,11954.0
223,84195,71896.0,12299.0
224,85506,72924.0,12582.0
225,86797,73915.0,12882.0
226,87607,74600.0,13007.0
227,88247,75143.0,13104.0
228,89544,76113.0,13431.0
229,90996,77233.0,13763.0
230,92299,78250.0,14049.0
231,93748,79275.0,14473.0
232,95480,80735.0,14745.0
233,96942,82087.0,14855.0
234,97866,82892.0,14974.0
235,99637,84177.0,15460.0
236,101494,85577.0,15917.0
237,103305,86953.0,16352.0
238,105242,88512.0,16730.0
239,107219,90062.0,17157.0
240,108642,91343.0,17299.0
241,109670,92228.0,17442.0
242,111379,93407.0,17972.0
243,113009,94691.0,18318.0
244,115277,96424.0,18853.0
245,117505,98138.0,19367.0
246,119661,99815.0,19846.0
247,120838,100791.0,20047.0
248,122567,102373.0,20194.0
249,124646,103849.0,20797.0
250,127344,105907.0,21437.0
251,129680,107745.0,21935.0
252,132844,110237.0,22607.0
253,136137,112914.0,23223.0
254,137586,114044.0,23542.0
255,139097,115274.0,23823.0
256,142008,117557.0,24451.0
257,144753,119662.0,25091.0
258,148390,122681.0,25709.0
259,152206,125825.0,26381.0
260,155908,128943.0,26965.0
261,158100,130899.0,27201.0
262,160232,132799.0,27433.0
263,162838,134739.0,28099.0
264,166139,137387.0,28752.0
265,166139,137387.0,28752.0
266,171755,142254.0,29501.0
267,174182,144349.0,29833.0
268,176925,146693.0,30232.0
269,179041,148424.0,30617.0
270,183168,151528.0,31640.0
271,186765,154260.0,32505.0
272,190601,157319.0,33282.0
273,194193,160166.0,34027.0
274,198065,163462.0,34603.0
275,200632,165693.0,34939.0
276,202592,167377.0,35215.0
277,205668,169569.0,36099.0
278,209136,172075.0,37061.0
279,213450,175271.0,38179.0
280,217120,178047.0,39073.0
281,220660,180633.0,40027.0
282,223104,182563.0,40541.0
283,224890,184072.0,40818.0
284,227818,185901.0,41917.0
285,230693,187697.0,42996.0
286,234021,190277.0,43744.0
287,237190,192448.0,44742.0
288,240564,194877.0,45687.0
289,242321,196279.0,46042.0
290,244297,197968.0,46329.0
291,247344,199942.0,47402.0
292,250280,202044.0,48236.0
293,250280,202044.0,48236.0
294,250280,202044.0,48236.0
295,255563,206356.0,49207.0
296,257063,207578.0,49485.0
297,258517,208615.0,49902.0
298,261492,210548.0,50944.0
299,265262,213256.0,52006.0
300,265262,213256.0,52006.0
301,265262,213256.0,52006.0
302,273971,220231.0,53740.0
303,276826,222545.0,54281.0
304,279143,224348.0,54795.0
305,280836,225611.0,55225.0
306,286541,229808.0,56733.0
307,291430,233472.0,57958.0
308,296167,237108.0,59059.0
309,300398,240337.0,60061.0
310,303625,242993.0,60632.0
311,305707,244578.0,61129.0
312,308729,246392.0,62337.0
313,313282,249686.0,63596.0
314,317345,252694.0,64651.0
315,321270,255670.0,65600.0
316,324325,257994.0,66331.0
317,326675,259967.0,66708.0
318,328668,261527.0,67141.0
319,330907,263094.0,67813.0
320,334321,265333.0,68988.0
321,338034,267624.0,70410.0
322,340779,269421.0,71358.0
323,344568,272191.0,72377.0
324,346586,273686.0,72900.0
325,347836,274512.0,73324.0
326,350528,276016.0,74512.0
