,0
0,1
1,2
2,2
3,5
4,7
5,9
6,9
7,12
8,15
9,17
10,22
11,23
12,27
13,36
14,48
15,55
16,100
17,105
18,125
19,158
20,199
21,249
22,303
23,395
24,440
25,481
26,592
27,681
28,771
29,832
30,918
31,956
32,1009
33,1150
34,1347
35,1694
36,1694
37,1841
38,1964
39,2049
40,2211
41,2292
42,2430
43,2523
44,2708
45,2961
46,3051
47,3193
48,3374
49,3482
50,3780
51,3906
52,4075
53,4147
54,4376
55,4540
56,4709
57,4880
58,4880
59,5131
60,5246
61,5823
62,5935
63,6130
64,6289
65,6441
66,6441
67,6678
68,6854
69,7081
70,7226
71,7445
72,7689
73,7689
74,8070
75,8070
76,8276
77,8287
78,8427
79,8572
80,8572
81,8572
82,9078
83,9078
84,9185
85,9465
86,9705
87,10047
88,10186
89,10411
90,10706
91,10978
92,11288
93,11288
94,11477
95,11709
96,11884
97,11946
98,11946
99,12446
100,12446
101,12648
102,12830
103,12996
104,13198
105,13455
106,13631
107,13751
108,13840
109,14142
110,14364
111,14618
112,14860
113,14860
114,15233
115,15348
116,15625
117,15843
118,16080
119,16377
120,16377
121,16377
122,17153
123,17520
124,17920
125,18246
126,18671
127,19122
128,19390
129,19654
130,20224
131,20678
132,21084
133,21606
134,22185
135,23162
136,23415
137,24061
138,24541
139,25148
140,25932
141,26765
142,27080
143,27602
144,28127
145,28728
146,29387
147,30152
148,30724
149,31186
150,31509
151,32198
152,32742
153,33255
154,33797
155,34579
156,34983
157,35255
158,35794
159,36946
160,37687
161,38299
162,38931
163,39316
164,39692
165,40300
166,40927
167,41627
168,42266
169,42266
170,43530
171,43900
172,44569
173,45231
174,45979
175,46758
176,47578
177,48033
178,48397
179,49186
180,49992
181,50886
182,51678
183,52465
184,52775
185,53065
186,53320
187,53978
188,54773
189,55705
190,56416
191,56946
192,57283
193,58001
194,58765
195,59371
196,60129
197,61107
198,61543
199,61918
200,62732
201,63518
202,64159
203,65067
204,66037
205,66492
206,66940
207,67857
208,68841
209,69729
210,70728
211,72002
212,72618
213,73159
214,74195
215,76588
216,77456
217,78457
218,79446
219,80293
220,80931
221,81692
222,83014
223,84196
224,85507
225,86798
226,87608
227,88248
228,89545
229,90997
230,92300
231,93749
232,95481
233,96943
234,97867
235,99638
236,101495
237,103306
238,105243
239,107220
240,108643
241,109671
242,111380
243,113010
244,115278
245,117506
246,119662
247,120839
248,122568
249,124647
250,127345
251,129681
252,132845
253,136138
254,137587
255,139098
256,142009
257,144754
258,148391
259,152207
260,155909
261,158101
262,160233
263,162839
264,166140
265,166140
266,171756
267,174183
268,176926
269,179042
270,183169
271,186766
272,190602
273,194194
274,198066
275,200633
