,total,confirmed,probable
0,0,0,
1,0,0,
2,1,1,
3,1,1,
4,6,6,
5,14,14,
6,36,36,
7,51,51,
8,90,90,
9,115,115,
10,137,137,
11,240,240,
12,347,347,
13,473,473,
14,580,580,
15,837,837,
16,1172,1172,
17,1388,1388,
18,1795,1795,
19,2305,2305,
20,2746,2746,
21,3315,3315,
22,3540,3540,
23,4025,4025,
24,5237,5237,
25,6424,6424,
26,9150,9150,
27,10297,10297,
28,12496,12496,
29,13010,13010,
30,14867,14867,
31,16284,16284,
32,17030,17030,
33,18283,18283,
34,19253,19253,
35,20014,20014,
36,20595,20595,
37,21016,21016,
38,21518,21518,
39,21951,21951,
40,22532,22532,
41,23118,23118,
42,23580,23580,
43,23928,23928,
44,24523,24523,
45,24854,24854,
46,25258,25258,
47,25739,25739,
48,26140,26140,
49,26512,26512,
50,26773,26773,
51,27068,27068,
52,27286,27286,
53,27660,27660,
54,28001,28001,
55,28711,28711,
56,29140,29140,
57,29340,29340,
58,29673,29673,
59,29996,29996,
60,30399,30399,
61,30652,30652,
62,30855,30855,
63,31417,31417,
64,31600,31600,
65,31815,31815,
66,32050,32050,
67,32662,32662,
68,33489,33489,
69,33837,33837,
70,34117,34117,
71,34432,34432,
72,34709,34709,
73,35038,35038,
74,35316,35316,
75,36504,36504,
76,36925,36925,
77,37040,37040,
78,37169,37169,
79,37809,37809,
80,38054,38054,
81,38497,38497,
82,38802,38802,
83,38802,38802,
84,39577,39577,
85,39916,39916,
86,40341,40341,
87,40746,40746,
88,41133,41133,
89,41562,41562,
90,41989,41989,
91,42486,42486,
92,42816,42816,
93,43050,43050,
94,43612,43612,
95,44030,44030,
96,44472,44472,
97,44995,44995,
98,46283,46283,
99,46619,46619,
100,47172,47172,
101,47706,47706,
102,48634,48634,
103,48634,48634,
104,48515,48515,
105,49385,49385,
106,49778,49778,
107,50239,50239,
108,51595,51595,
109,52477,52477,
110,53415,53415,
111,54769,54769,
112,54769,54769,
113,56236,56236,
114,57081,57081,
115,58095,58095,
116,60178,60178,
117,61561,61561,
118,63289,63289,
119,63289,63289,
120,65226,65226,
121,66327,66327,
122,68263,68263,
123,70151,70151,
124,71994,71994,
125,74636,74636,
126,76803,76803,
127,78122,78122,
128,79827,79827,
129,82042,82042,
130,84131,84131,
131,86411,86411,
132,88590,88590,
133,88590,88590,
134,91706,91706,
135,94892,94892,
136,96583,96583,
137,99354,99354,
138,101650,101650,
139,103734,103734,
140,103734,103734,
141,107574,107574,
142,109917,109917,
143,111038,111038,
144,112773,112773,
145,114481,114481,
146,116280,116280,
147,116280,116280,
148,119747,119747,
149,120846,120846,
150,124461,124461,
151,125943,125943,
152,127246,127246,
153,128746,128746,
154,128746,128746,
155,131399,131399,
156,131961,131961,
157,133125,133125,
158,134304,134304,
159,135439,135439,
160,136737,136737,
161,136737,136737,
162,137918,137918,
163,138485,138485,
164,139125,139125,
165,139903,139903,
166,140821,140821,
167,141720,141720,
168,141720,141720,
169,142943,142943,
170,143566,143566,
171,144116,144116,
172,145661,144960,701.0
173,146338,145637,701.0
174,146944,146243,701.0
175,146944,146243,701.0
176,148568,147867,701.0
177,148894,148193,701.0
178,149583,148882,701.0
179,150734,149838,896.0
180,151547,150651,896.0
181,152369,151473,896.0
182,152369,151473,896.0
183,153764,152868,896.0
184,154073,153177,896.0
185,154329,153433,896.0
186,155890,154955,935.0
187,156354,155419,935.0
188,157109,156174,935.0
189,157109,156174,935.0
190,158390,157455,935.0
191,158882,157947,935.0
192,159253,158318,935.0
193,159865,158826,1039.0
194,160343,159304,1039.0
195,161322,160283,1039.0
196,161322,160283,1039.0
197,162258,161219,1039.0
198,162501,161462,1039.0
199,163253,162214,1039.0
200,163869,162645,1224.0
201,164446,163222,1224.0
202,165152,163928,1224.0
203,165152,163928,1224.0
204,166075,164851,1224.0
205,166315,165091,1224.0
206,166848,165624,1224.0
207,167458,166033,1425.0
208,168009,166584,1425.0
209,168826,167401,1425.0
210,168826,167401,1425.0
211,169719,168294,1425.0
212,169937,168512,1425.0
213,170469,169044,1425.0
214,172625,170097,2528.0
215,173149,170621,2528.0
216,173406,170878,2528.0
217,173406,170878,2528.0
218,174587,172059,2528.0
219,174647,172119,2528.0
220,175329,172801,2528.0
221,176209,173121,3088.0
222,176952,173864,3088.0
223,177726,174638,3088.0
224,177726,174638,3088.0
225,178869,175781,3088.0
226,179070,175982,3088.0
227,179769,176681,3088.0
228,181132,177399,3733.0
229,181904,178171,3733.0
230,182603,178870,3733.0
231,182603,178870,3733.0
232,183575,179842,3733.0
233,183802,180069,3733.0
234,184724,180991,3733.0
235,185822,181443,4379.0
236,186216,181837,4379.0
237,186649,182270,4379.0
238,186649,182270,4379.0
239,187720,183341,4379.0
240,187995,183616,4379.0
241,189148,184769,4379.0
242,190164,185144,5020.0
243,190845,185825,5020.0
244,191715,186695,5020.0
245,191715,186695,5020.0
246,192981,187961,5020.0
247,193372,188352,5020.0
248,194702,189682,5020.0
249,194702,189682,5020.0
250,198531,191889,6642.0
251,201981,194685,7296.0
252,201981,194685,7296.0
253,204513,196924,7589.0
254,205059,197467,7592.0
255,207685,199659,8026.0
256,209914,200982,8932.0
257,211966,202743,9223.0
258,216709,207039,9670.0
259,216709,207039,9670.0
260,220192,210124,10068.0
261,221160,211094,10066.0
262,224403,213214,11189.0
263,225638,214237,11401.0
264,225638,214237,11401.0
265,230602,218796,11806.0
266,230602,218796,11806.0
267,232245,220309,11936.0
268,232414,220421,11993.0
269,237740,224410,13330.0
270,241335,227780,13555.0
271,244078,230029,14049.0
272,247177,232479,14698.0
273,247177,232479,14698.0
274,251123,235869,15254.0
275,252136,236879,15257.0
276,254562,238676,15886.0
277,258914,241348,17566.0
278,261329,243435,17894.0
279,264191,245626,18565.0
280,264191,245626,18565.0
281,268613,249301,19312.0
282,269643,250292,19351.0
283,272276,252459,19817.0
284,275545,254489,21056.0
285,279321,257483,21838.0
286,282434,259903,22531.0
287,282434,259903,22531.0
288,286145,263059,23086.0
289,287261,264187,23074.0
290,290960,266953,24007.0
291,293934,268984,24950.0
292,296499,271177,25322.0
293,296499,271177,25322.0
294,296499,271177,25322.0
295,299722,274048,25674.0
296,300539,274781,25758.0
297,304485,277887,26598.0
298,311229,282148,29081.0
299,315275,285477,29798.0
300,315275,285477,29798.0
301,315275,285477,29798.0
302,321058,291079,29979.0
303,322181,292184,29997.0
304,326648,295825,30823.0
305,333524,299967,33557.0
306,338054,303889,34165.0
307,341431,306442,34989.0
308,341431,306442,34989.0
309,346829,310957,35872.0
310,348234,312290,35944.0
311,352939,315582,37357.0
312,355835,317336,38499.0
313,361148,320462,40686.0
314,364853,322565,42288.0
315,364853,322565,42288.0
316,368980,326101,42879.0
317,369951,327054,42897.0
318,372089,328860,43229.0
319,374582,330294,44288.0
