,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,2.0,2.0,
43,2.0,2.0,
44,8.0,8.0,
45,13.0,13.0,
46,13.0,13.0,
47,41.0,41.0,
48,92.0,92.0,
49,92.0,92.0,
50,95.0,95.0,
51,123.0,123.0,
52,138.0,138.0,
53,138.0,138.0,
54,164.0,164.0,
55,218.0,218.0,
56,256.0,256.0,
57,328.0,328.0,
58,413.0,413.0,
59,525.0,525.0,
60,646.0,646.0,
61,777.0,777.0,
62,1159.0,1159.0,
63,1838.0,1838.0,
64,2417.0,2417.0,
65,3240.0,3240.0,
66,4257.0,4257.0,
67,4955.0,4955.0,
68,5752.0,5752.0,
69,6620.0,6620.0,
70,7738.0,7738.0,
71,8966.0,8966.0,
72,10402.0,10402.0,
73,11736.0,11736.0,
74,12500.0,12500.0,
75,13837.0,13837.0,
76,15202.0,15202.0,
77,16790.0,16790.0,
78,18941.0,18941.0,
79,20974.0,20974.0,
80,22860.0,22860.0,
81,25475.0,25475.0,
82,26867.0,26867.0,
83,28163.0,28163.0,
84,29918.0,29918.0,
85,32181.0,32181.0,
86,34402.0,34402.0,
87,36372.0,36372.0,
88,38077.0,38077.0,
89,38077.0,38077.0,
90,41199.0,41199.0,
91,42944.0,42944.0,
92,46023.0,46023.0,
93,46023.0,46023.0,
94,53348.0,53348.0,
95,54938.0,54938.0,
96,56462.0,56462.0,
97,58302.0,58302.0,
98,60265.0,60265.0,
99,62205.0,62205.0,
100,64311.0,64311.0,
101,66263.0,66263.0,
102,68087.0,68087.0,
103,69087.0,69087.0,
104,70271.0,70271.0,
105,72025.0,72025.0,
106,73721.0,73721.0,
107,75333.0,75333.0,
108,76743.0,76743.0,
109,77793.0,77793.0,
110,78462.0,78462.0,
111,79332.0,79332.0,
112,80497.0,80497.0,
113,82182.0,82182.0,
114,83421.0,83421.0,
115,84933.0,84933.0,
116,86010.0,86010.0,
117,87052.0,87052.0,
118,87925.0,87925.0,
119,88970.0,88970.0,
120,90084.0,90084.0,
121,90889.0,90889.0,
122,91662.0,91662.0,
123,92675.0,92675.0,
124,93271.0,93271.0,
125,93693.0,93693.0,
126,94220.0,93693.0,
127,94895.0,94895.0,
128,95512.0,95512.0,
129,96301.0,96301.0,
130,96965.0,96965.0,
131,100805.0,97291.0,
132,101163.0,97539.0,
133,101592.0,97964.0,
134,102063.0,98376.0,
135,102557.0,98796.0,
136,103132.0,99301.0,
137,103436.0,99562.0,
138,103626.0,99755.0,
