,0
0,2.0
1,2.0
2,8.0
3,13.0
4,13.0
5,41.0
6,92.0
7,92.0
8,95.0
9,123.0
10,138.0
11,138.0
12,164.0
13,218.0
14,256.0
15,328.0
16,413.0
17,525.0
18,646.0
19,777.0
20,1159.0
21,1838.0
22,2417.0
23,3240.0
24,4257.0
25,4955.0
26,5752.0
27,6620.0
28,7738.0
29,8966.0
30,10402.0
31,11736.0
32,12500.0
33,13837.0
34,15202.0
35,16790.0
36,18941.0
37,20974.0
38,22860.0
39,25475.0
40,26867.0
41,28163.0
42,29918.0
43,32181.0
44,34402.0
45,36372.0
46,38077.0
47,38077.0
48,41199.0
49,42944.0
50,46023.0
51,46023.0
52,53348.0
53,54938.0
54,56462.0
55,58302.0
56,60265.0
57,62205.0
58,64311.0
59,66263.0
60,68087.0
