,total,confirmed,probable
0,0,0,
1,3,3,
2,3,3,
3,3,3,
4,5,5,
5,6,6,
6,9,9,
7,12,12,
8,17,17,
9,26,26,
10,31,31,
11,37,37,
12,57,57,
13,85,85,
14,107,107,
15,149,149,
16,190,190,
17,244,244,
18,288,288,
19,349,349,
20,423,423,
21,580,580,
22,774,774,
23,992,992,
24,1239,1239,
25,1413,1413,
26,1660,1660,
27,1985,1985,
28,2331,2331,
29,2758,2758,
30,3125,3125,
31,3609,3609,
32,4045,4045,
33,4371,4371,
34,5529,5529,
35,6185,6185,
36,6968,6968,
37,7694,7694,
38,8225,8225,
39,8936,8936,
40,9472,9472,
41,10032,10032,
42,10784,10784,
43,11572,11572,
44,12308,12308,
45,12830,12830,
46,13684,13684,
47,14193,14193,
48,14775,14775,
49,15737,15737,
50,16616,16616,
51,17766,17766,
52,18581,18581,
53,19487,19487,
54,20113,20113,
55,20849,20849,
56,21742,21742,
57,23472,23472,
58,24473,24473,
59,25462,25462,
60,26408,26408,
61,27117,27117,
62,28163,28163,
63,29374,29374,
64,30485,30485,
65,31534,31534,
66,32587,32587,
67,33373,33373,
68,34061,34061,
69,34812,34812,
70,35903,35903,
71,36986,36986,
72,37968,37968,
73,38804,38804,
74,39762,39762,
75,41546,41546,
76,42323,42323,
77,43531,43531,
78,44424,44424,
79,45495,45495,
80,46313,46313,
81,47152,47152,
82,47687,47687,
83,48423,48423,
84,49709,49709,
85,50988,50988,
86,52015,52015,
87,52778,52778,
88,53327,53327,
89,54175,54175,
90,54982,54982,
91,55858,55858,
92,56770,56770,
93,57482,57482,
94,57973,57973,
95,58404,58404,
96,58904,58904,
97,59465,59465,
98,60197,60197,
99,60613,60613,
100,61305,61305,
101,61701,61701,
102,62032,62032,
103,62409,62409,
104,62969,62969,
105,63229,63229,
106,63548,63548,
107,63956,63956,
108,64306,64306,
109,64603,64603,
110,65007,65007,
111,65337,65337,
112,65777,65777,
113,66115,66115,
114,66450,66450,
115,66777,66777,
116,67254,67254,
117,67559,67559,
118,67918,67918,
119,68423,68423,
120,68961,68961,
121,69341,69341,
122,69632,69632,
123,69904,69904,
124,70396,70396,
125,70861,70861,
126,71447,71447,
127,71910,71910,
128,72467,72467,
129,73109,73109,
130,73527,73527,
131,74260,74260,
132,75016,75016,
133,75664,75664,
134,76371,76371,
135,77206,77206,
136,78131,78131,
137,78685,78685,
138,79545,79545,
139,80172,80172,
140,80836,80836,
141,81766,81766,
142,83054,83054,
143,83748,83748,
144,84876,84876,
145,85524,85524,
146,86285,86285,
147,87177,87177,
148,88346,88346,
149,89365,89365,
150,90274,90274,
151,91144,91144,
152,91854,91854,
153,92426,92426,
154,93005,93005,
155,93806,93806,
156,94581,94581,
157,95503,95503,
158,96258,96258,
159,96843,96843,
160,97384,97384,
161,98160,98160,
162,98875,98875,
163,99693,99693,
164,100212,100212,
165,100715,100715,
166,101235,101235,
167,101649,101649,
168,102229,102229,
169,102899,102899,
170,103523,103523,
171,104102,104102,
172,104669,104669,
173,105046,105046,
174,105486,105486,
175,106063,106063,
176,106664,106664,
177,107294,107294,
178,107791,107791,
179,108249,108249,
180,108863,108863,
181,109319,109319,
182,110012,110012,
183,110831,110831,
184,111607,111607,
185,112119,112119,
186,112883,112883,
187,113239,113239,
188,113575,113575,
189,114078,114078,
190,114724,114724,
191,115533,115533,
192,116110,116110,
193,116646,116646,
194,117245,117245,
195,117888,117888,
196,118519,118519,
197,119062,119062,
198,119744,119744,
199,120156,120156,
200,120568,120568,
201,120912,120912,
202,121297,121297,
203,121800,121800,
204,122359,122359,
205,122972,122972,
206,123403,123403,
207,123880,123880,
208,124311,124311,
209,124725,124725,
210,125510,125510,
211,126222,126222,
212,126819,126819,
213,127290,127290,
214,127791,127791,
215,128204,128204,
216,128664,128664,
217,129425,129425,
218,130159,130159,
219,130795,130795,
220,131357,131357,
221,131861,131861,
222,132343,132343,
223,132918,132918,
224,133548,133548,
225,134329,134329,
226,135127,135127,
227,135657,135657,
228,136154,136154,
229,136744,136744,
230,137236,137236,
231,137979,137979,
232,138691,138691,
233,139487,139487,
234,140279,140279,
235,140844,140844,
236,141741,141741,
237,142425,142425,
238,143387,143387,
239,144314,144314,
240,145281,145281,
241,146145,146145,
242,146995,146995,
243,147766,147766,
244,148766,148766,
245,149964,149964,
246,151505,151505,
247,152915,152915,
248,153996,153996,
249,155371,155371,
250,156709,156709,
251,158423,158423,
252,159900,159900,
253,161769,161769,
254,164090,164090,
255,165930,165930,
256,167656,167656,
257,169805,169805,
258,171823,171823,
259,174733,174733,
260,177086,177086,
261,179971,179971,
262,182139,182139,
263,183797,183797,
