,0
0,3
1,3
2,3
3,5
4,6
5,9
6,12
7,17
8,26
9,31
10,37
11,57
12,85
13,107
14,149
15,190
16,244
17,288
18,349
19,423
20,580
21,774
22,992
23,1239
24,1413
25,1660
26,1985
27,2331
28,2758
29,3125
30,3609
31,4045
32,4371
33,5529
34,6185
35,6968
36,7694
37,8225
38,8936
39,9472
40,10032
41,10784
42,11572
43,12308
44,12830
45,13684
46,14193
47,14775
48,15737
49,16616
50,17766
51,18581
52,19487
53,20113
54,20849
55,21742
56,23472
57,24473
58,25462
59,26408
60,27117
61,28163
62,29374
63,30485
64,31534
65,32587
66,33373
67,34061
68,34812
69,35903
70,36986
71,37968
72,38804
73,39762
