,total,confirmed,probable
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,1,1,
6,3,3,
7,3,3,
8,3,3,
9,17,17,
10,32,32,
11,43,43,
12,53,53,
13,57,57,
14,73,73,
15,89,89,
16,107,107,
17,125,125,
18,149,149,
19,155,155,
20,168,168,
21,211,211,
22,253,253,
23,275,275,
24,303,303,
25,344,344,
26,376,376,
27,432,432,
28,456,456,
29,470,470,
30,499,499,
31,519,519,
32,537,537,
33,560,560,
34,586,586,
35,616,616,
36,633,633,
37,698,698,
38,734,734,
39,770,770,
40,796,796,
41,827,827,
42,847,847,
43,867,867,
44,875,875,
45,888,888,
46,907,907,
47,937,937,
48,965,965,
49,990,990,
50,1015,1015,
51,1023,1023,
52,1040,1040,
53,1056,1056,
54,1095,1095,
55,1123,1123,
56,1152,1152,
57,1185,1185,
58,1205,1136,69.0
59,1226,1150,76.0
60,1254,1174,80.0
61,1330,1231,99.0
62,1374,1264,110.0
63,1408,1287,121.0
64,1436,1312,124.0
65,1462,1328,134.0
66,1477,1338,139.0
67,1515,1372,143.0
68,1565,1405,160.0
69,1603,1437,166.0
70,1648,1477,171.0
71,1687,1511,176.0
72,1713,1533,180.0
73,1741,1561,180.0
74,1819,1632,187.0
75,1877,1678,199.0
76,1948,1749,199.0
77,2013,1804,209.0
78,2055,1845,210.0
79,2074,1858,216.0
80,2109,1894,215.0
81,2137,1914,223.0
82,2189,1951,238.0
83,2226,1971,255.0
84,2282,2025,257.0
85,2325,2067,258.0
86,2349,2093,256.0
87,2377,2118,259.0
88,2418,2152,266.0
89,2446,2181,265.0
90,2482,2210,272.0
91,2524,2253,271.0
92,2570,2295,275.0
93,2588,2305,283.0
94,2606,2322,284.0
95,2637,2350,287.0
96,2667,2380,287.0
97,2721,2420,301.0
98,2757,2452,305.0
99,2793,2486,307.0
100,2810,2495,315.0
101,2819,2499,320.0
102,2836,2509,327.0
103,2878,2555,323.0
104,2913,2586,327.0
105,2938,2610,328.0
106,2957,2629,328.0
107,2971,2640,331.0
108,2994,2655,339.0
109,3017,2680,337.0
110,3070,2731,339.0
111,3102,2758,344.0
112,3154,2809,345.0
113,3191,2838,353.0
114,3219,2863,356.0
115,3253,2893,360.0
116,3294,2922,372.0
117,3328,2951,377.0
118,3373,2985,388.0
119,3397,3012,385.0
120,3415,3028,387.0
121,3423,3034,389.0
122,3440,3050,390.0
123,3460,3065,395.0
124,3486,3092,394.0
125,3499,3110,389.0
126,3520,3131,389.0
127,3539,3143,396.0
128,3558,3159,399.0
129,3566,3168,398.0
130,3578,3186,392.0
131,3598,3207,391.0
132,3636,3239,397.0
133,3646,3252,394.0
134,3687,3266,421.0
135,3711,3287,424.0
136,3723,3300,423.0
137,3723,3321,402.0
138,3737,3334,403.0
139,3757,3357,400.0
140,3790,3387,403.0
141,3814,3408,406.0
142,3832,3422,410.0
143,3838,3433,405.0
144,3866,3457,409.0
145,3888,3477,411.0
146,3912,3499,413.0
147,3937,3516,421.0
148,3958,3535,423.0
149,3970,3541,429.0
150,3975,3548,427.0
151,3992,3568,424.0
152,3997,3582,415.0
153,4014,3599,415.0
154,4026,3609,417.0
155,4042,3625,417.0
156,4049,3641,408.0
157,4050,3644,406.0
158,4070,3662,408.0
159,4089,3679,410.0
160,4115,3697,418.0
161,4144,3726,418.0
162,4168,3747,421.0
163,4197,3767,430.0
164,4213,3781,432.0
165,4234,3799,435.0
166,4253,3812,441.0
167,4285,3847,438.0
168,4317,3872,445.0
169,4335,3890,445.0
170,4356,3910,446.0
171,4368,3919,449.0
172,4389,3942,447.0
173,4414,3961,453.0
174,4436,3981,455.0
175,4489,4032,457.0
176,4512,4047,465.0
177,4526,4060,466.0
178,4548,4081,467.0
179,4567,4100,467.0
180,4617,4145,472.0
181,4632,4164,468.0
182,4667,4197,470.0
183,4682,4210,472.0
184,4701,4230,471.0
185,4713,4244,469.0
186,4734,4258,476.0
187,4760,4287,473.0
188,4792,4317,475.0
189,4834,4349,485.0
190,4863,4376,487.0
191,4903,4401,502.0
192,4918,4415,503.0
193,4941,4434,507.0
194,4962,4458,504.0
195,5005,4492,513.0
196,5035,4522,513.0
197,5079,4562,517.0
198,5106,4586,520.0
199,5146,4617,529.0
200,5171,4643,528.0
201,5215,4677,538.0
202,5235,4691,544.0
203,5260,4713,547.0
204,5288,4741,547.0
205,5300,4755,545.0
206,5337,4777,560.0
207,5391,4824,567.0
208,5431,4865,566.0
209,5468,4900,568.0
210,5486,4920,566.0
211,5519,4944,575.0
212,5545,4963,582.0
213,5565,4983,582.0
214,5604,5011,593.0
215,5639,5048,591.0
216,5666,5075,591.0
217,5696,5105,591.0
218,5723,5128,595.0
219,5752,5144,608.0
220,5780,5160,620.0
221,5816,5191,625.0
222,5836,5206,630.0
223,5865,5243,622.0
224,5913,5283,630.0
225,5939,5309,630.0
226,5962,5323,639.0
227,5989,5341,648.0
228,6027,5381,646.0
229,6064,5411,653.0
230,6095,5442,653.0
231,6137,5475,662.0
232,6201,5521,680.0
233,6254,5551,703.0
234,6311,5593,718.0
235,6387,5670,717.0
236,6467,5749,718.0
237,6570,5829,741.0
238,6668,5907,761.0
239,6715,5944,771.0
240,6799,6039,760.0
241,6926,6138,788.0
242,7077,6241,836.0
243,7260,6417,843.0
244,7444,6565,879.0
245,7603,6762,841.0
246,7693,6843,850.0
247,7888,7030,858.0
248,8060,7173,887.0
249,8202,7300,902.0
250,8395,7517,878.0
251,8639,7748,891.0
252,8791,7882,909.0
253,8944,8006,938.0
254,9117,8180,937.0
255,9363,8411,952.0
256,9519,8559,960.0
257,9734,8732,1002.0
258,9958,8933,1025.0
259,10123,9075,1048.0
260,10359,9294,1065.0
261,10544,9471,1073.0
262,10799,9698,1101.0
263,11027,9916,1111.0
264,11265,10105,1160.0
265,11265,10105,1160.0
266,11288,10125,1163.0
267,11508,10315,1193.0
268,11757,10487,1270.0
269,11976,10675,1301.0
270,12208,10870,1338.0
271,12554,11151,1403.0
272,12844,11390,1454.0
273,13127,11640,1487.0
274,13348,11801,1547.0
275,13775,12097,1678.0
276,14049,12333,1716.0
277,14454,12678,1776.0
278,14861,13033,1828.0
279,15206,13332,1874.0
280,15620,13687,1933.0
281,15923,13946,1977.0
282,16349,14339,2010.0
283,16760,14690,2070.0
284,17311,15142,2169.0
285,17901,15576,2325.0
286,18337,15942,2395.0
287,18739,16266,2473.0
288,18946,16457,2489.0
289,19285,16721,2564.0
290,19743,17095,2648.0
291,20491,17695,2796.0
292,21226,18258,2968.0
293,21547,18517,3030.0
294,21547,18517,3030.0
295,21880,18769,3111.0
296,22319,19128,3191.0
297,22909,19582,3327.0
298,23499,20064,3435.0
299,24201,20637,3564.0
300,24201,20637,3564.0
301,25245,21412,3833.0
302,25592,21693,3899.0
303,25968,21998,3970.0
