,0
0,1
1,24
2,51
3,89
4,126
5,157
6,199
7,263
8,316
9,373
10,449
11,529
12,632
13,730
14,777
15,861
16,988
17,1139
18,1322
19,1506
20,1665
21,1755
22,1950
23,2122
24,2264
25,2457
26,2701
27,2853
28,3006
29,3179
30,3425
31,3581
32,3796
33,4020
34,4185
35,4421
36,4606
37,4861
38,5089
39,5327
40,5327
41,5350
42,5570
43,5819
44,6038
45,6270
46,6616
47,6906
48,7189
49,7410
50,7837
51,8111
52,8516
53,8923
54,9268
55,9682
56,9985
57,10411
58,10822
59,11373
60,11963
61,12399
62,12801
63,13008
64,13347
65,13805
66,14553
67,15288
68,15609
69,15609
70,15942
71,16381
72,16971
73,17561
74,18263
75,18263
76,19307
77,19654
78,20030
79,20627
80,21152
81,21687
82,22469
83,23081
84,23360
85,23673
