,total,confirmed,probable
0,14,14,0
1,27,27,0
2,50,50,0
3,74,74,0
4,100,100,0
5,140,140,0
6,188,188,0
7,251,251,0
8,372,372,0
9,528,528,0
10,727,727,0
11,997,996,1
12,1361,1353,8
13,1728,1717,11
14,2188,2175,13
15,2895,2873,22
16,3659,3632,27
17,4531,4491,40
18,5276,5221,55
19,6219,6150,69
20,7023,6938,85
21,7822,7726,96
22,9062,8937,125
23,10155,10006,149
24,11335,11163,172
25,12475,12288,187
26,13799,13585,214
27,14865,14625,240
28,15784,15519,265
29,17363,17058,305
30,18654,18318,336
31,20246,19844,402
32,21376,20937,439
33,22579,22102,477
34,23581,23071,510
35,24458,23908,550
36,25785,25186,599
37,26964,26290,674
38,28064,27334,730
39,29096,28303,793
40,30172,29327,845
41,30980,30085,895
42,31666,30727,939
43,32702,31715,987
44,33613,32572,1041
45,34533,33448,1085
46,35455,34298,1157
47,36320,35118,1202
48,37029,35789,1240
49,37557,36293,1264
50,38494,37170,1324
51,39589,38208,1381
52,40705,39267,1438
53,41694,40145,1549
54,42730,41066,1664
55,43263,41548,1715
56,43789,42027,1762
57,44709,42885,1824
58,45538,43634,1904
59,46488,44508,1980
60,47505,45406,2099
61,48240,46072,2168
62,48672,46455,2217
63,49029,46783,2246
64,49809,47451,2358
65,50497,48034,2463
66,51131,48572,2559
67,51731,49064,2667
68,52349,49565,2784
69,52732,49871,2861
70,53033,50129,2904
71,54004,50925,3079
72,55641,52399,3242
73,56458,53030,3428
74,57036,53451,3585
75,57687,53956,3731
76,58023,54246,3777
77,58278,54457,3821
78,58812,54872,3940
79,59576,55461,4115
80,60151,55838,4313
81,60610,56132,4478
82,61075,56445,4630
83,61293,56612,4681
84,61457,56741,4716
85,61632,56892,4740
86,62075,57205,4870
87,62461,57477,4984
88,62797,57695,5102
89,63116,57904,5212
90,63321,58065,5256
91,63568,58254,5314
92,63813,58417,5396
93,64103,58594,5509
94,64382,58760,5622
95,64616,58878,5738
96,64821,59001,5820
97,64914,59073,5841
98,64969,59107,5862
99,65104,59211,5893
100,65167,59265,5902
101,65182,59278,5904
102,65449,59496,5953
103,65672,59621,6051
104,65836,59801,6035
105,66054,59990,6064
106,66085,60064,6021
107,66269,60189,6080
108,66497,60393,6104
109,66798,60618,6180
110,67097,60829,6268
111,67545,61084,6461
112,67711,61230,6481
113,67957,61409,6548
114,68197,61630,6567
115,68555,61953,6602
116,68989,62306,6683
117,69329,62695,6634
118,69679,63009,6670
119,69946,63261,6685
120,70223,63497,6726
121,70728,63870,6858
122,71089,64132,6957
123,71678,64675,7003
124,72175,65135,7040
125,72581,65533,7048
126,72941,65876,7065
127,73269,66173,7096
128,73900,66627,7273
129,74551,67237,7314
130,75063,67683,7380
131,75685,68295,7390
132,76370,68948,7422
133,76776,69338,7438
134,77198,69722,7476
135,77864,70306,7558
136,78913,71197,7716
137,79839,71842,7997
138,80593,72502,8091
139,81338,73180,8158
140,81868,73663,8205
141,82395,74152,8243
142,83059,74725,8334
143,83730,75248,8482
144,84431,75947,8484
145,85072,76541,8531
146,85072,76541,8531
147,86661,78019,8642
148,87173,78507,8666
149,87958,79176,8782
150,88974,80172,8802
151,89781,80887,8894
152,90574,81621,8953
153,91332,82356,8976
154,91761,82782,8979
155,92374,83386,8988
156,93175,84050,9125
157,93893,84707,9186
