,total,confirmed,probable
0,1,1,
1,2,2,
2,2,2,
3,5,5,
4,11,11,
5,21,21,
6,43,43,
7,62,62,
8,90,90,
9,128,128,
10,179,179,
11,246,246,
12,269,269,
13,287,287,
14,303,303,
15,327,327,
16,349,349,
17,393,393,
18,444,444,
19,502,502,
20,565,565,
21,640,640,
22,687,687,
23,725,725,
24,823,823,
25,916,916,
26,973,973,
27,1056,1056,
28,1119,1119,
29,1158,1158,
30,1217,1217,
31,1330,1330,
32,1432,1432,
33,1534,1534,
34,1637,1637,
35,1732,1732,
36,1806,1806,
37,1864,1864,
38,2012,2012,
39,2165,2165,
40,2321,2321,
41,2486,2486,
42,2668,2668,
43,2788,2788,
44,2914,2914,
45,3190,3190,
46,3452,3452,
47,3758,3758,
48,4270,4270,
49,4788,4788,
50,5127,5127,
51,5512,5512,
52,6187,6187,
53,6788,6788,
54,7468,7468,
55,8116,8116,
56,8736,8736,
57,9071,9071,
58,9411,9411,
59,10235,10235,
60,10876,10876,
61,11510,11510,
62,12328,12328,
63,13040,13040,
64,13321,13321,
65,13552,13552,
66,14379,14379,
67,15043,15043,
68,15772,15772,
69,16565,16565,
70,17363,17363,
71,17705,17705,
72,18016,18016,
73,18987,18987,
74,19842,19842,
75,20609,20609,
76,21582,21582,
77,22374,22374,
78,22765,22765,
79,23121,23121,
80,23524,23524,
81,24308,24308,
82,24988,24988,
83,25559,25559,
84,26013,26013,
85,26181,26181,
86,26322,26322,
87,26897,26897,
88,27376,27376,
89,27889,27889,
90,28290,28290,
91,28688,28688,
92,28853,28853,
93,28988,28988,
94,29436,29436,
95,29866,29866,
96,30199,30199,
97,30418,30418,
98,30463,30463,
99,30465,30465,
100,30471,30471,
101,30693,30693,
102,30882,30882,
103,31296,31296,
104,31675,31675,
105,32031,32031,
106,32467,32467,
107,32920,32920,
108,33227,33227,
109,33469,33469,
110,33763,33763,
111,34123,34123,
112,34616,34616,
113,35033,35033,
114,35549,35549,
115,35861,35861,
116,36303,36303,
117,36716,36716,
118,37210,37210,
119,37624,37624,
120,37624,37624,
121,38136,38136,
122,38569,38569,
123,39133,39133,
124,39589,39589,
125,40163,40163,
126,40767,40767,
127,41571,41571,
128,42281,42281,
129,42772,42772,
130,43170,43170,
131,43742,43742,
132,44347,44347,
133,45013,45013,
134,45470,45470,
135,46204,46204,
136,47107,47107,
137,47457,47457,
138,47961,47961,
139,48721,48721,
140,49488,49488,
141,50291,50291,
142,51153,51153,
143,51803,51803,
144,52281,52281,
145,52947,52947,
146,53692,53692,
147,54463,54463,
148,55188,55188,
149,55947,55947,
150,56560,56560,
151,57162,57162,
152,57779,57779,
153,58640,58640,
154,59185,59185,
155,60101,60101,
156,60898,60898,
157,61516,61516,
158,61839,61839,
159,62303,62303,
160,62993,62993,
161,63723,63723,
162,64413,64413,
163,65152,65152,
164,65716,65716,
165,66061,66061,
166,66618,66618,
167,67308,67308,
168,68133,68133,
169,68867,68867,
170,69584,69584,
171,70298,70298,
172,70707,70707,
173,71236,71236,
174,72390,72390,
175,73240,73240,
176,74257,74257,
177,75189,75189,
178,75864,75864,
179,76355,76355,
180,77085,77085,
181,78123,78123,
182,78966,78966,
183,79880,79880,
184,80587,80587,
185,81225,81225,
186,81608,81608,
187,81868,81868,
188,82249,82249,
189,82716,82716,
190,83588,83588,
191,84311,84311,
192,84949,84949,
193,85351,85351,
194,85813,85813,
195,86722,86722,
196,87807,87807,
197,88721,88721,
198,90017,90017,
199,90942,90942,
200,91422,91422,
201,92100,92100,
202,93012,93012,
203,94189,94189,
204,95659,95659,
205,96734,96734,
206,97638,97638,
207,98447,98447,
208,99134,99134,
209,100200,100200,
210,101366,101366,
211,102787,102787,
212,103826,103826,
213,104799,104799,
214,105740,105740,
215,106651,106651,
216,107922,107922,
217,109312,109312,
218,110828,110828,
