,0
0,1
1,2
2,2
3,5
4,11
5,21
6,43
7,62
8,90
9,128
10,179
11,246
12,269
13,287
14,303
15,327
16,349
17,393
18,444
19,502
20,565
21,640
22,687
23,725
24,823
25,916
26,973
27,1056
28,1119
29,1158
30,1217
31,1330
32,1432
33,1534
34,1637
35,1732
36,1806
37,1864
38,2012
39,2165
40,2321
41,2486
42,2668
43,2788
44,2914
45,3190
46,3452
47,3758
48,4270
49,4788
50,5127
51,5512
52,6187
53,6788
54,7468
55,8116
56,8736
57,9071
58,9411
59,10235
60,10876
61,11510
62,12328
63,13040
64,13321
65,13552
66,14379
67,15043
68,15772
69,16565
70,17363
71,17705
72,18016
73,18987
74,19842
75,20609
76,21582
77,22374
78,22765
