,total,confirmed,probable
0,0,0,
1,1,1,
2,1,1,
3,1,1,
4,1,1,
5,1,1,
6,2,2,
7,4,4,
8,5,5,
9,6,6,
10,8,8,
11,13,13,
12,24,24,
13,47,47,
14,73,73,
15,90,90,
16,183,183,
17,183,183,
18,356,356,
19,502,502,
20,669,669,
21,838,838,
22,838,838,
23,1031,1031,
24,1327,1327,
25,1581,1581,
26,1834,1834,
27,2113,2113,
28,2291,2291,
29,2367,2367,
30,2722,2722,
31,3037,3037,
32,3327,3327,
33,3539,3539,
34,3799,3799,
35,4024,4024,
36,4160,4160,
37,4388,4388,
38,4686,4686,
39,4895,4895,
40,5111,5111,
41,5283,5283,
42,5517,5517,
43,5667,5667,
44,5807,5807,
45,5941,5941,
46,6137,6137,
47,6321,6321,
48,6625,6625,
49,6826,6826,
50,6997,6997,
51,7171,7171,
52,7303,7303,
53,7425,7425,
54,7562,7562,
55,7835,7835,
56,8154,8154,
57,8386,8386,
58,8754,8754,
59,8916,8916,
60,9102,9102,
61,9341,9341,
62,9489,9489,
63,9666,9666,
64,9844,9844,
65,9918,9918,
66,10006,10006,
67,10142,10142,
68,10317,10317,
69,10456,10456,
70,10675,10675,
71,10789,10789,
72,10945,10945,
73,11080,11080,
74,11232,11232,
75,11340,11340,
76,11558,11558,
77,11752,11751,
78,11988,11988,
79,12167,11913,
80,12291,12106,
81,12492,12275,
82,12673,12470,
83,12795,12616,
84,12962,12966,
85,13147,12966,
86,13327,13327,
87,13575,13575,
88,13767,13767,
89,14057,13774,
90,14253,14253,
91,14442,14442,
92,14553,14553,
93,14734,14734,
94,14913,14913,
95,15187,15187,
96,15390,15390,
97,15585,15585,
98,15810,15810,
99,15810,15810,
100,16189,16189,
101,16414,16414,
102,16625,16625,
103,16908,16908,
104,17201,17201,
105,17590,17590,
106,18003,18003,
107,18143,18143,
108,18143,18143,
109,18868,18868,
110,19421,19421,
111,19914,19914,
112,20261,20261,
113,20575,20575,
114,21043,21043,
115,21551,21551,
116,21927,21927,
117,22283,22283,
118,22830,22830,
119,23215,23215,
120,23436,23436,
121,23856,23856,
122,24629,24629,
123,25204,25204,
124,25999,25999,
125,25999,25999,
126,27133,27133,
127,27443,27443,
128,27890,27890,
129,28826,28826,
130,29714,29714,
131,30422,30422,
132,31288,31288,
133,32248,32248,
134,33094,33094,
135,33624,33624,
136,34762,34762,
137,36063,36063,
138,37700,37700,
139,39352,39352,
140,40709,40709,
141,41927,41927,
142,43050,43050,
143,44823,44823,
144,46750,46750,
145,48834,48834,
146,50323,50323,
147,51258,51258,
148,51840,51840,
149,52887,52887,
150,54080,54080,
151,55321,55321,
152,56383,56383,
153,57379,57379,
154,57379,57379,
155,57379,57379,
156,59954,59954,
157,60935,60935,
158,62530,62530,
159,63797,63797,
160,65270,65270,
161,66397,66397,
162,67475,67475,
163,68623,68623,
164,69417,69417,
165,70675,70675,
166,71733,71733,
167,72964,72964,
168,74257,74257,
169,75075,75075,
170,75944,75944,
171,76636,76636,
172,78062,78062,
173,79574,79574,
174,80992,80992,
175,82190,82190,
176,83655,83655,
177,84697,84697,
178,85755,85755,
179,87213,87213,
180,88610,88610,
181,90215,90215,
182,92202,92202,
183,93434,93434,
184,94340,94340,
185,95113,95113,
186,96475,96475,
187,97591,97591,
188,99160,99160,
189,101134,101134,
190,102747,102747,
191,104079,104079,
192,105396,105396,
193,106587,106587,
194,108334,108334,
195,110129,110129,
196,111516,111516,
197,112844,112844,
198,114307,114307,
199,115366,115366,
200,116946,116946,
201,118311,118311,
202,120298,120298,
203,122014,122014,
204,123406,123406,
205,124686,124686,
206,124762,124762,
207,126113,126113,
208,127912,127912,
209,129397,129397,
210,131105,131105,
211,132431,132431,
212,133418,133418,
213,134583,134583,
214,135651,135651,
215,137156,137156,
216,139164,139164,
217,144230,144230,
218,144230,144230,
219,144230,144230,
220,144230,144230,
221,148679,148679,
222,150554,150554,
223,152571,152571,
224,154928,154928,
225,156696,156696,
226,158101,158101,
227,159625,159625,
228,160869,160869,
229,162723,162723,
230,164534,164534,
231,167452,167452,
232,169495,169495,
233,171022,171022,
234,172717,172717,
235,174632,174632,
236,177693,177693,
237,180200,180200,
238,183186,183186,
239,185535,185535,
240,188186,188186,
241,190424,190424,
242,193023,193023,
243,196576,196576,
244,200507,200507,
245,205066,205066,
246,209197,209197,
247,212441,212441,
248,216697,216697,
249,220768,220768,
250,225371,225371,
251,229376,229376,
252,235722,235722,
253,239451,239451,
254,243169,243169,
255,248886,248886,
256,253473,253473,
257,257822,257822,
258,262436,262436,
259,267312,267312,
260,271527,271527,
261,274897,274897,
262,278661,278661,
263,282792,282792,
264,287263,287263,
265,290536,290536,
266,292740,292740,
267,295933,295933,
268,299762,299762,
269,302691,302691,
270,305370,305370,
271,309368,309368,
272,313421,313421,
273,318422,318422,
274,322298,322298,
275,324956,324956,
276,328206,328206,
277,330846,330846,
278,334704,334704,
279,338604,338604,
280,342347,342347,
281,345041,345041,
282,347603,347603,
283,350365,350365,
284,353038,353038,
285,356607,356607,
286,360330,360330,
287,363114,363114,
288,365186,365186,
289,368316,368316,
290,370439,370439,
291,373580,373580,
292,376811,376811,
293,378887,378887,
294,380643,380643,
295,382094,382094,
296,383616,383616,
297,386095,386095,
298,388856,388856,
299,392570,392570,
300,397299,397299,
301,399456,399456,
302,401761,401761,
303,402957,402957,
304,405589,405589,
305,408443,408443,
306,412426,412426,
307,416758,416758,
308,420583,420583,
309,423327,423327,
310,424986,424986,
311,427117,427117,
312,429177,429177,
313,431957,431957,
314,434188,434188,
315,436199,436199,
316,437549,437549,
317,438840,438840,
318,440197,440197,
319,441789,441789,
320,443838,443838,
321,445621,445621,
322,447398,447398,
323,449535,449535,
324,450414,450414,
325,451493,451493,
326,452937,452937,
327,454573,454573,
328,456530,456530,
329,457779,457779,
330,458819,458819,
331,459597,459597,
332,460487,460487,
333,461720,461720,
334,463119,463119,
335,464444,464444,
336,465448,465448,
337,466217,466217,
338,466664,466664,
339,467313,467313,
340,468189,468189,
341,469223,469223,
342,470107,470107,
343,470752,470752,
344,471241,471241,
345,471662,471662,
346,472143,472143,
347,472741,472741,
348,473459,473459,
349,474021,474021,
350,474587,474587,
351,474997,474997,
352,475348,475348,
353,475791,475791,
354,476351,476351,
355,477078,477078,
356,477472,477472,
357,477950,477950,
358,478224,478224,
359,478416,478416,
360,478682,478682,
361,479069,479069,
362,479536,479536,
363,479966,479966,
364,480352,480352,
365,480643,480643,
