,0
0,1
1,2
2,2
3,2
4,2
5,2
6,3
7,5
8,6
9,7
10,9
11,14
12,25
13,48
14,74
15,91
16,184
17,184
18,357
19,503
20,670
21,839
22,839
23,1032
24,1328
25,1582
26,1835
27,2114
28,2292
29,2368
30,2723
31,3038
32,3328
33,3540
34,3800
35,4025
36,4161
37,4389
38,4687
39,4896
40,5112
41,5284
42,5518
43,5668
44,5808
45,5942
46,6138
47,6322
48,6626
49,6827
50,6998
51,7172
52,7304
53,7426
54,7563
55,7836
56,8155
57,8387
58,8755
59,8917
60,9103
61,9342
62,9490
63,9667
64,9845
65,9919
66,10007
67,10143
68,10318
69,10457
70,10676
71,10790
72,10946
73,11081
74,11233
75,11341
76,11559
77,11753
78,11989
79,12168
80,12292
81,12493
82,12674
83,12796
84,12963
85,13148
86,13328
87,13576
88,13768
89,14058
90,14254
91,14443
92,14554
93,14735
94,14914
95,15188
96,15391
97,15586
98,15811
99,15811
100,16190
101,16415
102,16626
103,16909
104,17202
105,17591
106,18004
107,18144
108,18144
109,18869
110,19422
111,19915
112,20262
113,20576
114,21044
115,21552
116,21928
117,22284
118,22831
119,23216
120,23437
121,23857
122,24630
123,25205
124,26000
125,26000
126,27134
127,27444
128,27891
129,28827
130,29715
131,30423
132,31289
133,32249
134,33095
135,33625
136,34763
137,36064
138,37701
139,39353
140,40710
141,41928
142,43051
143,44824
144,46751
145,48835
146,50324
147,51259
148,51841
149,52888
150,54081
