,total,confirmed,probable
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,1,,
6,4,,
7,6,,
8,10,,
9,12,,
10,21,,
11,34,,
12,50,,
13,80,,
14,140,,
15,207,,
16,249,,
17,320,,
18,377,,
19,485,,
20,579,,
21,663,,
22,758,,
23,847,,
24,937,,
25,1073,,
26,1177,,
27,1358,,
28,1455,,
29,1638,,
30,1738,,
31,1915,,
32,2003,,
33,2260,,
34,2469,,
35,2642,,
36,2781,,
37,2942,,
38,3087,,
39,3360,,
40,3624,,
41,3793,,
42,3974,,
43,4274,,
44,4512,,
45,4716,,
46,4894,,
47,5153,,
48,5434,,
49,5718,,
50,5911,,
51,6094,,
52,6342,,
53,6569,,
54,6815,,
55,7212,,
56,7441,,
57,7550,,
58,7877,,
59,8207,,
60,8424,,
61,8686,,
62,9090,,
63,9378,,
64,9501,,
65,9674,,
66,9908,,
67,10090,,
68,10483,,
69,10801,,
70,11123,,
71,11296,,
72,11432,,
73,11704,,
74,11967,,
75,12222,,
76,12624,,
77,13005,,
78,13252,,
79,13458,,
80,13731,,
81,14044,,
82,14372,,
83,14790,,
84,15229,,
85,15501,,
86,15752,,
87,16020,15910.0,110.0
88,16322,16211.0,111.0
89,16560,16447.0,113.0
90,16759,16654.0,105.0
91,16769,16654.0,115.0
92,17270,17148.0,122.0
93,17768,17645.0,123.0
94,17768,17645.0,123.0
95,18483,18351.0,132.0
96,18483,18351.0,132.0
97,19091,18959.0,132.0
98,19348,19216.0,132.0
99,19516,19383.0,133.0
100,19799,19664.0,135.0
101,20152,20013.0,139.0
102,20641,20500.0,141.0
103,20641,20500.0,141.0
104,20641,20500.0,141.0
105,20641,20500.0,141.0
106,20641,20500.0,141.0
107,22287,22136.0,151.0
108,22898,22745.0,153.0
109,23424,23268.0,156.0
110,24516,24358.0,158.0
111,25066,24906.0,160.0
112,25531,25368.0,163.0
113,25892,25724.0,168.0
114,26567,26400.0,167.0
115,27247,27067.0,180.0
116,27900,27710.0,190.0
117,28770,28573.0,197.0
118,28770,28573.0,197.0
119,30674,30458.0,216.0
120,30900,30671.0,229.0
121,31257,31028.0,229.0
122,32214,31966.0,248.0
123,32888,32620.0,268.0
124,33591,33309.0,282.0
125,34622,34321.0,301.0
126,35419,35105.0,314.0
127,36287,35961.0,326.0
128,36680,36564.0,116.0
129,37542,37198.0,344.0
130,38567,38198.0,369.0
131,39797,39384.0,413.0
132,40829,40358.0,471.0
133,41846,41354.0,492.0
134,42638,42130.0,508.0
135,43889,43380.0,509.0
136,45524,44999.0,525.0
137,47071,46515.0,556.0
138,48053,47468.0,585.0
139,49663,49050.0,613.0
140,51097,50444.0,653.0
141,52304,51639.0,665.0
142,52957,52286.0,671.0
143,54299,53588.0,711.0
144,55804,55046.0,758.0
145,57579,56770.0,809.0
146,58747,57912.0,835.0
147,59881,59002.0,879.0
148,60553,59637.0,916.0
149,61125,60147.0,978.0
150,62199,61186.0,1013.0
151,63444,62384.0,1060.0
152,64400,63302.0,1098.0
153,65436,64295.0,1141.0
154,66646,65442.0,1204.0
155,67173,65906.0,1267.0
156,67649,66334.0,1315.0
157,68293,66939.0,1354.0
158,69374,67913.0,1461.0
159,69986,68430.0,1556.0
160,70930,69268.0,1662.0
161,71755,70047.0,1708.0
162,72136,70350.0,1786.0
163,72412,70561.0,1851.0
164,73207,71254.0,1953.0
165,74555,72418.0,2137.0
166,75449,73085.0,2364.0
167,76323,73826.0,2497.0
168,77268,74620.0,2648.0
169,77894,75176.0,2718.0
170,78405,75571.0,2834.0
171,79206,76228.0,2978.0
172,80110,76917.0,3193.0
173,80695,77323.0,3372.0
174,81294,77822.0,3472.0
175,82029,78445.0,3584.0
176,82676,78904.0,3772.0
177,82950,79165.0,3785.0
178,83584,79650.0,3934.0
179,84365,80193.0,4172.0
180,85116,80832.0,4284.0
181,85939,81530.0,4409.0
182,86478,81910.0,4568.0
183,86888,82235.0,4653.0
184,87130,82457.0,4673.0
185,87379,82684.0,4695.0
186,87805,82943.0,4862.0
187,88322,83328.0,4994.0
188,89175,83918.0,5257.0
189,89620,84242.0,5378.0
190,89874,84451.0,5423.0
191,90018,84557.0,5461.0
192,90523,84912.0,5611.0
193,91234,85384.0,5850.0
