,0
0,1
1,4
2,6
3,10
4,12
5,21
6,34
7,50
8,80
9,140
10,207
11,249
12,320
13,377
14,485
15,579
16,663
17,758
18,847
19,937
20,1073
21,1177
22,1358
23,1455
24,1638
25,1738
26,1915
27,2003
28,2260
29,2469
30,2642
31,2781
32,2942
33,3087
34,3360
35,3624
36,3793
37,3974
38,4274
39,4512
40,4716
41,4894
42,5153
43,5434
44,5718
45,5911
46,6094
47,6342
48,6569
49,6815
50,7212
51,7441
52,7550
53,7877
54,8207
55,8424
56,8686
57,9090
58,9378
59,9501
60,9674
61,9908
62,10090
63,10483
64,10801
65,11123
66,11296
67,11432
68,11704
69,11967
70,12222
71,12624
72,13005
73,13252
74,13458
75,13731
76,14044
77,14372
78,14790
79,15229
80,15501
81,15752
82,16020
83,16322
84,16560
85,16759
86,16769
87,17270
88,17768
89,17768
90,18483
91,18483
92,19091
93,19348
94,19516
95,19799
96,20152
97,20641
98,20641
99,20641
100,20641
101,20641
102,22287
103,22898
104,23424
105,24516
106,25066
107,25531
108,25892
109,26567
110,27247
111,27900
112,28770
113,28770
114,30674
115,30900
116,31257
117,32214
118,32888
119,33591
120,34622
121,35419
122,36287
123,36680
124,37542
125,38567
126,39797
127,40829
128,41846
129,42638
130,43889
131,45524
132,47071
133,48053
134,49663
135,51097
136,52304
137,52957
138,54299
139,55804
140,57579
141,58747
