,total,confirmed,probable
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,1,,
6,1,,
7,5,,
8,7,,
9,7,,
10,8,,
11,10,,
12,12,,
13,16,,
14,20,,
15,31,,
16,34,,
17,46,,
18,53,,
19,71,,
20,108,,
21,129,,
22,154,,
23,171,,
24,184,,
25,208,,
26,227,,
27,243,,
28,265,,
29,286,,
30,299,,
31,319,,
32,332,,
33,354,,
34,365,,
35,377,,
36,387,,
37,394,,
38,399,,
39,404,,
40,415,,
41,422,,
42,426,,
43,433,,
44,433,,
45,437,,
46,439,,
47,442,,
48,444,,
49,445,,
50,448,,
51,449,,
52,451,,
53,451,,
54,453,,
55,453,,
56,455,,
57,455,,
58,457,,
59,456,,
60,456,,
61,456,,
62,458,,
63,458,,
64,458,,
65,459,,
66,461,,
67,462,,
68,462,,
69,466,,
70,468,,
71,468,,
72,470,,
73,471,,
74,478,,
75,479,,
76,479,,
77,479,,
78,479,,
79,479,,
80,479,,
81,481,,
82,485,,
83,493,,
84,505,,
85,515,,
86,519,,
87,523,,
88,525,,
89,539,,
90,541,,
91,540,,
92,545,,
93,548,,
94,554,,
95,561,,
96,563,,
97,573,,
98,588,,
99,601,,
100,609,,
101,614,,
102,630,,
103,655,,
104,666,,
105,698,,
106,717,,
107,740,,
108,743,,
109,766,,
110,803,,
111,829,,
112,852,,
113,863,,
114,919,,
115,967,,
116,1016,,
117,1083,,
118,1128,,
119,1167,,
120,1212,,
121,1249,,
122,1327,,
123,1371,,
124,1466,,
125,1593,,
126,1677,,
127,1758,,
128,1843,,
129,1952,,
130,2096,,
131,2231,,
132,2366,,
133,2471,,
134,2533,,
135,2621,,
136,2712,,
137,2813,,
138,2910,,
139,3039,,
140,3260,,
141,3342,,
142,3381,,
143,3475,,
144,3676,,
145,3814,,
146,3965,,
147,4081,,
148,4193,,
149,4233,,
150,4314,,
151,4429,,
152,4602,,
153,4757,,
154,4889,,
155,4952,,
156,5017,,
157,5104,,
158,5268,,
159,5407,,
160,5541,,
161,5659,,
162,5750,,
163,5792,,
164,5846,,
165,5956,,
166,6072,,
167,6216,,
168,6376,,
169,6429,,
170,6489,,
171,6624,,
172,6785,,
173,6929,,
174,7063,,
175,7251,,
176,7340,,
177,7421,,
178,7509,,
179,7691,,
180,7871,,
181,8019,,
182,8164,,
183,8264,,
184,8316,,
185,8381,,
186,8468,,
187,8663,,
188,8785,,
189,8925,,
190,9021,,
191,9107,,
192,9244,,
193,9431,,
194,9647,,
195,9871,,
196,10163,,
197,10299,,
198,10429,,
199,10700,,
200,10912,,
201,11242,,
202,11564,,
203,11907,,
204,12107,,
205,12413,,
206,12724,,
207,13071,,
208,13500,,
209,13855,,
210,14356,,
211,14635,,
212,14847,,
213,15347,,
214,16063,,
215,16677,,
216,17399,,
217,18117,,
218,18702,,
219,19125,,
220,19611,,
221,20210,,
222,20933,,
223,21595,,
224,22233,,
225,22821,,
226,23390,,
227,24093,,
228,24712,,
229,25640,,
230,26503,,
231,27142,,
232,27880,,
233,28501,,
234,29346,,
235,29966,,
236,30853,,
237,31916,,
238,32801,,
239,33495,,
240,34252,,
241,35159,,
242,35955,,
243,36968,,
244,37947,,
245,38948,,
246,39679,,
247,40053,,
248,41151,,
249,42070,,
250,43031,,
251,44244,,
252,45886,,
253,47158,,
254,48027,,
255,49398,,
256,50582,,
257,51818,,
258,53293,,
259,54542,,
260,55680,,
261,56381,,
262,57504,,
263,58565,,
264,59682,,
265,59796,,
266,60845,,
267,61801,,
268,62198,,
269,63205,,
270,64340,,
271,65122,,
272,66436,,
273,67069,,
274,67875,,
275,68591,,
276,69346,,
277,70133,,
278,70892,,
279,71870,,
280,72644,,
281,73303,,
282,73303,,
283,74040,,
284,74644,,
285,75483,,
286,75992,,
287,76619,,
288,77170,,
289,77324,,
290,77947,,
291,78522,,
292,78929,,
293,78929,,
294,79433,,
295,79780,,
296,79999,,
297,80426,,
298,81300,,
299,81555,,
300,81555,,
301,81944,,
302,82381,,
303,82664,,
304,83378,,
305,84060,,
306,84750,,
307,85568,,
308,86102,,
309,86324,,
310,86653,,
311,87077,,
312,87653,,
313,88110,,
314,88635,,
315,89056,,
316,89393,,
317,89576,,
318,89864,,
319,90255,,
320,90649,,
321,91049,,
322,91410,,
323,91652,,
324,91816,,
325,92160,,
326,92531,90553.0,1978.0
327,92934,90895.0,2039.0
328,93246,91133.0,2113.0
329,93762,91545.0,2217.0
330,93949,91710.0,2239.0
331,94070,91810.0,2260.0
332,94384,92062.0,2322.0
333,94810,92398.0,2412.0
334,95111,92644.0,2467.0
335,95458,92956.0,2502.0
336,95717,93186.0,2531.0
337,95790,93246.0,2544.0
338,95914,93352.0,2562.0
339,96288,93658.0,2630.0
340,96595,93921.0,2674.0
341,96842,94130.0,2712.0
342,97063,94303.0,2760.0
343,97297,94499.0,2798.0
344,97401,94591.0,2810.0
345,97539,94708.0,2831.0
346,97666,94747.0,2919.0
347,97900,94892.0,3008.0
348,98100,95062.0,3038.0
349,98377,95274.0,3103.0
350,98641,95400.0,3241.0
351,98779,95500.0,3279.0
352,98810,95524.0,3286.0
353,99040,95556.0,3484.0
354,99242,95439.0,3803.0
355,99445,95356.0,4089.0
356,99613,95356.0,4089.0
357,99837,95360.0,4477.0
358,99954,95430.0,4524.0
359,100003,95472.0,4531.0
360,100158,95381.0,4777.0
361,100351,95256.0,5095.0
362,100531,95413.0,5118.0
363,100656,95509.0,5147.0
364,100842,95336.0,5506.0
365,100914,95390.0,5524.0
