,total,confirmed,probable
0,1,,
1,1,,
2,2,,
3,2,,
4,2,,
5,2,,
6,7,,
7,7,,
8,12,,
9,15,,
10,23,,
11,32,,
12,33,,
13,40,,
14,63,,
15,97,,
16,137,,
17,184,,
18,255,,
19,297,,
20,398,,
21,504,,
22,636,,
23,763,,
24,935,,
25,1040,,
26,1307,,
27,1498,,
28,1584,,
29,1857,,
30,2093,,
31,2402,,
32,2585,,
33,2870,,
34,3221,,
35,3426,,
36,3651,,
37,3908,,
38,4312,,
39,4520,,
40,4816,,
41,5024,,
42,5123,,
43,5465,,
44,5859,,
45,6140,,
46,6493,,
47,6764,,
48,6951,,
49,7220,,
50,7608,,
51,8052,,
52,8623,,
53,8830,,
54,9142,,
55,9568,,
56,9948,9948.0,
57,10509,10509.0,
58,10923,10923.0,
59,11509,11509.0,
60,11664,11664.0,
61,11848,11848.0,
62,12256,12256.0,
63,12758,12758.0,
64,13397,13397.0,
65,13868,13868.0,
66,14360,14360.0,
67,14764,14764.0,
68,15045,15045.0,
69,15346,15346.0,
70,15816,15816.0,
71,16507,16507.0,
72,17129,17129.0,
73,17982,17982.0,
74,18512,18512.0,
75,19023,19023.0,
76,19700,19700.0,
77,20122,20122.0,
78,20860,20860.0,
79,21618,21618.0,
80,22725,22725.0,
81,23222,23222.0,
82,23964,23964.0,
83,24140,24140.0,
84,24628,24628.0,
85,25412,25412.0,
86,26488,26488.0,
87,27673,27673.0,
88,28589,28589.0,
89,29263,29263.0,
90,29889,29889.0,
91,30777,30777.0,
92,31966,31966.0,
93,33255,33255.0,
94,34625,34625.0,
95,35546,35546.0,
96,36484,36484.0,
97,37160,37160.0,
98,38171,38171.0,
99,39481,39481.0,
100,41249,41249.0,
101,42676,42676.0,
102,44119,44119.0,
103,45102,45102.0,
104,45853,45853.0,
105,46855,46855.0,
106,48188,48188.0,
107,49840,49840.0,
108,51389,51389.0,
109,52801,52801.0,
110,53605,53605.0,
111,54453,54453.0,
112,56174,56174.0,
113,57183,57183.0,
114,58818,58818.0,
115,60537,60537.0,
116,62142,62142.0,
117,63484,63484.0,
118,64670,64670.0,
119,66513,66513.0,
120,68142,68142.0,
121,70241,70241.0,
122,71654,71654.0,
123,72983,72983.0,
124,74529,74529.0,
125,75875,75875.0,
126,77310,77310.0,
127,79349,79349.0,
128,81331,81331.0,
129,83793,83793.0,
130,85701,85701.0,
131,87528,87528.0,
132,89484,89484.0,
133,91266,91266.0,
134,93426,93426.0,
135,95477,95477.0,
136,97958,97958.0,
137,99778,99778.0,
138,101046,101046.0,
139,102861,102861.0,
140,105001,105001.0,
141,106893,106893.0,
142,108995,108995.0,
143,111092,111092.0,
144,112713,112713.0,
145,114338,114338.0,
146,116087,116087.0,
147,117850,117850.0,
148,120194,120194.0,
149,122148,122148.0,
150,123878,123878.0,
151,125219,125219.0,
152,126532,126532.0,
153,128161,128161.0,
154,129288,129288.0,
155,131267,131267.0,
156,132812,132812.0,
157,134766,134766.0,
158,136218,136218.0,
159,136844,136844.0,
160,137895,137895.0,
161,139061,139061.0,
162,140824,140824.0,
163,142170,142170.0,
164,143706,143706.0,
165,144952,144952.0,
166,145516,145516.0,
167,146779,146779.0,
168,147932,147932.0,
169,149904,149904.0,
170,151912,151912.0,
171,153641,153641.0,
172,155113,155113.0,
173,156396,156396.0,
174,157741,157741.0,
175,158985,158985.0,
176,161076,161076.0,
177,162491,162491.0,
178,165076,165076.0,
179,166127,166127.0,
180,167313,167313.0,
181,169424,169424.0,
182,170553,170553.0,
183,172209,172209.0,
184,174254,174254.0,
185,175815,175815.0,
186,176901,176901.0,
187,177919,177919.0,
188,178635,178635.0,
189,179532,179532.0,
190,180754,180754.0,
191,182286,182286.0,
192,183740,183740.0,
193,184936,184936.0,
194,185781,185781.0,
195,186887,186887.0,
196,188024,188024.0,
197,189576,189576.0,
198,191019,191019.0,
199,192248,192248.0,
200,193581,193581.0,
201,194381,194381.0,
202,195549,195549.0,
203,196501,196501.0,
204,198189,198189.0,
205,204331,199768.0,4563.0
206,206090,201431.0,4659.0
207,207380,202704.0,4676.0
208,208248,203568.0,4680.0
209,209137,204331.0,4806.0
210,210632,205703.0,4929.0
211,212909,207789.0,5120.0
212,214684,209397.0,5287.0
213,216886,211403.0,5483.0
214,217496,211961.0,5535.0
215,219754,214209.0,5545.0
216,221258,215477.0,5781.0
217,222969,216943.0,6026.0
218,225397,219162.0,6235.0
219,227431,220965.0,6466.0
220,229752,223089.0,6663.0
221,231471,224727.0,6744.0
222,232747,225959.0,6788.0
223,234481,227496.0,6985.0
224,236407,229115.0,7292.0
225,238939,231362.0,7577.0
226,241623,233732.0,7891.0
227,243725,235597.0,8128.0
228,246028,237805.0,8223.0
229,247172,238894.0,8278.0
230,248750,240297.0,8453.0
231,250592,241792.0,8800.0
232,252992,243923.0,9069.0
233,255708,246346.0,9362.0
234,258292,248620.0,9672.0
235,260099,250332.0,9767.0
236,261742,251937.0,9805.0
237,263883,253847.0,10036.0
238,266136,255693.0,10443.0
239,269021,258319.0,10702.0
240,271830,260709.0,11121.0
241,274635,263177.0,11458.0
242,276692,265171.0,11521.0
243,278028,266451.0,11577.0
244,280377,268613.0,11764.0
245,282802,270675.0,12127.0
246,285661,273173.0,12488.0
247,288569,275790.0,12779.0
248,291245,278200.0,13045.0
249,293339,280213.0,13126.0
250,294860,281679.0,13181.0
251,297442,283895.0,13547.0
252,300561,286524.0,14037.0
253,303454,289204.0,14250.0
254,305233,290802.0,14431.0
255,309118,294328.0,14790.0
256,312235,297184.0,15051.0
257,314207,299061.0,15146.0
258,317495,301998.0,15497.0
259,320862,304784.0,16078.0
260,325158,308548.0,16610.0
261,328846,311772.0,17074.0
262,332261,314615.0,17646.0
263,336775,318763.0,18012.0
264,339194,320990.0,18204.0
265,342294,323751.0,18543.0
266,346506,327379.0,19127.0
267,346506,327379.0,19127.0
268,354514,334190.0,20324.0
269,357958,337501.0,20457.0
270,361778,340939.0,20839.0
271,364512,343518.0,20994.0
272,367395,345906.0,21489.0
273,371594,349280.0,22314.0
274,377231,353966.0,23265.0
275,382534,358467.0,24067.0
276,388552,363698.0,24854.0
277,394990,369538.0,25452.0
278,399362,373684.0,25678.0
279,404032,377926.0,26106.0
280,410527,383408.0,27119.0
281,416083,388106.0,27977.0
282,423623,394742.0,28881.0
283,429776,399981.0,29795.0
284,436595,406174.0,30421.0
285,441365,410470.0,30895.0
286,446601,415080.0,31521.0
