,0
0,1
1,1
2,2
3,2
4,2
5,2
6,7
7,7
8,12
9,15
10,23
11,32
12,33
13,40
14,63
15,97
16,137
17,184
18,255
19,297
20,398
21,504
22,636
23,763
24,935
25,1040
26,1307
27,1498
28,1584
29,1857
30,2093
31,2402
32,2585
33,2870
34,3221
35,3426
36,3651
37,3908
38,4312
39,4520
40,4816
41,5024
42,5123
43,5465
44,5859
45,6140
46,6493
47,6764
48,6951
49,7220
50,7608
51,8052
52,8623
53,8830
54,9142
55,9568
56,9948
57,10509
58,10923
59,11509
60,11664
61,11848
62,12256
63,12758
64,13397
65,13868
66,14360
67,14764
68,15045
69,15346
70,15816
71,16507
72,17129
73,17982
74,18512
75,19023
76,19700
77,20122
78,20860
79,21618
80,22725
81,23222
82,23964
83,24140
84,24628
85,25412
86,26488
87,27673
88,28589
89,29263
90,29889
91,30777
92,31966
93,33255
94,34625
95,35546
96,36484
97,37160
98,38171
99,39481
100,41249
101,42676
102,44119
103,45102
104,45853
105,46855
106,48188
107,49840
108,51389
109,52801
110,53605
111,54453
112,56174
113,57183
114,58818
115,60537
116,62142
117,63484
118,64670
119,66513
120,68142
121,70241
122,71654
123,72983
124,74529
125,75875
126,77310
127,79349
128,81331
129,83793
130,85701
131,87528
132,89484
133,91266
134,93426
135,95477
136,97958
137,99778
138,101046
139,102861
