,total,confirmed,probable
0,,,
1,,,
2,,,
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,1.0,1.0,0.0
6,1.0,1.0,0.0
7,1.0,1.0,0.0
8,1.0,1.0,0.0
9,1.0,1.0,0.0
10,1.0,1.0,0.0
11,6.0,6.0,0.0
12,15.0,15.0,0.0
13,20.0,20.0,0.0
14,28.0,28.0,0.0
15,28.0,28.0,0.0
16,30.0,30.0,0.0
17,33.0,33.0,0.0
18,39.0,39.0,0.0
19,52.0,52.0,0.0
20,61.0,61.0,0.0
21,80.0,80.0,0.0
22,97.0,97.0,0.0
23,107.0,107.0,0.0
24,117.0,117.0,0.0
25,139.0,139.0,0.0
26,159.0,159.0,0.0
27,173.0,173.0,0.0
28,186.0,186.0,0.0
29,207.0,207.0,0.0
30,225.0,225.0,0.0
31,237.0,237.0,0.0
32,251.0,251.0,0.0
33,269.0,269.0,0.0
34,278.0,278.0,0.0
35,293.0,293.0,0.0
36,308.0,308.0,0.0
37,331.0,331.0,0.0
38,341.0,341.0,0.0
39,364.0,364.0,0.0
40,392.0,392.0,0.0
41,438.0,438.0,0.0
42,528.0,528.0,0.0
43,584.0,584.0,0.0
44,626.0,626.0,0.0
45,644.0,644.0,0.0
46,677.0,677.0,0.0
47,709.0,709.0,0.0
48,747.0,747.0,0.0
49,803.0,803.0,0.0
50,867.0,867.0,0.0
51,942.0,942.0,0.0
52,991.0,991.0,0.0
53,1033.0,1033.0,0.0
54,1067.0,1067.0,0.0
55,1107.0,1107.0,0.0
56,1153.0,1153.0,0.0
57,1191.0,1191.0,0.0
58,1225.0,1225.0,0.0
59,1264.0,1264.0,0.0
60,1320.0,1320.0,0.0
61,1369.0,1369.0,0.0
62,1422.0,1422.0,0.0
63,1462.0,1462.0,0.0
64,1488.0,1488.0,0.0
65,1514.0,1514.0,0.0
66,1566.0,1566.0,0.0
67,1640.0,1640.0,0.0
68,1707.0,1707.0,0.0
69,1758.0,1758.0,0.0
70,1845.0,1845.0,0.0
71,1896.0,1896.0,0.0
72,1927.0,1927.0,0.0
73,1987.0,1987.0,0.0
74,2068.0,2068.0,0.0
75,2163.0,2163.0,0.0
76,2233.0,2233.0,0.0
77,2282.0,2282.0,0.0
78,2336.0,2336.0,0.0
79,2376.0,2376.0,0.0
80,2419.0,2419.0,0.0
81,2436.0,2436.0,0.0
82,2477.0,2477.0,0.0
83,2517.0,2517.0,0.0
84,2551.0,2551.0,0.0
85,2574.0,2574.0,0.0
86,2621.0,2621.0,0.0
87,2643.0,2643.0,0.0
88,2676.0,2676.0,0.0
89,2702.0,2702.0,0.0
90,2742.0,2742.0,0.0
91,2813.0,2813.0,0.0
92,2857.0,2857.0,0.0
93,2876.0,2876.0,0.0
94,2898.0,2898.0,0.0
95,2938.0,2938.0,0.0
96,2976.0,2976.0,0.0
