,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,6.0
7,15.0
8,20.0
9,28.0
10,28.0
11,30.0
12,33.0
13,39.0
14,52.0
15,61.0
16,80.0
17,97.0
18,107.0
19,117.0
20,139.0
21,159.0
22,173.0
23,186.0
24,207.0
25,225.0
26,237.0
27,251.0
28,269.0
29,278.0
30,293.0
31,308.0
32,331.0
33,341.0
34,364.0
35,392.0
36,438.0
37,528.0
38,584.0
39,626.0
40,644.0
41,677.0
42,709.0
43,747.0
44,803.0
45,867.0
46,942.0
47,991.0
48,1033.0
49,1067.0
50,1107.0
51,1153.0
52,1191.0
53,1225.0
54,1264.0
55,1320.0
56,1369.0
57,1422.0
58,1462.0
59,1488.0
60,1514.0
61,1566.0
62,1640.0
63,1707.0
64,1758.0
65,1845.0
66,1896.0
67,1927.0
68,1987.0
69,2068.0
70,2163.0
71,2233.0
72,2282.0
73,2336.0
