,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,0.0,,
20,0.0,,
21,1.0,,
22,1.0,,
23,3.0,,
24,3.0,,
25,5.0,,
26,10.0,,
27,13.0,,
28,14.0,,
29,17.0,,
30,18.0,,
31,21.0,,
32,24.0,,
33,27.0,,
34,32.0,,
35,38.0,,
36,48.0,,
37,50.0,,
38,52.0,,
39,61.0,,
40,73.0,,
41,85.0,,
42,96.0,,
43,108.0,,
44,145.0,,
45,172.0,,
46,210.0,,
47,246.0,,
48,279.0,,
49,321.0,,
50,363.0,,
51,409.0,,
52,447.0,,
53,519.0,,
54,567.0,,
55,635.0,,
56,700.0,,
57,791.0,,
58,814.0,,
59,871.0,,
60,901.0,,
61,952.0,,
62,1066.0,,
63,1138.0,,
64,1287.0,,
65,1474.0,,
66,1648.0,,
67,1722.0,,
68,1813.0,,
69,2124.0,,
70,2421.0,,
71,2732.0,,
72,3028.0,,
73,3358.0,,
74,3374.0,,
75,3784.0,,
76,4281.0,,
77,4838.0,,
78,5326.0,,
79,5910.0,,
80,6083.0,,
81,6438.0,,
82,6771.0,,
83,7190.0,,
84,7831.0,,
85,8234.0,,
86,8315.0,,
87,8572.0,,
88,8692.0,,
89,9075.0,,
90,9416.0,,
91,9772.0,,
92,10220.0,,
93,10348.0,,
94,10625.0,,
95,10846.0,,
96,11122.0,,
97,11425.0,,
98,11662.0,,
99,11989.0,,
100,12134.0,,
101,12355.0,,
102,12619.0,,
103,12976.0,,
104,13261.0,,
105,13654.0,,
106,13905.0,,
107,14101.0,,
108,14345.0,,
109,14611.0,,
110,14866.0,,
111,15117.0,,
112,15379.0,,
113,15543.0,,
114,15634.0,,
115,15752.0,,
116,15883.0,,
117,16025.0,,
118,16315.0,,
119,16513.0,,
120,16633.0,,
121,16725.0,,
122,16851.0,,
123,17031.0,,
124,17226.0,,
125,17415.0,,
126,17591.0,,
127,17707.0,,
128,17810.0,,
129,17957.0,,
130,18092.0,,
131,18221.0,,
132,18346.0,,
133,18524.0,,
134,18775.0,,
135,18899.0,,
136,19042.0,,
137,19177.0,,
138,19310.0,,
139,19452.0,,
140,19660.0,,
141,19827.0,,
142,19929.0,,
143,20046.0,,
144,20201.0,,
145,20425.0,,
146,20623.0,,
147,20777.0,,
148,20998.0,,
149,21172.0,,
150,21399.0,,
151,21717.0,,
152,21979.0,,
153,22134.0,,
154,22361.0,,
155,22481.0,,
156,22583.0,,
157,22847.0,,
158,23190.0,,
159,23486.0,,
160,23818.0,,
161,24174.0,,
162,24395.0,,
163,24618.0,,
164,24899.0,,
165,25157.0,,
166,25422.0,,
167,25766.0,,
168,26211.0,,
169,26391.0,,
170,26702.0,,
171,26956.0,,
