,0
0,1.0
1,1.0
2,3.0
3,3.0
4,5.0
5,10.0
6,13.0
7,14.0
8,17.0
9,18.0
10,21.0
11,24.0
12,27.0
13,32.0
14,38.0
15,48.0
16,50.0
17,52.0
18,61.0
19,73.0
20,85.0
21,96.0
22,108.0
23,145.0
24,172.0
25,210.0
26,246.0
27,279.0
28,321.0
29,363.0
30,409.0
31,447.0
32,519.0
33,567.0
34,635.0
35,700.0
36,791.0
37,814.0
38,871.0
39,901.0
40,952.0
41,1066.0
42,1138.0
43,1287.0
44,1474.0
45,1648.0
46,1722.0
47,1813.0
48,2124.0
49,2421.0
50,2732.0
51,3028.0
52,3358.0
53,3374.0
54,3784.0
55,4281.0
56,4838.0
57,5326.0
58,5910.0
59,6083.0
60,6438.0
61,6771.0
62,7190.0
63,7831.0
