,total,confirmed,probable
0,2,,
1,2,,
2,2,,
3,2,,
4,4,,
5,4,,
6,4,,
7,4,,
8,6,,
9,6,,
10,7,,
11,13,,
12,17,,
13,26,,
14,39,,
15,44,,
16,55,,
17,65,,
18,78,,
19,101,,
20,108,,
21,137,,
22,158,,
23,187,,
24,214,,
25,258,,
26,314,,
27,367,,
28,415,,
29,479,,
30,540,,
31,621,,
32,669,,
33,715,,
34,747,,
35,788,,
36,819,,
37,885,,
38,929,,
39,985,,
40,1020,,
41,1091,,
42,1139,,
43,1211,,
44,1287,,
45,1342,,
46,1392,,
47,1447,,
48,1491,,
49,1588,,
50,1670,,
51,1720,,
52,1787,,
53,1864,,
54,1938,,
55,2010,,
56,2054,,
57,2146,,
58,2310,,
59,2429,,
60,2518,,
61,2588,,
62,2636,,
63,2740,,
64,2843,,
65,2947,,
66,3011,,
67,3071,,
68,3160,,
69,3239,,
70,3299,,
71,3382,,
72,3464,,
73,3556,,
74,3596,,
75,3652,,
76,3721,,
77,3868,,
78,3935,,
79,4014,,
80,4089,,
81,4149,,
82,4197,,
83,4231,,
84,4286,,
85,4386,,
86,4492,,
87,4545,,
88,4651,,
89,4685,,
90,4749,,
91,4795,,
92,4876,,
93,4953,,
94,5019,,
95,5043,,
96,5079,,
97,5132,,
98,5178,,
99,5209,,
100,5251,,
101,5299,,
102,5318,,
103,5345,,
104,5364,,
105,5436,,
106,5450,,
107,5486,,
108,5518,,
109,5544,,
110,5558,,
111,5571,,
112,5598,,
113,5638,,
114,5671,,
115,5717,,
116,5747,,
117,5760,,
118,5782,,
119,5802,,
120,5822,,
121,5857,,
122,5857,,
123,5897,,
124,5914,,
125,5932,,
126,5952,,
127,5973,,
128,5991,,
129,6024,,
130,6054,,
131,6068,,
132,6091,,
133,6113,,
134,6139,,
135,6165,,
136,6188,,
137,6203,,
138,6249,,
139,6262,,
140,6295,,
141,6318,,
142,6375,,
143,6415,,
144,6436,,
145,6441,,
146,6500,,
147,6513,,
148,6544,,
149,6583,,
150,6613,,
151,6634,,
152,6660,,
153,6693,,
154,6719,,
155,6742,,
156,6779,,
157,6818,,
158,6831,,
159,6840,,
160,6861,,
161,6887,,
162,6921,,
163,6964,,
164,6980,,
165,6988,,
166,7004,,
167,7017,,
168,7036,,
169,7050,,
170,7071,,
171,7092,,
172,7107,,
173,7134,,
174,7150,,
175,7159,,
176,7194,,
177,7216,,
178,7246,,
179,7254,,
180,7275,,
181,7297,,
182,7309,,
183,7347,,
184,7368,,
185,7424,,
186,7447,,
187,7476,,
188,7494,,
189,7517,,
190,7573,,
191,7620,,
192,7652,,
193,7696,,
194,7714,,
195,7748,,
196,7780,,
197,7814,,
198,7861,,
199,7920,,
200,7947,,
201,7952,,
202,7990,,
203,8007,,
204,8044,,
205,8085,,
206,8121,,
207,8172,,
208,8208,,
209,8233,,
210,8266,,
211,8317,,
212,8534,8395.0,139.0
213,8597,8443.0,154.0
214,8645,8472.0,173.0
215,8680,8472.0,173.0
216,8731,8534.0,197.0
217,8800,8534.0,197.0
218,8878,8629.0,249.0
219,8970,8681.0,268.0
220,9092,8802.0,288.0
221,9143,8831.0,312.0
222,9208,8903.0,355.0
223,9279,8924.0,355.0
224,9349,8967.0,382.0
225,9426,9024.0,402.0
226,9514,9086.0,428.0
227,9625,9168.0,456.0
228,9694,9226.0,467.0
229,9746,9265.0,481.0
230,9828,9331.0,497.0
231,9917,9380.0,537.0
232,9994,9433.0,561.0
233,10112,9518.0,594.0
234,10238,9628.0,610.0
235,10328,9696.0,632.0
236,10397,9748.0,649.0
237,10531,9856.0,674.0
238,10641,9913.0,728.0
239,10768,10016.0,752.0
240,10884,10096.0,788.0
241,11084,10237.0,847.0
242,11214,10339.0,875.0
243,11320,10426.0,894.0
244,11448,10495.0,953.0
245,11563,10663.0,900.0
246,11808,10863.0,945.0
247,12012,11004.0,1008.0
248,12241,11153.0,1088.0
249,12488,11278.0,1210.0
250,12699,11433.0,1266.0
251,12919,11605.0,1314.0
252,13148,11605.0,1314.0
253,13470,12062.0,1408.0
254,13929,12062.0,1408.0
255,14311,12062.0,1408.0
256,14671,12062.0,1408.0
257,15029,12062.0,1408.0
258,15303,12062.0,1408.0
259,15749,12062.0,1408.0
260,16277,13945.0,2332.0
261,16797,14355.0,2442.0
262,17281,14685.0,2596.0
