,total,confirmed,probable
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,2.0,2.0,
25,4.0,4.0,
26,4.0,4.0,
27,6.0,6.0,
28,15.0,15.0,
29,16.0,16.0,
30,23.0,23.0,
31,32.0,32.0,
32,57.0,57.0,
33,78.0,78.0,
34,98.0,98.0,
35,178.0,178.0,
36,267.0,267.0,
37,429.0,429.0,
38,742.0,742.0,
39,890.0,890.0,
40,1327.0,1327.0,
41,1914.0,1914.0,
42,2844.0,2844.0,
43,3675.0,3675.0,
44,4402.0,4402.0,
45,6876.0,6876.0,
46,8825.0,8825.0,
47,11124.0,11124.0,
48,13386.0,13386.0,
49,16636.0,16636.0,
50,18696.0,18696.0,
51,22255.0,22255.0,
52,25590.0,25590.0,
53,29895.0,29895.0,
54,34124.0,34124.0,
55,37505.0,37505.0,
56,41090.0,41090.0,
57,44416.0,44416.0,
58,47437.0,47437.0,
59,51027.0,51027.0,
60,54588.0,54588.0,
61,58151.0,58151.0,
62,61850.0,61850.0,
63,64584.0,64584.0,
64,68824.0,68824.0,
65,71030.0,71030.0,
66,75317.0,75317.0,
67,78467.0,78467.0,
68,81420.0,81420.0,
69,85301.0,85301.0,
70,88806.0,88806.0,
71,92387.0,92387.0,
72,95865.0,95865.0,
73,99989.0,99989.0,
74,102196.0,102196.0,
75,105523.0,105523.0,
76,109038.0,109038.0,
77,111188.0,111188.0,
78,113856.0,113856.0,
79,116264.0,116264.0,
80,118652.0,118652.0,
81,121190.0,121190.0,
82,123731.0,123717.0,14.0
83,126762.0,126744.0,18.0
84,128288.0,128269.0,19.0
85,130620.0,130593.0,27.0
86,131928.0,131890.0,38.0
87,133677.0,133635.0,42.0
88,135504.0,135454.0,50.0
89,137150.0,137085.0,65.0
90,138607.0,138532.0,75.0
91,140022.0,139945.0,77.0
92,140835.0,140743.0,92.0
93,141668.0,141560.0,108.0
94,142825.0,142704.0,121.0
95,144044.0,143905.0,139.0
96,145241.0,145089.0,152.0
97,146492.0,146334.0,158.0
98,148204.0,148039.0,165.0
99,149192.0,149013.0,179.0
100,150597.0,150399.0,198.0
101,151697.0,151472.0,225.0
102,152962.0,152719.0,243.0
103,153372.0,153104.0,268.0
104,154427.0,154154.0,273.0
105,155370.0,155092.0,278.0
106,156046.0,155764.0,282.0
107,156926.0,156628.0,298.0
108,158130.0,157815.0,315.0
109,159180.0,158844.0,336.0
110,159958.0,159608.0,350.0
111,160804.0,160445.0,359.0
112,161278.0,160918.0,360.0
113,161918.0,161545.0,373.0
114,162472.0,162068.0,404.0
115,162952.0,162530.0,422.0
116,163774.0,163336.0,438.0
117,164350.0,163893.0,457.0
