,total,confirmed,probable
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,4,,
8,6,,
9,10,,
10,13,,
11,17,,
12,21,,
13,23,,
14,28,,
15,35,,
16,43,,
17,57,,
18,65,,
19,83,,
20,100,,
21,112,,
22,136,,
23,191,,
24,208,,
25,237,,
26,281,,
27,315,,
28,363,,
29,403,,
30,495,,
31,543,,
32,624,,
33,686,,
34,794,,
35,865,,
36,989,,
37,1091,,
38,1174,,
39,1245,,
40,1345,,
41,1484,,
42,1597,,
43,1711,,
44,1798,,
45,1845,,
46,1971,,
47,2072,,
48,2210,,
49,2379,,
50,2521,,
51,2660,,
52,2726,,
53,2823,,
54,2974,,
55,3213,,
56,3411,,
57,3513,,
58,3732,,
59,3850,,
60,4031,,
61,4138,,
62,4291,,
63,4493,,
64,4673,,
65,4778,,
66,4863,,
67,5069,,
68,5212,,
69,5364,,
70,5503,,
71,5662,,
72,5847,,
73,5938,,
74,6096,,
75,6192,,
76,6317,,
77,6472,,
78,6625,,
79,6795,,
80,6943,,
81,7026,,
82,7130,,
83,7252,,
84,7364,,
85,7493,,
86,7624,,
87,7689,,
88,7800,,
89,8024,,
90,8140,,
91,8353,,
92,8672,,
93,8800,,
94,8940,,
95,9062,,
96,9105,,
97,9250,,
98,9367,,
99,9526,,
100,9621,,
101,9723,,
102,9845,,
103,9933,,
104,10065,,
105,10153,,
106,10260,,
107,10430,,
108,10565,,
109,10694,,
110,10838,,
111,10990,,
112,11192,,
113,11408,,
114,11619,,
115,11809,,
116,11982,,
117,12147,,
118,12276,,
119,12520,,
120,12776,,
121,13063,,
122,13256,,
123,13507,,
124,13727,,
125,14017,,
126,14251,,
127,14549,,
128,14773,,
129,15028,,
130,15291,,
131,15514,,
132,15841,,
133,16138,,
134,16456,,
135,16736,,
136,16971,,
137,17215,,
138,17517,,
139,17828,,
140,18163,,
141,18475,,
142,18788,,
143,19042,,
144,19502,,
145,19791,,
146,20136,,
147,20388,,
148,20600,,
149,20796,,
150,21016,,
151,21130,,
152,21340,,
153,21566,,
154,21773,,
155,21965,,
156,22115,,
157,22315,,
158,22444,,
159,22643,,
160,22816,,
161,22987,,
162,23160,,
163,23302,,
164,23408,,
165,23500,,
166,23579,,
167,23749,,
168,23951,,
169,24095,,
170,24302,,
171,24396,,
172,24469,,
173,24535,,
174,24732,,
175,24920,,
176,25042,,
177,25178,,
178,25283,,
179,25352,,
180,25460,,
181,25612,,
182,25812,,
183,25902,,
184,26048,,
185,26107,,
186,26144,,
187,26181,,
188,26268,,
189,26429,,
190,26563,,
191,26661,,
192,26761,,
193,26842,,
194,26923,,
195,27041,,
196,27199,,
197,27350,,
198,27512,,
199,27579,,
200,27683,,
201,27790,,
202,27987,,
203,28224,,
204,28487,,
205,28692,,
206,28844,,
207,28985,,
208,29157,,
209,29435,,
210,29661,,
211,30000,,
212,30296,,
213,30477,,
214,30632,,
215,30947,,
216,31372,,
217,31756,,
218,32241,,
219,32722,,
220,32983,,
221,33362,,
222,33713,,
223,34290,,
224,34958,,
225,35770,,
226,36343,,
227,36788,,
228,37302,,
229,37896,,
230,38715,,
231,39377,,
232,40168,,
233,41040,,
234,41863,,
235,42586,,
236,43169,,
237,43826,,
238,44904,,
239,45909,,
240,46490,,
241,47232,,
242,48104,,
243,49240,,
244,50251,,
245,51110,,
246,52394,,
247,53671,,
248,54881,,
249,56289,,
250,57547,,
251,59034,,
252,60776,,
253,62006,,
254,63171,,
255,64201,,
256,65454,,
257,67559,,
258,70451,,
259,74116,,
260,77098,,
261,79440,,
262,81896,,
263,84148,,
264,86247,,
265,88102,,
266,89796,,
267,91852,,
268,93982,,
269,95417,,
270,97095,,
271,99419,,
272,100963,,
273,102862,,
274,104935,,
275,106856,,
276,108088,,
277,109947,,
278,111202,,
279,112950,,
280,114731,,
281,116565,,
282,118358,,
283,119800,,
284,121299,,
285,122557,,
286,124357,,
287,126045,,
288,127500,,
289,128930,,
290,129993,,
291,130808,,
292,132075,,
293,133242,,
294,135166,,
295,136622,,
296,137226,,
297,137968,,
298,138659,,
299,139875,,
300,141186,,
301,142864,,
302,144142,,
303,145379,,
304,146394,,
305,147315,,
306,148499,,
307,149984,,
308,151819,,
309,153456,,
310,154954,,
311,156157,,
312,157087,,
313,157974,,
314,159119,,
315,160543,,
316,161805,,
317,162893,,
318,163637,,
319,164263,,
320,164954,,
321,165835,,
322,166823,,
323,167731,,
324,168579,,
325,169205,,
326,169696,,
327,170296,,
328,171047,,
329,171719,,
330,172798,,
331,173539,,
332,174064,,
333,174550,,
334,174982,,
335,175652,,
336,176211,,
337,176793,,
338,177214,,
339,177556,,
340,177867,,
341,178280,,
342,178790,,
343,179323,,
344,179724,,
345,180289,,
346,180571,,
347,180761,,
348,181060,,
349,181332,,
350,181739,,
351,182050,,
352,182475,,
353,182789,,
354,183023,,
355,183335,,
356,183781,,
357,184080,,
358,184736,,
359,184888,,
360,185132,,
361,185297,,
362,185542,,
363,185898,,
364,186156,,
365,186460,,
366,186742,,
367,186922,,
