,total,confirmed,probable
0,1,1,
1,3,3,
2,4,4,
3,4,4,
4,5,5,
5,5,5,
6,9,9,
7,12,12,
8,22,22,
9,34,34,
10,45,45,
11,63,63,
12,73,73,
13,78,78,
14,101,101,
15,109,109,
16,124,124,
17,154,154,
18,190,190,
19,278,278,
20,321,321,
21,420,420,
22,535,535,
23,621,621,
24,738,738,
25,996,996,
26,1113,1113,
27,1279,1279,
28,1458,1458,
29,1514,1514,
30,1742,1742,
31,1836,1836,
32,1953,1953,
33,2087,2087,
34,2318,2318,
35,2456,2456,
36,2584,2584,
37,2700,2700,
38,2836,2836,
39,2971,2971,
40,3088,3088,
41,3211,3211,
42,3321,3321,
43,3524,3524,
44,3626,3626,
45,3728,3728,
46,3830,3830,
47,3937,3937,
48,4081,4081,
49,4208,4208,
50,4398,4398,
51,4539,4539,
52,4602,4602,
53,4690,4690,
54,4805,4805,
55,4898,4898,
56,4998,4998,
57,5227,5227,
58,5311,5311,
59,5423,5423,
60,5491,5491,
61,5594,5594,
62,5663,5663,
63,5766,5766,
64,5884,5884,
65,6028,6028,
66,6098,6098,
67,6152,6152,
68,6311,6311,
69,6394,6394,
70,6499,6499,
71,6614,6614,
72,6709,6709,
73,6857,6857,
74,6906,6906,
75,7046,7046,
76,7166,7166,
77,7255,7255,
78,7401,7401,
79,7696,7696,
80,7770,7770,
81,7879,7879,
82,7997,7997,
83,8113,8113,
84,8208,8208,
85,8350,8350,
86,8495,8495,
87,8593,8593,
88,8688,8688,
89,8830,8830,
90,8931,8931,
91,9090,9090,
92,9266,9266,
93,9460,9460,
94,9649,9649,
95,9786,9786,
96,10030,10030,
97,10164,10164,
98,10399,10399,
99,10676,10676,
100,10946,10946,
101,11173,11173,
102,11279,11279,
103,11658,11658,
104,11842,11842,
105,12076,12076,
106,12486,12486,
107,12931,12931,
108,13205,13205,
109,13535,13535,
110,13997,13997,
111,14592,14592,
112,15479,15479,
113,15860,15860,
114,16339,16339,
115,17160,17160,
116,17894,17894,
117,18456,18456,
118,19101,19101,
119,19733,19733,
120,20718,20718,
121,21575,21575,
122,22418,22418,
123,22909,22909,
124,23785,23785,
125,24301,24301,
126,24904,24904,
127,25908,25908,
128,26838,26838,
129,27683,27683,
130,28515,28515,
131,29619,29619,
132,30468,30468,
133,31915,31915,
134,33295,33295,
135,34477,34477,
136,35765,35765,
137,36713,36713,
138,37528,37528,
139,38657,38657,
140,39919,39919,
141,40885,40885,
142,41816,41816,
143,42834,42834,
144,43831,43831,
145,44936,44936,
146,45806,45806,
147,46824,46824,
148,48088,48088,
149,49074,49074,
150,50205,50205,
151,51199,51199,
152,52179,52179,
153,52828,52828,
154,53557,53557,
155,54533,54533,
156,55419,55419,
157,56230,56230,
158,56972,56972,
159,57520,57520,
160,58048,58048,
161,58650,58650,
162,59749,59749,
163,60608,60608,
164,61305,61305,
165,61967,61967,
166,62639,62639,
167,63028,63028,
168,63584,63584,
169,64433,64433,
170,65069,65069,
171,65601,65601,
172,66010,66010,
173,66413,66413,
174,66666,66666,
175,67220,67220,
176,67852,67852,
177,68461,68461,
178,68908,68908,
179,69228,69228,
180,69633,69633,
181,69872,69872,
182,70223,70223,
183,70712,70712,
184,71102,71102,
185,71610,71610,
186,71967,71967,
187,72104,72104,
188,72258,72258,
189,72546,72546,
190,72806,72806,
191,73220,73220,
192,73537,73537,
193,73814,73814,
194,74040,74040,
195,74248,74248,
196,74595,74595,
197,75096,75096,
198,75419,75419,
199,75804,75804,
200,76036,76036,
201,76298,76298,
202,76807,76807,
203,77197,77197,
204,77753,77753,
205,78355,78355,
206,78728,78728,
207,79191,79191,
208,79595,79595,
209,79980,79980,
210,80410,80410,
211,81182,81182,
212,81708,81708,
213,82100,82100,
214,82437,82437,
215,82916,82916,
216,83347,83347,
217,83827,83827,
218,84593,84593,
219,85399,85399,
220,85779,85779,
221,86348,86348,
222,86835,86835,
223,87314,87314,
224,87969,87969,
225,88685,88685,
226,89652,89652,
227,90261,90261,
228,90843,90843,
229,91499,91499,
230,92064,92064,
231,92853,92853,
232,93666,93666,
233,94812,94812,
234,95703,95703,
235,96178,96178,
236,96908,96908,
237,97479,97479,
238,98554,98554,
239,99786,99786,
240,100763,100763,
241,101479,101479,
242,102114,102114,
243,103025,103025,
244,104093,104093,
245,105360,105360,
246,106922,106922,
247,108746,108746,
248,110022,110022,
249,110982,110982,
250,112304,112304,
251,113411,113411,
252,114880,114880,
253,116737,116737,
254,119006,119006,
255,120183,120183,
256,122097,122097,
257,123794,123794,
258,125459,125459,
259,127875,127875,
260,129714,129714,
261,131733,131733,
262,133888,133888,
263,136227,136227,
264,139080,139080,
265,142239,142239,
266,144781,144781,
267,146317,146317,
268,149229,149229,
269,150527,150257,
270,152169,152169,
271,154867,154867,
272,156996,156996,
273,159532,159532,
274,162434,162434,
275,165628,165628,
276,168139,168139,
277,170587,170587,
278,173281,173281,
279,176334,176334,
280,178527,178527,
281,181310,181310,
282,183951,183951,
283,186833,186833,
284,189412,189412,
285,191732,191732,
286,194098,194098,
287,196379,196379,
288,199257,199257,
289,201858,201858,
290,203945,203945,
291,205884,205884,
292,206974,206974,
293,209962,209962,
294,212211,212211,
295,214064,214064,
296,215653,215653,
297,217509,217509,
298,218377,218377,
299,220124,220124,
300,222594,222594,
301,224731,224731,
302,227046,227046,
303,228871,228871,
304,231618,231618,
305,233032,233032,
306,235455,235455,
307,237393,237393,
308,240795,240795,
309,243661,243661,
310,246309,246309,
311,248568,248568,
312,250249,250249,
313,252842,252842,
314,253985,253985,
315,256172,256172,
316,258050,258050,
317,260090,260090,
318,261573,261573,
319,262794,262794,
320,263972,263972,
321,265143,265143,
322,266343,266343,
323,268212,268212,
324,269713,269713,
325,270907,270907,
326,271897,271897,
327,272853,272853,
328,273873,273873,
329,274951,274951,
330,276279,276279,
331,277349,277349,
332,278308,278308,
333,279146,279146,
334,279957,279957,
335,280707,280707,
336,281596,281596,
337,282493,282493,
338,283391,283391,
339,284042,284042,
340,284590,284590,
341,285136,285136,
342,285795,285795,
343,286387,286387,
344,287023,287023,
345,287836,287836,
346,288348,288348,
347,288739,288739,
348,289029,289029,
349,289392,289392,
350,289880,289880,
351,290300,290300,
352,290671,290671,
353,290972,290972,
354,291145,291145,
355,291543,291543,
356,292059,292059,
357,292630,292630,
358,293029,293029,
359,293488,293488,
360,293754,293754,
361,293980,293980,
362,294289,294289,
363,294684,294684,
364,295069,295069,
365,295460,295460,
366,295460,295960,
367,296190,296190,
