,0
0,1
1,121
2,210
3,356
4,651
5,725
6,834
7,952
8,1068
9,1163
10,1305
11,1450
12,1548
13,1643
14,1785
15,1886
16,2045
17,2221
18,2415
19,2604
20,2741
21,2985
22,3119
23,3354
24,3631
25,3901
26,4128
27,4234
28,4613
29,4797
30,5031
31,5441
32,5886
33,6160
34,6490
35,6952
36,7547
37,8434
38,8815
39,9294
40,10115
41,10849
42,11411
43,12056
44,12688
45,13673
46,14530
47,15373
48,15864
49,16740
50,17256
51,17859
52,18863
53,19793
54,20638
55,21470
56,22574
57,23423
58,24870
59,26250
60,27432
61,28720
62,29668
63,30483
64,31612
65,32874
66,33840
67,34771
68,35789
69,36786
70,37891
71,38761
72,39779
73,41043
74,42029
75,43160
