,total,confirmed,probable
0,0,,
1,1,,
2,1,,
3,3,,
4,25,,
5,36,,
6,60,,
7,88,,
8,151,,
9,195,,
10,251,,
11,353,,
12,517,,
13,648,,
14,942,,
15,1374,,
16,2383,,
17,4152,,
18,7102,,
19,10356,,
20,15168,,
21,20875,,
22,25665,,
23,30810,,
24,37258,,
25,44637,,
26,52318,,
27,59513,,
28,66497,,
29,75795,,
30,83712,,
31,92381,,
32,102863,,
33,113704,,
34,122031,,
35,130689,,
36,138863,,
37,149316,,
38,159937,,
39,170512,,
40,180458,,
41,188694,,
42,195031,,
43,202208,,
44,213779,,
45,222284,,
46,229642,,
47,236732,,
48,242786,,
49,247512,,
50,251690,,
51,257216,,
52,263460,,
53,271590,,
54,282143,,
55,288045,,
56,291996,,
57,295106,,
58,299691,,
59,304372,,
60,308314,,
61,312977,,
62,316415,,
63,318953,,
64,321192,,
65,323978,,
66,327469,,
67,330407,,
68,333122,,
69,335395,,
70,337055,,
71,338485,,
72,340661,,
73,343051,,
74,345813,,
75,348232,,
76,350121,,
77,351371,,
78,352845,,
79,354370,,
80,356458,,
81,358154,,
82,359926,,
83,361515,,
84,362764,,
85,363836,,
86,364965,,
87,366733,,
88,368284,,
89,369660,,
90,370770,,
91,371711,,
92,373040,,
93,374085,,
94,375133,,
95,376208,,
96,377316,,
97,378097,,
98,378799,,
99,379482,,
100,380156,,
101,380892,,
102,381714,,
103,382630,,
104,383324,,
105,383944,,
106,384575,,
107,385142,,
108,385760,,
109,386556,,
110,387272,,
111,387936,,
112,388488,,
113,389085,,
114,389666,,
115,390415,,
116,391220,,
117,391923,,
118,392539,,
119,392930,,
120,393454,,
121,394079,,
122,394954,,
123,395872,,
124,396598,,
125,397131,,
126,397649,,
127,398237,,
128,398929,,
129,399513,,
130,400299,,
131,401029,,
132,401706,,
133,402263,,
134,403175,,
135,404006,,
136,404775,,
137,405551,,
138,406305,,
139,406807,,
140,407326,,
141,408181,,
142,408886,,
143,409697,,
144,410450,,
145,411200,,
146,411736,,
147,412344,,
148,412878,,
149,413593,,
150,414370,,
151,415014,,
152,415767,,
153,416298,,
154,416843,,
155,417589,,
156,418225,,
157,418928,,
158,419642,,
159,420345,,
160,420860,,
161,421336,,
162,422003,,
163,422703,,
164,423440,,
165,424167,,
166,424901,,
167,425508,,
168,425916,,
169,426571,,
170,427202,,
171,427803,,
172,428512,,
173,429165,,
174,429737,,
175,430145,,
176,430774,,
177,431340,,
178,432131,,
179,432767,,
180,433402,,
181,434100,,
182,434756,,
183,435510,,
184,436218,,
185,437107,,
186,437971,,
187,438772,,
188,439501,,
189,440021,,
190,440578,,
191,441154,,
192,441911,,
193,442791,,
194,443640,,
195,444365,,
196,444948,,
197,445714,,
198,446366,,
199,447262,,
200,448052,,
201,449038,,
202,449900,,
203,450473,,
204,451227,,
205,451892,,
206,452847,,
207,453755,,
208,454760,,
209,455626,,
210,456460,,
211,457649,,
212,458649,,
213,460031,,
214,461629,,
215,463360,,
216,464582,,
217,465515,,
218,466908,,
219,468268,,
220,470104,,
221,471696,,
222,473143,,
223,474286,,
224,475315,,
225,476708,,
226,477940,,
227,479400,,
228,481107,,
229,482891,,
230,484281,,
231,485279,,
232,486480,,
233,488506,,
234,490134,,
235,491771,,
236,493832,,
237,495464,,
238,496655,,
239,498646,,
240,500677,,
241,503176,,
242,505431,,
243,507480,,
244,509735,,
245,511368,,
246,513689,,
247,515815,,
248,518812,,
249,522021,,
250,525608,,
251,529036,,
252,532180,,
253,536145,,
254,540965,,
255,545762,,
256,551163,,
257,556551,,
258,560200,,
259,563690,,
260,568778,,
261,574072,,
262,579382,,
263,584850,,
264,590822,,
265,596214,,
266,602120,,
267,607001,,
268,613266,,
269,620199,,
270,628375,,
271,634438,,
272,641161,,
273,647980,,
274,655265,,
275,664238,,
276,674093,,
277,685364,,
278,696125,,
279,705827,,
280,713129,,
281,722464,,
282,733064,,
283,743242,,
284,753837,,
285,764966,,
286,775160,,
287,784204,,
288,794557,,
289,804555,,
290,815469,,
291,828166,,
292,838085,,
293,848042,,
294,857049,,
295,866765,,
296,878702,,
297,891270,,
298,903716,,
299,914522,,
300,922145,,
301,932552,,
302,943990,,
303,957412,,
304,974214,,
305,990711,,
306,1005785,,
307,1017153,,
308,1028362,,
309,1041028,,
310,1057676,,
311,1075312,,
312,1094144,,
313,1111087,,
314,1126442,,
315,1140156,,
316,1155370,,
317,1169947,,
318,1183608,,
319,1203550,,
320,1219548,,
321,1233390,,
322,1245575,,
323,1258087,,
324,1271451,,
325,1285337,,
326,1300481,,
327,1314267,,
328,1326987,,
329,1338990,,
330,1350054,,
331,1361082,,
332,1374480,,
333,1387059,,
334,1399863,,
335,1410656,,
336,1419164,,
337,1427379,,
338,1433304,,
339,1440718,,
340,1449495,,
341,1460747,,
342,1470772,,
343,1479220,,
344,1487086,,
345,1494187,,
346,1504286,,
347,1512690,,
348,1521453,,
349,1529769,,
350,1536134,,
351,1542887,,
352,1548979,,
353,1555773,,
354,1564483,,
355,1572175,,
356,1578785,,
357,1584931,,
358,1591585,,
359,1597774,,
360,1606520,,
361,1614724,,
362,1622865,,
363,1630445,,
364,1636680,,
365,1642480,,
366,1650184,,
367,1657777,,
368,1666733,,
369,1674380,,
370,1681169,,
