,total,confirmed,probable
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,3,3,
5,3,3,
6,4,4,
7,5,5,
8,13,13,
9,13,13,
10,36,36,
11,50,50,
12,67,67,
13,88,88,
14,119,119,
15,169,169,
16,247,247,
17,351,351,
18,442,442,
19,564,564,
20,704,704,
21,867,867,
22,1137,1137,
23,1406,1406,
24,1653,1653,
25,1933,1933,
26,2199,2199,
27,2547,2547,
28,2902,2902,
29,3312,3312,
30,3739,3739,
31,4043,4043,
32,4450,4450,
33,4782,4782,
34,5148,5148,
35,5512,5512,
36,5878,5836,42.0
37,6250,6187,63.0
38,6604,6518,86.0
39,6975,6881,94.0
40,7280,7153,127.0
41,7791,7628,163.0
42,8414,8239,175.0
43,9107,8858,249.0
44,10222,9939,283.0
45,11602,11292,310.0
46,12919,12516,403.0
47,13725,13250,475.0
48,14117,13609,508.0
49,14694,14142,552.0
50,15169,14581,588.0
51,15587,14983,604.0
52,15963,15360,603.0
53,16325,15699,626.0
54,16769,16128,641.0
55,17303,16601,702.0
56,18027,17285,742.0
57,18743,17962,781.0
58,19335,18537,798.0
59,19914,19094,820.0
60,20474,19609,865.0
61,20969,20072,897.0
62,21576,20625,951.0
63,22131,21132,999.0
64,23016,21969,1047.0
65,23697,22560,1137.0
66,24081,22891,1190.0
67,24777,23400,1377.0
68,25250,23809,1441.0
69,25721,24245,1476.0
70,26357,24800,1557.0
71,26954,25349,1605.0
72,27474,25836,1638.0
73,27923,26220,1703.0
74,28454,26646,1808.0
75,28952,27106,1846.0
76,29436,27517,1919.0
77,30167,28174,1993.0
78,30794,28758,2036.0
79,31408,29288,2120.0
80,31911,29777,2134.0
81,32477,30305,2172.0
82,33006,30827,2179.0
83,33439,31191,2248.0
84,33915,31625,2290.0
85,34566,32202,2364.0
86,35034,32639,2395.0
87,35513,33073,2440.0
88,35984,33501,2483.0
89,36350,33892,2458.0
90,36792,34208,2584.0
91,37282,34639,2643.0
92,37758,35096,2662.0
93,38111,35408,2703.0
94,38476,35731,2745.0
95,38837,36077,2760.0
96,39162,36355,2807.0
97,39575,36710,2865.0
98,40004,37120,2884.0
99,40424,37519,2905.0
100,40848,37893,2955.0
101,41148,38188,2960.0
102,41576,38536,3040.0
103,42010,38911,3099.0
104,42422,39303,3119.0
105,43122,39973,3149.0
106,43731,40549,3182.0
107,44262,41062,3200.0
108,44808,41578,3230.0
109,45537,42254,3283.0
110,46127,42767,3360.0
111,46759,43363,3396.0
112,47651,44221,3430.0
113,48638,45172,3466.0
114,49455,45969,3486.0
115,50309,46790,3519.0
116,51046,47524,3522.0
117,51789,48222,3567.0
118,52865,49263,3602.0
119,54166,50523,3643.0
120,55257,51581,3676.0
121,56183,52488,3695.0
122,57151,53458,3693.0
123,57956,54232,3724.0
124,58904,55150,3754.0
125,60181,56384,3797.0
126,61331,57506,3825.0
127,62856,59000,3856.0
128,64214,60328,3886.0
129,65592,61669,3923.0
130,66853,62913,3940.0
131,67995,64013,3982.0
132,69311,65287,4024.0
133,70601,66540,4061.0
134,72280,68175,4105.0
135,73822,69684,4138.0
136,74932,70755,4177.0
137,76168,71952,4216.0
138,77215,72963,4252.0
139,78742,74409,4333.0
140,80186,75819,4367.0
141,81746,77309,4437.0
142,83184,78735,4449.0
143,84073,79573,4500.0
144,85177,80628,4549.0
145,86497,81896,4601.0
146,87893,83213,4680.0
147,89626,84862,4764.0
148,91159,86333,4826.0
149,92087,87218,4869.0
150,93031,88134,4897.0
151,93963,88997,4966.0
152,95106,90041,5065.0
153,96305,91171,5134.0
154,97471,92273,5198.0
155,98675,93402,5273.0
156,99969,94671,5298.0
157,100848,95496,5352.0
158,101731,96358,5373.0
159,102826,97373,5453.0
160,104248,98725,5523.0
161,105426,99856,5570.0
162,106557,100945,5612.0
163,107674,102016,5658.0
164,108287,102577,5710.0
165,109062,103320,5742.0
166,109923,104105,5818.0
167,110881,104999,5882.0
168,112003,106063,5940.0
169,113046,107064,5982.0
170,114165,108133,6032.0
171,114802,108735,6067.0
172,115651,109566,6085.0
173,116495,110343,6152.0
174,117584,111331,6253.0
175,118828,112489,6339.0
176,120124,113725,6399.0
177,121340,114911,6429.0
178,122262,115806,6456.0
179,123157,116666,6491.0
180,124610,118048,6562.0
181,125767,119157,6610.0
182,127112,120471,6641.0
183,128444,121765,6679.0
184,129785,123079,6706.0
185,130558,123803,6755.0
186,131336,124514,6822.0
187,131992,125144,6848.0
188,132965,126046,6919.0
189,134086,127106,6980.0
190,135326,128297,7029.0
191,136568,129453,7115.0
192,137405,130196,7209.0
193,138484,131235,7249.0
194,139485,132118,7367.0
195,140518,133046,7472.0
196,141585,134001,7584.0
197,142596,134922,7674.0
198,143547,135800,7747.0
199,144309,136505,7804.0
200,145165,137309,7856.0
201,145850,137888,7962.0
202,146753,138712,8041.0
203,147744,139632,8112.0
204,148894,140683,8211.0
205,150009,141671,8338.0
206,150809,142401,8408.0
207,151802,143281,8521.0
208,152907,144265,8642.0
209,153987,145191,8796.0
210,155314,146438,8876.0
211,156809,147797,9012.0
212,157966,148892,9074.0
213,158907,149762,9145.0
214,159964,150761,9203.0
215,161299,151983,9316.0
216,162723,153281,9442.0
217,164262,154746,9516.0
218,166102,156480,9622.0
219,167458,157764,9694.0
220,168749,158959,9790.0
221,170179,160321,9858.0
222,171626,161678,9948.0
223,173665,163558,10107.0
224,175843,165627,10216.0
225,177991,167674,10317.0
226,180225,169811,10414.0
227,181787,171245,10542.0
228,183624,172997,10627.0
229,185639,174859,10780.0
230,188005,177098,10907.0
231,190430,179424,11006.0
232,192948,181869,11079.0
233,195806,184528,11278.0
234,198115,186703,11412.0
235,200231,188738,11493.0
236,202740,191069,11671.0
237,205347,193451,11896.0
238,208937,196864,12073.0
239,212782,200609,12173.0
240,215697,203356,12341.0
241,219000,206549,12451.0
242,221909,209274,12635.0
243,226138,213350,12788.0
244,230209,217119,13090.0
245,235170,221881,13289.0
246,240178,226796,13382.0
247,245727,232171,13556.0
248,250268,236529,13739.0
249,254974,241095,13879.0
250,261482,247260,14222.0
251,267356,252510,14846.0
252,274457,259499,14958.0
253,282528,267338,15190.0
254,290243,274890,15353.0
255,298096,282550,15546.0
256,305364,289593,15771.0
257,312443,296387,16056.0
258,318828,302516,16312.0
259,326615,310103,16512.0
260,335423,318151,17272.0
261,343286,325611,17675.0
262,351419,333020,18399.0
263,363304,344054,19250.0
264,371908,351304,20604.0
265,382743,361623,21120.0
266,382743,361623,21120.0
267,399808,378082,21726.0
268,406703,384544,22159.0
269,414432,392129,22303.0
270,421063,398371,22692.0
271,430093,406780,23313.0
272,437928,414215,23713.0
273,446849,422848,24001.0
274,456963,432324,24639.0
275,467432,442459,24973.0
276,475024,449967,25057.0
277,484297,458993,25304.0
278,510018,470721,39297.0
279,520112,478879,41233.0
