,0
0,3
1,3
2,4
3,5
4,13
5,13
6,36
7,50
8,67
9,88
10,119
11,169
12,247
13,351
14,442
15,564
16,704
17,867
18,1137
19,1406
20,1653
21,1933
22,2199
23,2547
24,2902
25,3312
26,3739
27,4043
28,4450
29,4782
30,5148
31,5512
32,5878
33,6250
34,6604
35,6975
36,7280
37,7791
38,8414
39,9107
40,10222
41,11602
42,12919
43,13725
44,14117
45,14694
46,15169
47,15587
48,15963
49,16325
50,16769
51,17303
52,18027
53,18743
54,19335
55,19914
56,20474
57,20969
58,21576
59,22131
60,23016
61,23697
62,24081
63,24777
64,25250
65,25721
66,26357
67,26954
68,27474
69,27923
70,28454
71,28952
72,29436
73,30167
74,30794
75,31408
76,31911
77,32477
78,33006
79,33439
80,33915
81,34566
82,35034
83,35513
84,35984
85,36350
86,36792
87,37282
88,37758
89,38111
90,38476
91,38837
92,39162
93,39575
94,40004
95,40424
96,40848
97,41148
98,41576
99,42010
100,42422
101,43122
102,43731
103,44262
104,44808
105,45537
106,46127
107,46759
108,47651
109,48638
110,49455
111,50309
112,51046
113,51789
114,52865
115,54166
116,55257
117,56183
118,57151
119,57956
120,58904
121,60181
122,61331
123,62856
124,64214
125,65592
126,66853
127,67995
128,69311
129,70601
130,72280
131,73822
132,74932
133,76168
134,77215
135,78742
136,80186
137,81746
138,83184
139,84073
140,85177
141,86497
142,87893
