,total,confirmed,probable
0,1,,
1,1,,
2,1,,
3,2,,
4,2,,
5,3,,
6,3,,
7,4,,
8,9,,
9,10,,
10,17,,
11,29,,
12,44,,
13,49,,
14,53,,
15,67,,
16,81,,
17,106,,
18,164,,
19,248,,
20,322,,
21,377,,
22,429,,
23,481,,
24,565,,
25,719,,
26,879,,
27,988,,
28,1159,,
29,1252,,
30,1327,,
31,1472,,
32,1524,,
33,1684,,
34,1794,,
35,1868,,
36,1970,,
37,2069,,
38,2184,2184.0,
39,2263,2263.0,
40,2357,2357.0,
41,2465,2465.0,
42,2570,2570.0,
43,2599,2599.0,
44,2680,2680.0,
45,2807,2807.0,
46,2894,2894.0,
47,3017,3017.0,
48,3121,3121.0,
49,3193,3193.0,
50,3253,3253.0,
51,3280,3280.0,
52,3410,3410.0,
53,3473,3473.0,
54,3618,3618.0,
55,3748,3748.0,
56,3851,3851.0,
57,3972,3972.0,
58,4044,4044.0,
59,4127,4127.0,
60,4201,4201.0,
61,4330,4330.0,
62,4424,4424.0,
63,4490,4490.0,
64,4589,4589.0,
65,4613,4613.0,
66,4732,4732.0,
67,4852,4852.0,
68,4962,4962.0,
69,5086,5086.0,
70,5237,5237.0,
71,5310,5310.0,
72,5398,5398.0,
73,5489,5489.0,
74,5532,5532.0,
75,5680,5680.0,
76,5849,5849.0,
77,5960,5960.0,
78,6037,6037.0,
79,6090,6090.0,
80,6137,6137.0,
81,6229,6229.0,
82,6270,6270.0,
83,6338,6338.0,
84,6418,6418.0,
85,6506,6506.0,
86,6573,6573.0,
87,6692,6692.0,
88,6805,6805.0,
89,6907,6907.0,
90,6907,6907.0,
91,7003,7003.0,
92,7150,7150.0,
93,7205,7205.0,
94,7363,7363.0,
95,7480,7480.0,
96,7626,7626.0,
97,7848,7848.0,
98,8073,8073.0,
99,8231,8231.0,
100,8417,8417.0,
101,8645,8645.0,
102,8904,8904.0,
103,9354,9354.0,
104,9706,9706.0,
105,10037,10037.0,
106,10515,10037.0,
107,10733,10733.0,
108,11028,11028.0,
109,11510,11510.0,
110,11948,11948.0,
111,12343,12343.0,
112,12642,12642.0,
113,12944,12944.0,
114,13172,13172.0,
115,13757,13757.0,
116,14112,14112.0,
117,14539,14539.0,
118,15065,15065.0,
119,15645,15645.0,
120,15928,15928.0,
121,16362,16362.0,
122,17220,17220.0,
123,17893,17893.0,
124,18496,18496.0,
125,19092,19092.0,
126,19779,19779.0,
127,20235,20235.0,
128,20745,20745.0,
129,21738,21738.0,
130,22813,22813.0,
131,23441,23441.0,
132,24140,24140.0,
133,25056,25056.0,
134,25265,25265.0,
135,25433,25433.0,
136,26326,26326.0,
137,27301,27301.0,
138,27969,27969.0,
139,29116,29116.0,
140,30081,30081.0,
141,31285,31285.0,
142,32686,32686.0,
143,33775,33775.0,
144,34623,34623.0,
145,35740,35740.0,
146,36487,36487.0,
147,37731,37731.0,
148,38225,38225.0,
149,38602,38602.0,
150,39463,39463.0,
151,40564,40564.0,
152,41401,41401.0,
153,42255,42255.0,
154,43080,43080.0,
155,43566,43566.0,
156,43963,43963.0,
157,44728,44728.0,
158,45398,45398.0,
159,46103,46103.0,
160,46897,46897.0,
161,47798,47798.0,
162,48342,48342.0,
163,48711,48711.0,
164,49326,49326.0,
165,49923,49923.0,
166,50669,50669.0,
167,51746,51746.0,
168,52599,52599.0,
169,53165,53165.0,
170,53522,53522.0,
171,54172,54172.0,
172,54838,54838.0,
173,55550,55550.0,
174,56260,56260.0,
175,57353,57353.0,
176,58020,58020.0,
177,58733,58733.0,
178,59399,59399.0,
179,60118,60118.0,
180,61027,61027.0,
181,62040,62040.0,
182,63187,63187.0,
183,63607,63607.0,
184,64220,64220.0,
185,65053,65053.0,
186,65929,65929.0,
187,66700,66700.0,
188,67642,67642.0,
189,68659,68659.0,
190,69354,69354.0,
191,70223,70223.0,
192,71314,71314.0,
193,72284,72284.0,
194,73318,73318.0,
195,74567,74567.0,
196,75804,75804.0,
197,76807,76807.0,
198,77908,77908.0,
199,79072,79072.0,
200,80161,80161.0,
201,81244,81244.0,
202,82520,82520.0,
203,83510,83510.0,
204,83510,83510.0,
205,85194,85194.0,
206,86219,86219.0,
207,87199,87199.0,
208,88369,88369.0,
209,89559,89559.0,
210,90748,90748.0,
211,91317,91317.0,
212,91982,91982.0,
213,93346,93346.0,
214,94352,94352.0,
215,95564,95564.0,
216,97088,97088.0,
217,98621,98621.0,
218,99387,99387.0,
219,100184,100184.0,
220,101493,101493.0,
221,102615,102615.0,
222,103836,103836.0,
223,105308,105308.0,
224,106503,106503.0,
225,107299,107299.0,
226,108073,,
227,109548,,
228,110855,,
229,112483,,
230,113856,,
231,115685,,
232,116736,,
233,117399,,
234,118409,,
235,119152,,
236,120193,,
237,121495,,
238,122762,,
239,124111,,
240,125195,,
241,126526,,
242,127772,,
243,129873,,
244,131751,,
245,131751,,
246,136258,,
247,138455,,
248,140157,,
249,142334,,
250,144691,,
251,147358,,
252,150205,,
253,154128,,
254,156857,,
255,158408,,
256,161425,,
257,164340,,
258,167261,,
259,170924,,
260,174330,,
261,177874,,
262,180610,,
263,184342,,
264,184342,,
265,187567,,
266,193824,,
267,195545,,
268,197745,,
269,199482,,
270,202341,,
271,204048,,
272,208875,,
273,213245,,
274,216486,,
275,218389,,
276,220686,,
277,222993,,
278,225453,,
279,229353,,
280,233336,,
281,237668,,
282,239767,,
283,241991,,
284,245229,,
285,248204,,
286,251760,,
287,255868,,
288,260838,,
289,263434,,
290,265620,,
291,269276,,
292,272553,,
293,272553,,
294,276508,,
295,279139,,
296,282587,,
297,283781,,
298,287030,,
299,290936,,
300,290936,,
301,296055,,
302,304072,,
303,306771,,
304,308268,,
305,311573,,
306,315354,,
307,320586,,
308,324875,,
309,331362,,
310,335247,,
311,337457,,
312,341364,,
313,344506,,
314,348044,,
315,351665,,
316,354979,,
317,356816,,
318,358374,,
319,360360,,
320,363046,,
321,365992,,
322,370149,,
323,373090,,
324,374853,,
325,376424,,
326,379110,,
327,381430,,
328,384217,,
329,386590,,
330,389472,,
331,390868,,
332,392164,,
333,394283,,
334,397065,,
335,399727,,
336,401780,,
337,403954,,
338,404994,,
339,406064,,
340,407724,,
341,409401,,
342,410818,,
343,412276,,
344,413542,,
345,414272,,
346,414780,,
347,415858,,
348,416476,,
349,417345,,
350,418318,,
351,419354,,
352,419853,,
353,420212,,
354,421010,,
355,422156,,
356,423023,,
357,423802,,
358,424508,,
359,424888,,
