,total,confirmed,probable
0,,,
1,3.0,,
2,3.0,,
3,3.0,,
4,7.0,,
5,14.0,,
6,14.0,,
7,15.0,,
8,19.0,,
9,19.0,,
10,30.0,,
11,30.0,,
12,36.0,,
13,39.0,,
14,47.0,,
15,75.0,,
16,88.0,,
17,114.0,,
18,114.0,,
19,161.0,,
20,191.0,,
21,209.0,,
22,209.0,,
23,327.0,,
24,414.0,,
25,479.0,,
26,548.0,,
27,606.0,,
28,690.0,,
29,736.0,,
30,826.0,,
31,899.0,,
32,999.0,,
33,1068.0,,
34,1132.0,,
35,1181.0,,
36,1239.0,,
37,1321.0,,
38,1371.0,,
39,1447.0,,
40,1527.0,,
41,1584.0,,
42,1633.0,,
43,1663.0,,
44,1736.0,,
45,1785.0,,
46,1844.0,,
47,1910.0,,
48,1956.0,,
49,2002.0,,
50,2059.0,,
51,2127.0,,
52,2177.0,,
53,2253.0,,
54,2311.0,,
55,2354.0,,
56,2385.0,,
57,2446.0,,
58,2510.0,,
59,2579.0,,
60,2635.0,,
61,2680.0,,
62,2759.0,,
63,2839.0,,
64,2916.0,,
65,2989.0,,
66,3068.0,,
67,3160.0,,
68,3228.0,,
69,3286.0,,
70,3286.0,,
71,3416.0,,
72,3479.0,,
73,3541.0,,
74,3612.0,,
75,3623.0,,
76,3687.0,,
77,3726.0,,
78,3801.0,,
79,3817.0,,
80,3864.0,,
81,3888.0,,
82,3927.0,,
83,3949.0,,
84,3967.0,,
85,4038.0,,
86,4086.0,,
87,4131.0,,
88,4185.0,,
89,4243.0,,
90,4302.0,,
91,4335.0,,
92,4399.0,,
93,4474.0,,
94,4570.0,,
95,4662.0,,
96,4808.0,,
97,4922.0,,
98,4988.0,,
99,5060.0,,
100,5237.0,,
101,5377.0,,
102,5535.0,,
103,5636.0,,
104,5820.0,,
105,6098.0,,
106,6218.0,,
107,6366.0,,
108,6572.0,,
109,6750.0,,
110,6937.0,,
111,7083.0,,
112,7274.0,,
113,7444.0,,
114,7568.0,,
115,7818.0,,
116,8094.0,,
117,8341.0,,
118,8485.0,,
119,8656.0,,
120,8931.0,,
121,9294.0,,
122,9636.0,,
123,9930.0,,
124,10230.0,,
125,10395.0,,
126,10605.0,,
127,10817.0,,
128,11188.0,,
129,11454.0,,
130,11851.0,,
131,12170.0,,
132,12438.0,,
133,12805.0,,
134,13081.0,,
135,13509.0,,
136,13802.0,,
137,14149.0,,
138,14579.0,,
139,14847.0,,
140,15139.0,,
141,15393.0,,
142,15713.0,,
143,16104.0,,
144,16492.0,,
145,16758.0,,
146,17088.0,,
147,17416.0,,
148,17721.0,,
149,18131.0,,
150,18492.0,,
151,18817.0,,
152,19097.0,,
153,19366.0,,
154,19699.0,,
155,19979.0,,
156,20225.0,,
157,20636.0,,
158,21010.0,,
159,21272.0,,
160,21488.0,,
161,21774.0,,
162,22022.0,,
163,22300.0,,
164,22613.0,,
165,23018.0,,
166,23262.0,,
167,23451.0,,
168,23676.0,,
169,23870.0,,
170,24165.0,,
171,24421.0,,
172,24710.0,,
173,24937.0,,
174,25155.0,,
175,25391.0,,
176,25571.0,,
177,25761.0,,
178,26054.0,,
179,26293.0,,
180,26554.0,,
181,26713.0,,
182,26946.0,,
183,27075.0,,
184,27336.0,,
185,27601.0,,
186,27856.0,,
187,28044.0,,
188,28190.0,,
189,28355.0,,
190,28471.0,,
191,28654.0,,
192,28865.0,,
193,29156.0,,
194,29337.0,,
195,29484.0,,
196,29662.0,,
197,29850.0,,
198,29850.0,,
199,30342.0,,
200,30599.0,,
201,30801.0,,
202,30995.0,,
203,31313.0,,
204,31503.0,,
205,31865.0,,
206,32314.0,,
207,32581.0,,
208,32820.0,,
209,32994.0,,
210,33291.0,,
211,33509.0,,
212,33862.0,,
213,34163.0,,
214,34511.0,,
215,34770.0,,
216,35049.0,,
217,35340.0,,
218,35634.0,,
219,36116.0,,
220,36526.0,,
221,36935.0,,
222,37262.0,,
223,37467.0,,
224,37780.0,,
225,38160.0,,
226,38525.0,,
227,38935.0,,
228,39316.0,,
229,39532.0,,
230,39794.0,,
231,40136.0,,
232,40443.0,,
233,40810.0,,
234,41348.0,,
235,41739.0,,
236,42101.0,,
237,42436.0,,
238,42808.0,,
239,43228.0,,
240,43793.0,,
241,44388.0,,
242,44921.0,,
243,45429.0,,
244,45978.0,,
245,46460.0,,
246,47049.0,,
247,47839.0,,
248,48608.0,,
249,49587.0,,
250,50448.0,,
251,51155.0,,
252,51909.0,,
253,52770.0,,
254,53879.0,,
255,54937.0,,
256,56018.0,,
257,56880.0,,
258,57646.0,,
259,58570.0,,
260,59669.0,,
261,60873.0,,
262,62175.0,,
263,63668.0,,
264,65170.0,,
265,66333.0,,
266,67333.0,,
267,68503.0,,
268,70006.0,,
269,70832.0,,
270,72506.0,,
271,74120.0,,
272,75431.0,,
273,76654.0,,
274,78160.0,,
275,79263.0,,
276,81437.0,,
277,83243.0,,
278,84496.0,,
279,85788.0,,
280,87082.0,,
281,88287.0,,
282,89838.0,,
283,91420.0,,
284,92839.0,,
285,93853.0,,
286,95010.0,,
287,96092.0,,
288,97622.0,,
289,98936.0,,
290,100308.0,,
291,101814.0,,
292,102930.0,,
293,103755.0,,
294,105073.0,,
295,105970.0,,
296,106821.0,,
297,107718.0,,
298,108326.0,,
299,109725.0,,
300,110545.0,,
301,111227.0,,
302,112260.0,,
303,113909.0,,
304,115339.0,,
305,116348.0,,
306,117745.0,,
307,118453.0,,
308,119488.0,,
309,120223.0,,
310,121085.0,,
311,122847.0,,
312,124476.0,,
313,125683.0,,
314,126607.0,,
315,127780.0,,
316,129109.0,,
317,130246.0,,
318,131258.0,,
319,132412.0,,
320,133205.0,,
321,133851.0,,
322,134468.0,,
323,135142.0,,
324,135973.0,,
325,136839.0,,
326,137600.0,,
327,138168.0,,
328,138587.0,,
329,139355.0,,
330,140063.0,,
331,140783.0,,
332,141729.0,,
333,142416.0,,
334,142416.0,,
335,143373.0,,
336,143978.0,,
337,144605.0,,
338,145320.0,,
339,146138.0,,
340,146741.0,,
341,147122.0,,
342,147419.0,,
343,147932.0,,
344,148475.0,,
345,149082.0,,
346,149576.0,,
347,150034.0,,
348,150281.0,,
349,150464.0,,
350,150875.0,,
351,151257.0,,
352,151713.0,,
353,152190.0,,
354,152711.0,,
355,152818.0,,
356,153134.0,,
357,153645.0,,
358,154062.0,,
359,154554.0,,
360,154878.0,,
361,155315.0,,
362,155597.0,,
363,155787.0,,
364,156037.0,,
365,156287.0,,
366,156673.0,,
367,156884.0,,
368,157079.0,,
