,0
0,1.0
1,34.0
2,98.0
3,173.0
4,269.0
5,361.0
6,507.0
7,621.0
8,687.0
9,759.0
10,936.0
11,1076.0
12,1234.0
13,1335.0
14,1519.0
15,1797.0
16,1917.0
17,2065.0
18,2271.0
19,2449.0
20,2636.0
21,2782.0
22,2973.0
23,3143.0
24,3267.0
25,3517.0
26,3793.0
27,4040.0
28,4184.0
29,4355.0
30,4630.0
31,4993.0
32,5335.0
33,5629.0
34,5929.0
35,6094.0
36,6304.0
37,6516.0
38,6887.0
39,7153.0
40,7550.0
41,7869.0
42,8137.0
43,8504.0
44,8780.0
45,9208.0
46,9501.0
47,9848.0
48,10278.0
49,10546.0
50,10838.0
51,11092.0
52,11412.0
53,11803.0
54,12191.0
55,12457.0
56,12787.0
57,13115.0
58,13420.0
59,13830.0
60,14191.0
