,total,confirmed,probable
0,,,
1,,,
2,,,
3,2.0,,
4,4.0,,
5,6.0,,
6,10.0,,
7,12.0,,
8,16.0,,
9,22.0,,
10,41.0,,
11,47.0,,
12,63.0,,
13,76.0,,
14,96.0,,
15,133.0,,
16,185.0,,
17,268.0,,
18,371.0,,
19,479.0,,
20,644.0,,
21,851.0,,
22,1127.0,,
23,1687.0,,
24,2218.0,,
25,2751.0,,
26,3394.0,,
27,4087.0,,
28,4843.0,,
29,5805.0,,
30,7016.0,,
31,8420.0,,
32,10017.0,,
33,11510.0,,
34,12980.0,,
35,14559.0,,
36,16239.0,,
37,18228.0,,
38,19979.0,,
39,21655.0,,
40,22833.0,,
41,24199.0,,
42,25345.0,,
43,26490.0,,
44,27735.0,,
45,29441.0,,
46,31069.0,,
47,32284.0,,
48,33232.0,,
49,34528.0,,
50,35684.0,,
51,37053.0,,
52,38652.0,,
53,40049.0,,
54,41165.0,,
55,42050.0,,
56,43264.0,,
57,44366.0,,
58,45763.0,,
59,46971.0,,
60,48305.0,,
61,49267.0,,
62,50092.0,,
63,50957.0,,
64,51845.0,,
65,52915.0,,
66,54238.0,,
67,55316.0,,
68,56611.0,,
69,57154.0,,
70,57991.0,,
71,58698.0,,
72,59636.0,,
73,60622.0,,
74,61611.0,,
75,62234.0,,
76,63056.0,,
77,63666.0,,
78,63666.0,,
79,65392.0,,
80,66258.0,64551.0,1707.0
81,66983.0,65209.0,1774.0
82,67713.0,65906.0,1807.0
83,68186.0,66347.0,1839.0
84,68637.0,66779.0,1858.0
85,69417.0,67515.0,1902.0
86,70042.0,68104.0,1938.0
87,71339.0,68765.0,2574.0
88,72031.0,69424.0,2607.0
89,72546.0,69916.0,2630.0
90,72898.0,70278.0,2620.0
91,73510.0,70864.0,2646.0
92,74022.0,71361.0,2661.0
93,74560.0,71881.0,2679.0
94,75005.0,72292.0,2713.0
95,75706.0,72979.0,2727.0
96,76212.0,73479.0,2733.0
97,76563.0,73827.0,2736.0
98,77056.0,74298.0,2758.0
99,77466.0,74684.0,2782.0
100,77933.0,75119.0,2814.0
101,77999.0,75800.0,2199.0
102,78462.0,76237.0,2225.0
103,78798.0,76567.0,2231.0
104,79121.0,76883.0,2238.0
105,79483.0,77230.0,2253.0
106,79818.0,77543.0,2275.0
107,80236.0,77949.0,2287.0
108,80762.0,78451.0,2311.0
109,81266.0,78947.0,2319.0
110,81730.0,79405.0,2325.0
111,82186.0,79859.0,2327.0
112,82696.0,80347.0,2349.0
113,83191.0,80810.0,2381.0
114,83770.0,81374.0,2396.0
115,84370.0,81956.0,2414.0
116,84370.0,81956.0,2414.0
117,85496.0,81956.0,3540.0
118,85988.0,83529.0,2459.0
119,86606.0,84130.0,2476.0
120,87242.0,84751.0,2491.0
121,88074.0,85573.0,2501.0
122,88741.0,86205.0,2536.0
