,total,confirmed,probable
0,2,,
1,2,,
2,2,,
3,2,,
4,3,,
5,3,,
6,3,,
7,3,,
8,4,,
9,5,,
10,5,,
11,13,,
12,19,,
13,19,,
14,20,,
15,22,,
16,33,,
17,44,,
18,61,,
19,74,,
20,88,,
21,113,,
22,129,,
23,148,,
24,176,,
25,217,,
26,248,,
27,312,,
28,417,,
29,495,,
30,568,,
31,668,,
32,730,,
33,831,,
34,968,,
35,1150,,
36,1356,,
37,1617,,
38,1890,,
39,2169,,
40,2573,,
41,2853,,
42,3142,,
43,3329,,
44,3596,,
45,3903,,
46,4295,,
47,4585,,
48,4868,,
49,5207,,
50,5585,,
51,5972,,
52,6354,,
53,6773,,
54,7188,,
55,7493,,
56,7769,,
57,7972,,
58,8296,,
59,8668,,
60,9016,,
61,9333,,
62,9522,,
63,9703,,
64,9994,,
65,10297,,
66,10639,,
67,10910,,
68,11141,,
69,11427,,
70,11613,,
71,11788,,
72,12007,,
73,12203,,
74,12431,,
75,12663,,
76,12915,,
77,13040,,
78,13177,,
79,13392,,
80,13579,,
81,13748,,
82,13949,,
83,14057,,
84,14141,,
85,14211,,
86,14365,,
87,14498,,
88,14630,,
89,14808,,
90,14912,,
91,14988,,
92,15087,,
93,15194,,
94,15299,,
95,15416,,
96,15521,,
97,15589,,
98,15638,,
99,15683,,
100,15751,,
101,15855,,
102,15942,,
103,16023,,
104,16072,,
105,16104,,
106,16180,,
107,16232,,
108,16283,,
109,16354,,
110,16413,,
111,16449,,
112,16476,,
113,16535,,
114,16612,,
115,16663,,
116,16708,,
117,16777,,
118,16813,,
119,16835,,
120,16871,,
121,16911,,
122,16976,,
123,17035,,
124,17057,,
125,17084,,
126,17108,,
127,17163,,
128,17204,,
129,17204,,
130,17243,,
131,17312,,
132,17312,,
133,17312,,
134,17487,,
135,17588,,
136,17640,,
137,17711,,
138,17793,,
139,17793,,
140,17793,,
141,17904,,
142,17986,,
143,18062,,
144,18148,,
145,18224,,
146,18224,,
147,18224,,
148,18515,,
149,18725,,
150,18800,,
151,18950,,
152,19022,,
153,19022,,
154,19022,,
155,19246,,
156,19390,,
157,19481,,
158,19611,,
159,19738,,
160,19832,,
161,19906,,
162,19934,,
163,20053,,
164,20129,,
165,20240,,
166,20335,,
167,20439,,
168,20514,,
169,20572,,
170,20692,,
171,20795,,
172,20871,,
173,21022,,
174,21175,,
175,21263,,
176,21302,,
177,21372,,
178,21454,,
179,21589,,
180,21683,,
181,21857,,
182,21903,,
183,21949,,
184,22002,,
185,22078,,
186,22143,,
187,22243,,
188,22484,,
189,22519,,
190,22572,,
191,22592,,
192,22676,,
193,22782,,
194,22905,,
195,22999,,
196,23098,,
197,23130,,
198,23250,,
199,23358,,
200,23488,,
201,23620,,
202,23798,,
203,23880,,
204,23932,,
205,24044,,
206,24177,,
207,24311,,
208,24181,,
209,24284,,
210,24398,,
211,24424,,
212,24556,,
213,24748,,
214,24914,,
215,25076,,
216,25245,,
217,25369,,
218,25419,,
219,25596,,
220,25776,,
221,26045,,
222,26294,,
223,26580,,
224,26750,,
225,26831,,
226,26960,,
227,27164,,
228,27438,,
229,27691,,
230,27978,,
231,28262,,
232,28347,,
233,28649,,
234,29123,,
235,29594,,
236,30118,,
237,30583,,
238,30857,,
239,31024,,
240,31445,,
241,31944,,
242,32312,,
243,32874,,
244,33408,,
245,33888,,
246,34120,,
247,34543,,
248,35122,,
249,35750,,
250,36380,,
251,37175,,
252,37743,,
253,38009,,
254,38798,,
255,39776,,
256,40764,,
257,41529,,
258,42763,,
259,43442,,
260,43923,,
261,44528,,
262,45911,,
263,46951,,
264,48001,,
265,49406,,
266,50144,,
267,50573,,
268,51424,,
269,52317,,
270,53491,,
271,53954,,
272,55017,,
273,56072,,
274,56723,,
275,57906,,
276,59005,,
277,60722,,
278,62137,,
279,63944,,
280,64974,,
281,65818,,
282,67067,,
283,68299,,
284,69247,,
285,70818,,
286,72649,,
287,73519,,
288,74071,,
289,75237,,
290,76209,,
291,77290,,
292,77812,,
293,78783,,
294,79812,,
295,80231,,
296,81187,,
297,82066,,
298,83112,,
299,83982,,
300,84208,,
301,84941,,
302,85602,,
303,86789,,
304,87949,,
305,89541,,
306,90404,,
307,91187,,
308,92075,,
309,92708,,
310,93852,,
311,95463,,
312,96591,,
313,97614,,
314,99001,,
315,100039,,
316,100607,,
317,101393,,
318,102485,,
319,103386,,
320,104443,,
321,105472,,
322,106224,,
323,106705,,
324,107066,,
325,107876,,
326,108786,,
327,109735,,
328,110711,,
329,111453,,
330,111754,,
331,112396,,
332,113009,,
333,113754,,
334,114438,,
335,115138,,
336,115707,,
337,115956,,
338,116191,,
339,116704,,
340,117291,,
341,117891,,
342,118521,,
343,118893,,
344,119104,,
345,119434,,
346,119893,,
347,120381,,
348,120821,,
349,121264,,
350,121584,,
351,121787,,
352,122072,,
353,122440,,
354,122859,,
355,123145,,
356,123548,,
357,123821,,
358,123980,,
359,124262,,
360,124718,,
361,125185,,
362,125622,,
363,126093,,
364,126436,,
365,126588,,
366,126849,,
367,127285,,
368,127727,,
369,128121,,
370,128516,,
371,128781,,
