,total,confirmed,probable
0,0,0,
1,0,0,
2,0,0,
3,2,2,
4,2,2,
5,7,7,
6,7,7,
7,9,9,
8,10,10,
9,12,12,
10,13,13,
11,19,19,
12,28,28,
13,33,33,
14,60,60,
15,60,60,
16,81,81,
17,152,152,
18,195,195,
19,298,298,
20,298,298,
21,424,424,
22,456,456,
23,456,456,
24,539,539,
25,774,774,
26,925,925,
27,1083,1083,
28,1293,1293,
29,1554,1554,
30,1554,1554,
31,1917,1917,
32,2049,2049,
33,2049,2049,
34,2417,2417,
35,2552,2552,
36,2792,2792,
37,3065,3065,
38,3207,3207,
39,3319,3319,
40,3319,3319,
41,3553,3553,
42,3656,3656,
43,3656,3656,
44,3931,3931,
45,4246,4246,
46,4377,4377,
47,4377,4377,
48,4439,4439,
49,4761,4761,
50,4917,4917,
51,4917,4917,
52,5253,5253,
53,5490,5490,
54,5490,5490,
55,5613,5613,
56,5881,5881,
57,6095,6095,
58,6258,6258,
59,6489,6489,
60,6626,6626,
61,6626,6626,
62,6757,6757,
63,6936,6936,
64,6936,6936,
65,7142,7142,
66,7531,7531,
67,7653,7653,
68,7653,7653,
69,7927,7927,
70,7927,7927,
71,8189,8189,
72,8407,8407,
73,8407,8407,
74,8816,8816,
75,8942,8942,
76,9056,9056,
77,9056,9056,
78,9175,9175,
79,9638,9638,
80,9895,9895,
81,10096,10096,
82,10178,10178,
83,10416,10416,
84,10623,10623,
85,10788,10788,
86,11131,11131,
87,11394,11394,
88,11861,11861,
89,12148,12148,
90,12415,12415,
91,12651,12651,
92,13005,13005,
93,13453,13453,
94,13916,13916,
95,14286,14286,
96,14800,14800,
97,15228,15228,
98,15759,15759,
99,16441,16441,
100,17170,17170,
101,17955,17955,
102,18795,18795,
103,19378,19378,
104,19990,19990,
105,20556,20551,
106,21548,21533,
107,22631,22608,
108,23786,23756,
109,24693,24661,
110,25701,25666,
111,26613,26572,
112,27897,27842,
113,29022,28962,
114,30335,30263,
115,31939,31850,
116,33320,33221,
117,34644,34546,
118,36399,36297,
119,37919,37809,
120,39701,39587,
121,41532,41413,
122,43386,43260,
123,44847,44717,
124,46380,46247,
125,47352,47214,
126,48909,48770,
127,50691,50548,
128,52419,52273,
129,54699,54538,
130,56648,56485,
131,58168,58003,
132,60389,60220,
133,62245,62071,
134,64083,63880,
135,66060,65857,
136,67612,67396,
137,69986,69765,
138,71445,71213,
139,73337,73101,
140,75042,74761,
141,76606,76315,
142,78607,78298,
143,80008,79674,
144,81199,80856,
145,82417,82071,
146,84109,83720,389.0
147,85846,85423,423.0
148,87572,87117,455.0
149,89016,88523,493.0
150,90599,90076,523.0
151,91788,91257,531.0
152,92951,92404,547.0
153,94190,93604,586.0
154,95472,94837,635.0
155,96797,96132,665.0
156,98219,97554,665.0
157,99460,98743,717.0
158,100435,99713,722.0
159,101159,100431,728.0
160,102130,101360,770.0
161,102974,102143,831.0
162,103909,103051,858.0
163,104841,103880,961.0
164,105882,104874,1008.0
165,106497,105466,1031.0
166,106953,105905,1048.0
167,107672,106574,1098.0
168,108411,107274,1137.0
169,109320,108146,1174.0
170,110378,109135,1243.0
171,111295,109962,1333.0
172,111988,110658,1330.0
173,112551,111202,1349.0
174,113488,112088,1400.0
175,114093,112643,1450.0
176,114598,113107,1491.0
177,115951,114400,1551.0
178,117249,115661,1588.0
179,118324,116697,1627.0
180,118992,117333,1659.0
181,119846,118116,1730.0
182,120503,118699,1804.0
183,121696,119822,1874.0
184,123325,121378,1947.0
185,124289,122313,1976.0
186,124952,122944,2008.0
187,125607,123552,2055.0
188,125908,123801,2107.0
189,126213,124097,2116.0
190,126592,124397,2195.0
191,129046,126792,2254.0
192,129978,127646,2332.0
193,131864,129484,2380.0
194,132680,130256,2424.0
195,133470,130917,2553.0
196,134122,131428,2694.0
197,135446,132565,2881.0
198,136318,133310,3008.0
199,137240,134052,3188.0
200,137708,134494,3214.0
201,138124,134884,3240.0
202,140789,137406,3383.0
203,141686,138171,3515.0
204,142707,139021,3686.0
205,143902,140056,3846.0
206,145273,141338,3935.0
207,145887,141909,3978.0
208,146455,142449,4006.0
209,147634,143495,4139.0
210,147942,143623,4319.0
211,148323,143787,4536.0
212,149185,144366,4819.0
213,150891,145953,4938.0
214,151582,146576,5006.0
215,152159,147116,5043.0
216,152970,147800,5170.0
217,153705,148334,5371.0
218,154755,149219,5536.0
219,155676,150033,5643.0
220,156621,150915,5706.0
221,157406,151649,5757.0
222,158055,152242,5813.0
223,158883,152963,5920.0
224,159809,153729,6080.0
225,161106,154869,6237.0
226,162253,155799,6454.0
227,163214,156655,6559.0
228,163990,157394,6596.0
229,164609,157970,6639.0
230,165493,158747,6746.0
231,166357,159433,6924.0
232,167485,160384,7101.0
233,168549,161235,7314.0
234,169341,161836,7505.0
235,170678,163143,7535.0
236,171501,163946,7555.0
237,172579,164802,7777.0
238,173491,165477,8014.0
239,174591,166344,8247.0
240,175594,167057,8537.0
241,176612,167885,8727.0
242,178023,169228,8795.0
243,178917,170048,8869.0
244,179952,170862,9090.0
245,180870,171642,9228.0
246,181639,172216,9423.0
247,182872,173186,9686.0
248,184742,174862,9880.0
249,185688,175730,9958.0
250,186391,176373,10018.0
251,187738,177515,10223.0
252,188995,178524,10471.0
253,190490,179832,10658.0
254,192101,181243,10858.0
255,194014,182943,11071.0
256,195507,184360,11147.0
257,196617,185390,11227.0
258,197900,186528,11372.0
259,199447,187774,11673.0
260,201160,189251,11909.0
261,203161,191021,12140.0
262,205018,192645,12373.0
263,206295,193787,12508.0
264,207552,194902,12650.0
265,209230,196330,12900.0
266,210905,197652,13253.0
267,210905,197652,13253.0
268,213120,199538,13582.0
269,214911,201354,13557.0
270,216129,202422,13707.0
271,217487,203659,13828.0
272,218912,205004,13908.0
273,220835,206653,14182.0
274,223063,208435,14628.0
275,226013,210995,15018.0
276,229235,213795,15440.0
277,232099,216378,15721.0
278,234652,218820,15832.0
279,236954,220961,15993.0
280,239444,223140,16304.0
281,241686,225053,16633.0
282,245226,228261,16965.0
283,248798,231363,17435.0
284,252206,234392,17814.0
285,254776,236785,17991.0
286,257320,239119,18201.0
287,260119,241471,18648.0
288,262774,243583,19191.0
289,267076,247361,19715.0
290,270537,250386,20151.0
291,273406,253034,20372.0
292,275733,255210,20523.0
293,278055,257340,20715.0
294,282230,261024,21206.0
295,285028,263392,21636.0
296,285028,263392,21636.0
297,288892,266678,22214.0
298,296179,273659,22520.0
299,298050,275285,22765.0
300,300602,277563,23039.0
301,303475,280024,23451.0
302,307507,283424,24083.0
303,307507,283424,24083.0
304,312718,287776,24942.0
305,321669,296093,25576.0
306,325472,299685,25787.0
307,328073,302003,26070.0
308,333235,306204,27031.0
309,338112,310246,27866.0
310,344176,315353,28823.0
311,350084,320105,29979.0
312,354525,323855,30670.0
313,357654,326588,31066.0
