,0
0,2
1,2
2,7
3,7
4,9
5,10
6,12
7,13
8,19
9,28
10,33
11,60
12,60
13,81
14,152
15,195
16,298
17,298
18,424
19,456
20,456
21,539
22,774
23,925
24,1083
25,1293
26,1554
27,1554
28,1917
29,2049
30,2049
31,2417
32,2552
33,2792
34,3065
35,3207
36,3319
37,3319
38,3553
39,3656
40,3656
41,3931
42,4246
43,4377
44,4377
45,4439
46,4761
47,4917
48,4917
49,5253
50,5490
51,5490
52,5613
53,5881
54,6095
55,6258
56,6489
57,6626
58,6626
59,6757
60,6936
61,6936
62,7142
63,7531
64,7653
65,7653
66,7927
67,7927
68,8189
69,8407
70,8407
71,8816
72,8942
73,9056
74,9056
75,9175
76,9638
77,9895
78,10096
79,10178
80,10416
81,10623
82,10788
83,11131
84,11394
85,11861
86,12148
87,12415
88,12651
89,13005
90,13453
91,13916
92,14286
93,14800
94,15228
95,15759
96,16441
97,17170
98,17955
99,18795
100,19378
101,19990
102,20556
103,21548
104,22631
105,23786
106,24693
107,25701
108,26613
109,27897
110,29022
111,30335
112,31939
113,33320
114,34644
115,36399
116,37919
117,39701
118,41532
119,43386
120,44847
121,46380
122,47352
123,48909
124,50691
125,52419
126,54699
127,56648
128,58168
129,60389
130,62245
131,64083
132,66060
133,67612
134,69986
135,71445
136,73337
137,75042
138,76606
