,total,confirmed,probable
0,0,,
1,0,,
2,0,,
3,0,,
4,5,,
5,8,,
6,9,,
7,9,,
8,9,,
9,10,,
10,11,,
11,11,,
12,11,,
13,14,,
14,14,,
15,21,,
16,28,,
17,30,,
18,41,,
19,46,,
20,58,,
21,68,,
22,90,,
23,101,,
24,108,,
25,129,,
26,165,,
27,187,,
28,212,,
29,240,,
30,288,,
31,320,,
32,393,,
33,447,,
34,536,,
35,626,,
36,730,,
37,868,,
38,988,,
39,1168,,
40,1311,,
41,1411,,
42,1542,,
43,1635,,
44,1685,,
45,1755,,
46,1858,,
47,1956,,
48,2040,,
49,2147,,
50,2212,,
51,2245,,
52,2313,,
53,2373,,
54,2449,,
55,2525,,
56,2588,,
57,2631,,
58,2668,,
59,2721,,
60,2779,,
61,2905,,
62,3144,,
63,3393,,
64,3517,,
65,3614,,
66,3663,,
67,3732,,
68,3792,,
69,3887,,
70,3959,,
71,3987,,
72,4027,,
73,4085,,
74,4177,,
75,4250,,
76,4356,,
77,4468,,
78,4563,,
79,4586,,
80,4653,,
81,4710,,
82,4793,,
83,4866,,
84,4960,,
85,4993,,
86,5034,,
87,5067,,
88,5162,,
89,5247,,
90,5277,,
91,5367,,
92,5438,,
93,5471,,
94,5523,,
95,5604,,
96,5665,,
97,5742,,
98,5833,,
99,5898,,
100,5928,,
101,5966,,
102,6050,,
103,6109,,
104,6158,,
105,6225,,
106,6297,,
107,6326,,
108,6353,,
109,6419,,
110,6479,,
111,6535,,
112,6626,,
113,6681,,
114,6716,,
115,6764,,
116,6826,,
117,6893,,
118,6978,,
119,7028,,
120,7063,,
121,7105,,
122,7163,,
123,7242,,
124,7336,,
125,7401,,
126,7454,,
127,7499,,
128,7524,,
129,7572,,
130,7652,,
131,7694,,
132,7789,,
133,7862,,
134,7906,,
135,7943,,
136,8019,,
137,8077,,
138,8143,,
139,8200,,
140,8305,,
141,8395,,
142,8444,,
143,8492,,
144,8641,,
145,8685,,
146,8764,,
147,8867,,
148,8955,,
149,9020,,
150,9079,,
151,9168,,
152,9273,,
153,9371,,
154,9477,,
155,9605,,
156,9663,,
157,9713,,
158,9815,,
159,9897,,
160,10024,,
161,10118,,
162,10274,,
163,10360,,
164,10443,,
165,10566,,
166,10691,,
167,10884,,
168,11135,,
169,11276,,
170,11425,,
171,11559,,
172,11851,,
173,12194,,
174,12517,,
175,12942,,
176,13322,,
177,13509,,
178,13749,,
179,14003,,
180,14337,,
181,14596,,
182,14889,,
183,15109,,
184,15300,,
185,15403,,
186,15571,,
187,15834,,
188,16117,,
189,16437,,
190,16638,,
191,16801,,
192,16994,,
193,17291,,
194,17686,,
195,18075,,
196,18444,,
197,18696,,
198,18869,,
199,19189,,
200,19634,,
201,20097,,
202,20554,,
203,21133,,
204,21541,,
205,21738,,
206,21997,,
207,22389,,
208,23136,,
209,23522,,
210,23986,,
211,24418,,
212,24598,,
213,24876,,
214,25906,25433.0,473.0
215,26411,25961.0,480.0
216,27215,26711.0,504.0
217,27947,27401.0,546.0
218,28564,27943.0,621.0
219,28925,28289.0,636.0
220,29339,28707.0,632.0
221,30215,29520.0,695.0
222,31012,30220.0,792.0
223,31805,30940.0,865.0
224,32611,31711.0,900.0
225,33269,32339.0,930.0
226,33836,32904.0,932.0
227,34457,33466.0,991.0
228,35044,34031.0,1013.0
229,36017,34977.0,1040.0
230,37202,36109.0,1093.0
231,38141,36962.0,1179.0
232,39203,37979.0,1224.0
233,39741,38504.0,1237.0
234,40730,39494.0,1236.0
235,42000,40589.0,1411.0
236,43000,41507.0,1493.0
237,44559,42896.0,1663.0
238,45992,44216.0,1776.0
239,47324,45437.0,1887.0
240,47850,45932.0,1918.0
241,48854,46858.0,1996.0
242,49791,47653.0,2138.0
243,51151,48833.0,2318.0
244,52639,50248.0,2391.0
245,53976,51343.0,2633.0
246,55404,52603.0,2801.0
247,56311,53486.0,2825.0
248,57334,54503.0,2831.0
249,58696,55705.0,2991.0
250,60716,57438.0,3278.0
251,62327,58920.0,3407.0
252,64182,60600.0,3582.0
253,65381,61700.0,3681.0
254,66278,62521.0,3757.0
255,67284,63491.0,3793.0
256,68671,64582.0,4089.0
257,69742,65499.0,4243.0
258,71070,66704.0,4366.0
